inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3343590,2096212,1247378,3168583,175007,2802665,281676,139013,79405,26109,11925,2797,16984079,9929056,7055023,11777293,5206786,3550262,10133472,2434428,865917,5071518,1830521,1844483,2378043,1791437,1854227,2213850,39.0,6.2,22.5,192.8,177.6,15.2,2360.0,2192.0,169.0,5095.0
농업임업및어업,2253,2080,173,1674,579,869,547,460,282,71,23,1,29433,21862,7571,17613,11820,23,18832,5852,4726,2078,3679,6095,8485,4895,3327,874,43.6,9.0,22.6,183.6,178.9,4.7,2483.0,2439.0,44.0,6175.0
광업,1752,1594,158,1590,162,1193,179,205,150,17,4,4,15981,14064,1917,10105,5876,1931,12621,1334,95,2970,1215,2889,4369,1134,569,2835,46.7,8.8,23.3,192.7,174.9,17.8,2621.0,2417.0,204.0,4940.0
제조업,336908,276281,60627,318438,18470,221869,52725,31996,20778,5805,3142,593,3422439,2515572,906867,2106343,1316096,341097,2781747,287274,12321,465940,356913,432570,622405,396916,493707,653988,38.6,6.5,23.0,202.7,175.6,27.1,2274.0,1987.0,287.0,5996.0
전기가스수도하수,6947,6244,703,5306,1641,2648,1506,1129,1117,376,139,32,135694,117885,17809,66734,68960,2117,125658,7477,442,6665,10089,15431,34474,25979,22133,20923,42.6,10.4,22.6,191.9,176.6,15.3,2960.8,2708.0,253.3,9367.7
건설업,98859,85797,13062,93335,5524,57576,17396,12163,8125,2172,1089,338,1176826,1041009,135817,896471,280355,66466,539971,549494,20895,117049,116136,163523,242258,146646,174235,216979,40.7,5.4,22.9,189.3,182.4,6.9,2418.0,2321.0,97.0,3190.0
도매및소매업,873632,523085,350547,827814,45818,786570,55478,20379,8440,1733,891,141,2618185,1420547,1197638,2023136,595049,1025370,1115090,303343,174382,1435821,352827,266350,238322,118181,133475,73209,36.8,5.2,22.7,189.1,182.8,6.3,2339.0,2270.0,68.0,4300.0
운수및창고업,347289,333360,13929,337995,9294,329489,6473,4667,3711,1525,1267,157,989773,897880,91893,705525,284248,331551,529767,42217,86238,359528,42861,63444,114120,106086,202978,100756,45.3,6.9,22.2,201.2,175.1,26.1,2040.0,1748.0,291.0,4094.0
숙박및음식점업,636278,222797,413481,628002,8276,583121,39709,9821,2857,613,125,32,1760917,602962,1157955,1613967,146950,904678,369813,456966,29460,1221273,249395,125278,82556,40388,20680,21347,37.8,3.4,23.4,202.3,192.9,9.4,1582.0,1503.0,79.0,1590.0
정보통신업,26299,22546,3753,22583,3716,12826,5595,3503,2658,951,606,160,464158,331788,132370,273192,190966,9827,409815,35730,8786,30319,36408,46769,81465,65604,95817,107776,36.6,7.5,21.7,179.1,170.6,8.5,3058.0,2949.0,109.0,6223.0
금융및보험업,39485,34965,4520,9133,30352,10564,9525,10591,6703,1568,378,156,714769,327071,387698,66528,648241,5871,428044,21954,258900,24381,66656,139656,208242,100703,57672,117459,37.3,10.4,21.0,172.7,167.7,5.0,3136.0,3042.0,94.0,13294.0
부동산업시설관리지원임대,162274,114602,47672,147950,14324,128549,16077,8906,5283,1701,1269,489,1247898,721800,526098,783342,464556,129169,867807,181800,69122,221250,105003,118230,157632,116143,210272,319368,41.5,4.6,21.5,197.0,185.6,11.4,1955.7,1838.3,118.2,3162.2
전문과학및기술서비스업,70372,62506,7866,60470,9902,43918,14636,6244,3507,1115,702,250,769087,541100,227987,370349,398738,50546,659451,48297,10793,101562,93208,82941,105092,76035,116308,193941,36.9,5.4,21.6,177.2,171.7,5.5,2974.0,2901.0,73.0,4853.0
교육서비스업,166527,77766,88761,157259,9268,126210,16441,9240,7423,5887,1104,222,1430894,538063,892831,1047701,383193,152588,950519,232152,95635,227294,105599,124844,229076,416926,144160,182995,40.7,7.6,21.8,178.0,172.6,5.4,2776.0,2721.0,55.0,3316.0
보건업및사회복지서비스업,108081,62621,45460,102504,5577,58855,29082,12442,4960,1779,784,179,1097838,242542,855296,821024,276814,89653,889204,98178,20803,182126,185949,161089,149702,122917,117995,178060,36.2,4.7,23.0,189.3,180.4,8.8,2101.0,1998.0,103.0,3834.0
오락문화및운동관련서비스업,101745,59841,41904,100389,1356,95286,3532,1400,920,301,271,35,319954,176476,143478,269427,50527,123778,101140,75420,19616,168175,22488,18567,27731,20608,41850,20535,38.0,4.9,21.9,183.8,171.4,12.4,2014.0,1863.0,151.0,3794.0
기타공공수리및개인서비스업,364889,210127,154762,354141,10748,343122,12775,5867,2491,495,131,8,790233,418435,371798,705836,84397,315597,333993,86940,53703,505087,82095,76807,72114,32276,19049,2805,39.1,4.7,23.6,192.6,187.2,5.4,1921.0,1861.0,59.0,2681.0
