inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,0.0343,0.0297,0.042,0.0335,0.0472,0.0268,0.1187,0.0443,0.0051,-0.027,0.007,0.0197,0.0278,0.023,0.0346,0.0407,-0.0014,0.0202,0.0632,-0.0822,-0.0451,0.0269,0.1237,0.0378,0.004,-0.0245,0.0045,0.0298,0.0154,-0.0161,-0.0133,-0.0182,-0.0236,0.0461,0.0398,0.0347,0.1006,0.0868
농업임업및어업,0.0488,0.0389,0.1676,0.0842,-0.0535,0.0196,0.0475,0.0413,0.156,0.0282,0.087,0.0,0.0612,0.0688,0.0394,0.1153,-0.0193,-0.3043,0.1629,0.0846,-0.3709,-0.0183,0.0813,0.0425,0.1097,0.0445,0.0643,-0.0927,-0.0023,-0.0333,-0.0221,-0.0267,-0.024,-0.1277,0.0105,0.0111,-0.0227,0.0839
광업,0.0166,0.0056,0.1266,0.0145,0.037,0.0134,0.2123,-0.0098,-0.1667,0.1765,-0.25,0.0,-0.0346,-0.0423,0.0219,-0.0327,-0.038,0.03,-0.0419,-0.1244,0.8842,-0.0007,0.2099,-0.0402,-0.1696,0.1993,-0.1511,-0.0314,0.0043,-0.0682,0.0043,0.0555,0.0114,0.4888,0.0473,-0.0112,0.7451,0.0304
제조업,0.0429,0.0385,0.0629,0.0447,0.011,0.0299,0.1307,-0.0049,0.0292,0.037,0.0614,0.0894,0.0595,0.0619,0.0528,0.0685,0.0451,0.0211,0.0833,-0.1326,0.2093,0.017,0.1228,-0.0122,0.0273,0.0424,0.0626,0.1412,0.0155,0.0154,-0.0087,0.0049,-0.0182,0.155,0.0343,0.0065,0.2265,0.1513
전기가스수도하수,0.0803,0.0729,0.1465,0.0957,0.0305,0.1284,0.0983,0.0523,0.0125,-0.0053,-0.0072,0.0,0.0279,0.0159,0.1073,0.051,0.0056,0.1143,0.0311,-0.0742,0.4231,0.1272,0.0959,0.0615,0.0139,-0.0196,0.0151,0.0342,0.0023,-0.0385,-0.0133,-0.0109,-0.0136,0.0196,0.0173,0.0216,-0.0328,0.0305
건설업,0.0728,0.0637,0.1331,0.0716,0.0932,0.0729,0.2763,0.0611,-0.2321,-0.2546,-0.0927,-0.0266,-0.0502,-0.0565,-0.0015,-0.0475,-0.0587,0.0159,0.0652,-0.1745,0.0267,0.0776,0.2744,0.0462,-0.2435,-0.257,-0.1092,0.0376,0.0197,-0.1111,-0.0262,-0.0412,-0.0406,-0.0435,0.0488,0.0573,-0.1546,0.0677
도매및소매업,0.0318,0.0247,0.0423,0.0297,0.0692,0.0281,0.0864,0.0452,0.0105,-0.0687,-0.0516,-0.0426,0.0272,0.0225,0.0327,0.0351,0.0003,0.0186,0.0672,-0.0428,-0.0563,0.0278,0.092,0.0428,0.0156,-0.0586,-0.0337,-0.0667,0.0136,-0.0577,-0.0132,-0.0153,-0.0295,0.3968,0.0214,0.0088,0.4559,0.0426
운수및창고업,0.0197,0.01,0.253,0.0196,0.0258,0.0188,0.0961,0.0236,-0.0154,-0.0223,0.015,0.0,0.0088,-0.0133,0.2249,0.0097,0.0065,0.0159,0.0248,-0.0008,-0.1125,0.0194,0.0948,0.011,-0.0287,-0.0193,0.0051,0.0122,-0.0221,0.0435,0.0,-0.0586,-0.0148,-0.3525,0.076,0.1373,-0.2887,0.2506
숙박및음식점업,0.0293,0.0396,0.0237,0.0274,0.1664,0.0196,0.154,0.1126,0.014,-0.1615,0.064,-0.0312,0.0421,0.0606,0.0324,0.041,0.0537,0.0303,0.1311,0.0097,-0.2124,0.0196,0.1652,0.1015,0.0317,-0.1441,0.0372,-0.0638,0.0185,0.0,-0.0214,-0.0262,-0.0275,0.0,0.0449,0.0386,0.1646,0.1157
정보통신업,0.137,0.1316,0.1695,0.1537,0.0355,0.1573,0.1946,0.1025,0.0523,0.02,-0.0248,-0.0375,0.0264,0.023,0.035,0.0873,-0.0607,0.0783,0.0412,-0.1893,0.1563,0.1285,0.2026,0.0944,0.055,0.0243,-0.0097,-0.0796,-0.0219,-0.1333,-0.0184,-0.0307,-0.0176,-0.2941,0.037,0.0492,-0.2936,-0.0693
금융및보험업,0.0337,0.0279,0.0781,0.0505,0.0286,0.0378,0.0127,0.0512,0.0346,-0.0198,0.164,0.0256,0.0169,0.0131,0.0201,0.0538,0.0131,-0.0247,0.0282,-0.0063,0.0012,0.0541,0.0217,0.0477,0.0247,-0.0206,0.1268,-0.0656,0.0054,-0.0192,0.0048,-0.0064,-0.0006,-0.2,0.0663,0.0723,-0.1277,0.0917
부동산업시설관리지원임대,0.0507,0.0436,0.0678,0.0521,0.0366,0.0416,0.1123,0.0731,0.0935,-0.0382,-0.0165,0.0266,0.0147,0.0203,0.007,0.0945,-0.1199,0.0104,0.039,-0.0542,-0.1022,0.0483,0.115,0.0673,0.0932,-0.0336,-0.0254,-0.056,0.0675,0.0,0.0,-0.0254,-0.0221,-0.0789,0.0336,0.032,0.0516,-0.0555
