연도별,산업분류별,전체,"A.농업, 임업 및 어업(01~03)",B.광업(05~08),C.제조업(10~34),"D.전기, 가스, 증기 및 공기 조절 공급업(35)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",F.건설업(41~42),G.도매 및 소매업(45~47),H.운수 및 창고업(49~52),I.숙박 및 음식점업(55~56),J.정보통신업(58~63),K.금융 및 보험업(64~66),L.부동산업(68),"M.전문, 과학 및 기술 서비스업(70~73)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",P.교육 서비스업(85),Q.보건업 및 사회복지서비스업(86~87),"R.예술, 스포츠 및 여가관련 서비스업(90~91)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
2020,평균연령,42.9,45.4,51.6,42.5,41.6,47.4,45.5,41.2,48.5,41.5,38.1,40.4,55.7,40.3,42.3,43.7,43.6,42.3,44
2020,평균근속년수,6.8,8.9,8.3,8,13.5,7.1,5.8,6.2,7.6,3.3,6.9,12,4.8,7.5,5.7,7.6,4.3,6.1,6.1
2020,근로일수,21.7,22.2,23.3,21.9,21.3,22.9,22.1,21.9,21.5,21.4,21.8,21.7,20.4,21.6,21.4,20.2,21.9,21.3,22.3
2020,총근로시간,176.7,175,199.8,186.4,179,191.6,178.9,175.6,174.9,170.8,178,177,180.8,176.4,174,155.2,164.3,171,176.2
2020,소정실근로시간,167.7,169.6,177.9,169.9,169.6,177,172.6,170.9,161.6,162.9,172.4,172,178.8,171.5,166.8,152.6,159.2,163.3,171.6
2020,초과근로시간,9,5.4,21.8,16.5,9.4,14.6,6.3,4.7,13.3,8,5.6,5,2,4.9,7.2,2.7,5.2,7.7,4.6
2020,월임금총액,3757,3426,4188,3910,6252,3861,3811,3729,3410,2294,4558,6083,2874,4933,3086,3689,2877,3007,3065
2020,월급여액,3318,2912,3758,3350,4833,3529,3576,3368,3018,2214,4105,4618,2658,4242,2838,3425,2705,2796,2794
2020,정액급여,3118,2825,3295,3003,4509,3172,3421,3272,2719,2086,3957,4489,2597,4069,2684,3377,2586,2633,2697
2020,초과급여,200,86,463,347,324,357,154,96,300,129,148,129,61,173,154,48,119,162,96
2020,연간특별급여,5268,6172,5160,6720,17031,3992,2822,4337,4703,958,5436,17589,2587,8300,2969,3172,2059,2543,3256
2020,근로자수,11061775,28468,11449,3140872,63664,80800,559595,1099397,553337,348820,476187,427729,269595,884835,893664,462946,1406635,114535,239246
