산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,40.4,6.0,20.7,175.9,161.2,14.7,2754.0,2545.0,209.0,5777.0,9227229
농업임업및어업,44.9,8.4,21.0,175.7,170.1,5.6,2625.0,2556.0,69.0,6017.0,21494
광업,48.4,7.9,21.7,190.0,163.3,26.7,3046.0,2669.0,377.0,5554.0,11864
제조업,39.4,6.5,21.4,187.7,161.8,25.8,2819.0,2461.0,359.0,8345.0,2962054
전기가스수도하수,44.0,10.3,20.8,177.7,161.8,15.9,3406.8,3083.7,323.2,8151.1,116321
건설업,42.3,5.1,20.8,170.9,161.9,9.0,2909.0,2762.0,146.0,3456.0,484246
도매및소매업,38.9,4.9,21.0,174.4,165.7,8.7,2587.0,2463.0,124.0,4496.0,895849
운수및창고업,46.5,7.6,21.2,185.3,165.8,19.5,2484.0,2203.0,281.0,5205.0,497127
숙박및음식점업,39.0,2.9,21.8,188.0,176.1,11.9,1775.0,1647.0,128.0,1470.0,234048
정보통신업,36.3,6.1,19.6,161.8,154.8,7.0,3325.0,3214.0,111.0,5057.0,395935
금융및보험업,38.4,10.8,19.2,157.5,152.2,5.3,3844.0,3722.0,122.0,13698.0,390856
부동산업시설관리지원임대,44.2,4.2,20.1,178.6,166.2,12.4,2224.6,2072.8,151.3,2482.9,923847
전문과학및기술서비스업,38.1,6.4,19.7,161.1,155.8,5.3,3472.0,3387.0,86.0,6715.0,668909
교육서비스업,41.7,8.0,19.1,153.6,149.1,4.5,3124.0,3070.0,54.0,3848.0,402171
보건업및사회복지서비스업,39.5,4.5,20.7,168.5,160.2,8.3,2268.0,2143.0,125.0,2342.0,883148
오락문화및운동관련서비스업,39.3,5.2,20.9,173.8,161.9,11.9,2341.0,2166.0,175.0,2816.0,85103
기타공공수리및개인서비스업,43.9,4.9,21.1,164.0,155.8,8.2,2114.0,1990.0,124.0,3212.0,254257
