산업분류,사업체수,남대표,여대표
전체,4103172,2526745,1576427
농업임업및어업,4261,3640,621
광업,1916,1706,210
제조업,437024,345690,91334
전기가스증기및공기조절공급업,2343,1965,378
수도하수및폐기물처리원료재생업,8972,7456,1516
건설업,142840,115489,27351
도매및소매업,1027109,601495,425614
운수및창고업,400282,373243,27039
숙박및음식점업,766315,302073,464242
정보통신업,43888,36056,7832
금융및보험업,43568,36008,7560
부동산업,160152,101703,58449
전문과학및기술서비스업,112302,94618,17684
사업시설관리사업지원및임대서비스업,70542,49964,20578
공공행정국방및사회보장행정,12521,11471,1050
교육서비스업,189800,82558,107242
보건업및사회복지서비스업,147452,79586,67866
예술스포츠및여가관련서비스업,121639,68940,52699
협회및단체수리및기타개인서비스업,410246,213084,197162
