산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,3264776,16288226,3115838,12005774,30257,1732854,118681,2549598
농업임업및어업,2152,28687,1648,17465,62,2241,442,8981
광업,1723,17215,1548,10146,54,1054,121,6015
제조업,327982,3247881,310355,2003682,7653,610151,9974,634048
전기가스증기및공기조절공급업,860,52775,224,6369,52,10987,584,35419
수도하수및폐기물처리원료재생업,5495,80664,4666,62665,224,6801,605,11198
건설업,97198,885116,90258,697530,3224,117202,3716,70384
도매및소매업,856901,2554013,815926,1999446,6590,165456,34385,389111
운수및창고업,340550,929684,331863,702096,1615,93605,7072,133983
숙박및음식점업,624605,1721990,618197,1600462,358,23118,6050,98410
정보통신업,23787,427382,20219,260488,1116,94539,2452,72355
금융및보험업,37576,672222,10569,95242,2477,128086,24530,448894
부동산업,112817,403852,108372,331589,770,27981,3675,44282
전문과학및기술서비스업,66517,691543,58358,400570,2983,171618,5176,119355
사업시설관리사업지원및임대서비스업,45650,716917,37367,429439,1768,146376,6515,141102
공공행정국방및사회보장행정,11755,574074,11706,572107,7,1136,42,831
교육서비스업,160277,1317285,154646,1126519,463,67239,5168,123527
보건업및사회복지서비스업,94456,891093,92183,724463,218,36658,2055,129972
예술스포츠및여가관련서비스업,100134,312358,99110,265597,142,14801,882,31960
협회및단체수리및기타개인서비스업,354341,763475,348623,699899,481,13805,5237,49771
