산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,3470023,18093127,3286595,12885193,41617,2145797,141811,3062137
농업임업및어업,2363,31235,1815,19643,123,3002,425,8590
광업,1781,15428,1613,9775,52,1812,116,3841
제조업,351346,3625989,332673,2250526,8015,580518,10658,794945
전기가스증기및공기조절공급업,985,51676,237,2222,65,10456,683,38998
수도하수및폐기물처리원료재생업,6520,87804,5577,67914,274,7008,669,12882
건설업,106059,1117786,100020,853892,3379,198349,2660,65545
도매및소매업,901399,2689305,852411,2094076,9433,196597,39555,398632
운수및창고업,354142,998457,344608,712348,2202,135056,7332,151053
숙박및음식점업,654892,1834978,645239,1680139,837,23238,8816,131601
정보통신업,29902,476412,26054,297043,1338,111737,2510,67632
금융및보험업,40814,726870,9594,70106,3639,170389,27581,486375
부동산업,117682,417280,112435,339793,1226,34431,4021,43056
전문과학및기술서비스업,76792,788454,65993,405009,4176,227031,6623,156414
사업시설관리사업지원및임대서비스업,52823,848917,43222,517570,2625,169538,6976,161809
공공행정국방및사회보장행정,11903,636419,11750,627982,26,5013,127,3424
교육서비스업,170575,1438462,161199,1052815,1464,147110,7912,238537
보건업및사회복지서비스업,114578,1159592,108451,868991,1171,82140,4956,208461
예술스포츠및여가관련서비스업,103675,332939,102229,280940,293,18784,1153,33215
협회및단체수리및기타개인서비스업,371792,815124,361475,734409,1279,23588,9038,57127
