산업분류,사업체 수,종사자 수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상1000명미만사업체,300명이상500명미만종사자,500명이상500명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3812800,19899697,3099808,5586586,414513,2638253,161661,2139169,90937,2718533,28773,1972069,13652,2129727,1777,671215,1122,763978,557,1280167
농업임업및어업,3159,36034,1260,2884,905,6018,517,6934,386,11596,66,4542,24,3263,0,0,1,0,0,0
광업,2002,15642,1358,3308,301,2021,174,2472,145,4202,17,1180,4,633,1,0,2,0,0,0
제조업,409232,3981938,261271,537438,78846,518682,34194,459339,24050,723473,6635,455792,3536,553752,384,142979,196,133150,120,457333
전기가스증기및공기조절공급업,1302,55388,499,1136,232,1532,86,1129,228,7687,150,10526,78,13684,15,5164,9,5805,5,8725
수도하수및폐기물처리원료재생업,8366,99187,3813,9089,1944,12714,1241,16966,1031,31193,269,17866,65,9542,2,0,0,0,1,0
건설업,129667,1103794,79784,168601,27977,181348,13215,173960,6105,177710,1477,97655,885,143391,130,47913,63,42535,31,70681
도매및소매업,993971,3007745,879597,1595185,78329,489474,23539,308031,9588,272300,1794,120742,994,153352,83,31207,41,27489,6,9965
운수및창고업,379044,1049058,357557,391577,9039,58188,5220,70039,4075,124956,1734,120076,1293,201451,83,31468,35,22007,8,29296
숙박및음식점업,702596,2067166,616660,1288747,68664,421605,13110,165789,3229,93228,738,48948,155,25111,21,8414,14,8989,5,6335
정보통신업,40304,528102,23231,48773,7958,51336,4255,56331,2989,89909,1054,72354,671,107674,92,34871,37,25058,17,41796
금융및보험업,41969,705824,12200,27365,10184,70654,10757,142278,6868,211784,1432,91378,377,59562,74,27986,50,33626,27,41191
부동산업,127228,445495,105957,175012,13468,86758,5501,71903,1868,52766,272,18067,135,21626,12,4513,9,6105,6,8745
전문과학및기술서비스업,96865,930441,62628,135217,20319,128541,7568,98947,4147,123031,1216,83015,706,114716,142,54360,87,58737,52,133877
사업시설관리사업지원및임대서비스업,65603,1025145,44622,86805,8450,54247,4532,60589,4419,134354,1679,115876,1308,220358,302,114508,236,159520,55,78888
공공행정국방및사회보장행정,12057,648966,1863,3652,1550,10866,3807,55389,2865,84205,850,57709,642,106921,216,83174,190,134947,74,112103
교육서비스업,175606,1513769,132917,236323,18538,118267,9118,123801,7596,236429,6033,426739,1152,147453,100,38670,81,57338,71,128749
보건업및사회복지서비스업,134208,1466397,63253,190930,43366,271972,16362,214175,7313,221429,2532,173636,1155,177697,91,34357,61,40198,75,142003
예술스포츠및여가관련서비스업,103977,362955,93264,162919,6765,42345,2097,27472,1152,34913,331,23002,335,50254,22,8157,7,4543,4,9350
협회및단체수리및기타개인서비스업,385644,856651,358074,521625,17678,111685,6368,83625,2883,83368,494,32966,137,19287,7,2412,3,1683,0,0
