산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3874156,20889239,3125589,5602005,434111,2770598,168008,2225017,96868,2893152,31126,2132728,14656,2292738,1967,746602,1195,810407,636,1415992
농업임업및어업,3289,39490,1298,2928,931,6216,531,7200,418,12685,84,5896,25,3369,1,0,1,0,0,0
광업,2006,15663,1373,3131,277,1859,176,2436,149,4203,25,1719,3,479,1,0,2,0,0,0
제조업,428643,4102259,275818,571410,82843,550596,34729,468612,24125,725374,6790,466210,3614,566630,400,150228,199,131213,125,471986
전기가스증기및공기조절공급업,1393,57364,598,1338,198,1311,89,1200,231,7872,168,11744,86,15355,11,4031,6,3939,6,10574
수도하수및폐기물처리원료재생업,8525,101983,3927,9241,1955,12909,1217,16651,1080,32771,267,17641,75,10597,3,1032,0,0,1,0
건설업,133797,1317337,80451,170300,28210,183116,14053,186375,7648,224942,1981,134381,1131,186435,171,66068,99,68264,53,97456
도매및소매업,1015117,3129601,894582,1625889,82710,514012,24520,318658,10102,286289,1973,132178,1079,166884,92,35312,49,33750,10,16629
운수및창고업,379388,1096051,357537,389963,8683,57626,5287,71408,4541,138352,1839,127679,1348,210980,98,35955,41,26765,14,37323
숙박및음식점업,710248,2114297,617466,1264195,73671,453810,14329,180033,3610,103374,928,62069,202,29591,32,12524,6,4084,4,4617
정보통신업,42425,562946,24415,50535,8248,53106,4618,61626,3161,96589,1138,78335,687,111872,99,38069,38,25249,21,47565
금융및보험업,42192,745257,11540,26166,11333,78089,10090,133241,7141,223610,1537,98034,398,63661,67,24980,53,35103,33,62373
부동산업,131079,464340,108977,181740,14269,91659,5501,71497,1850,52400,291,19356,153,24366,20,7027,12,7976,6,8319
전문과학및기술서비스업,102866,998123,65967,142398,21538,136531,8377,109933,4583,135143,1333,90318,771,125118,137,52717,100,65873,60,140092
사업시설관리사업지원및임대서비스업,66668,1127653,43742,84529,8864,57313,5082,68352,4941,150235,1902,131327,1469,245372,373,141917,232,156341,63,92267
공공행정국방및사회보장행정,12364,687969,1823,3427,1670,11838,3696,53853,3087,91196,918,61932,667,111547,231,89578,189,135388,83,129210
교육서비스업,175800,1563848,131431,230956,19107,121570,9539,130231,8066,248485,6176,436279,1209,156494,99,37746,96,66605,77,135482
보건업및사회복지서비스업,132553,1503360,59613,177714,44416,279970,17139,224879,7196,214492,2703,185744,1249,191444,100,36705,61,40289,76,152123
예술스포츠및여가관련서비스업,101055,366766,89630,156872,7202,45008,2259,29767,1233,37014,360,25023,337,50981,24,9190,6,4076,4,8835
협회및단체수리및기타개인서비스업,384748,894932,355401,509273,17986,114059,6776,89065,3706,108126,713,46863,153,21563,8,2736,5,3247,0,0
