산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,15435729,3547998,9482322,1706005,699404
농업임업및어업,30305,83,19968,5777,4477
광업,16774,1951,13588,1009,226
제조업,3231791,353229,2643989,228746,5827
전기가스증기및공기조절공급업,50402,85,49326,941,50
수도하수및폐기물처리원료재생업,75749,1945,68192,5343,269
건설업,837870,63402,479872,281033,13563
도매및소매업,2500253,1065107,1008931,234744,191471
운수및창고업,869653,327154,454071,39958,48470
숙박및음식점업,1671710,904960,420204,312727,33819
정보통신업,401805,9634,359013,27590,5568
금융및보험업,621959,6246,373372,26257,216084
부동산업,388832,92505,258017,23445,14865
전문과학및기술서비스업,569071,50065,487865,28832,2309
사업시설관리사업지원및임대서비스업,609741,33917,431221,114552,30051
공공행정국방및사회보장행정,543025,2,495449,47514,60
교육서비스업,1249856,140032,861749,175074,73001
보건업및사회복지서비스업,734896,69749,622535,38833,3779
예술스포츠및여가관련서비스업,289452,121272,94356,62405,11419
협회및단체수리및기타개인서비스업,742585,306660,340604,51225,44096
