산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,22723272,4061181,14686373,2996684,979034
농업임업및어업,43920,0,33955,6625,3340
광업,14887,1595,12192,907,193
제조업,4123817,392661,3443010,262074,26072
전기가스증기및공기조절공급업,67526,952,65775,690,109
수도하수및폐기물처리원료재생업,114085,3388,104682,5556,459
건설업,1504466,92818,667073,688344,56231
도매및소매업,3289652,1084229,1676672,364072,164679
운수및창고업,1155965,382533,598395,59736,115301
숙박및음식점업,2384828,1075239,705039,587012,17538
정보통신업,606964,15239,551663,29569,10493
금융및보험업,715399,6379,466835,16190,225995
부동산업,537841,123558,359172,30946,24165
전문과학및기술서비스업,1132049,72260,999183,51973,8633
사업시설관리사업지원및임대서비스업,1192036,42748,917381,179770,52137
공공행정국방및사회보장행정,768733,0,698552,67638,2543
교육서비스업,1672443,167294,1140790,245560,118799
보건업및사회복지서비스업,2033034,113295,1630506,219909,69324
예술스포츠및여가관련서비스업,458555,135040,182072,102511,38932
협회및단체수리및기타개인서비스업,907072,351953,433426,77602,44091
