산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3937715,2441613,1496102,20567856,11732178,8835678,3702340,14371441,3889038,13062358,2652481,963979,3171358,5701978,453225,2889232,172689,2278120,93084,2776343,29870,2043741,14059,2186355,235375,6196415,3430,2692087
농업임업및어업,3627,3119,508,39650,28664,10986,2887,25146,0,29108,8039,2503,1597,3650,1007,6609,542,7217,367,11141,84,5907,28,3806,740,14504,2,1320
광업,2012,1795,217,15861,13780,2081,1831,10484,2078,12832,769,182,1397,3113,256,1767,171,2408,158,4573,24,1680,3,486,181,5377,3,1834
제조업,430948,343894,87054,4097338,3030512,1066826,406634,2612292,414816,3419747,238774,24001,275391,579303,87151,581319,32669,445263,24580,736538,6895,472893,3569,564788,24314,1485046,693,717234
전기가스수도하수,10105,8615,1490,161266,135852,25414,8024,81298,3671,149911,7168,516,4708,11172,2137,14087,1337,18146,1293,40246,455,31113,144,23606,2081,79968,31,22896
건설업,137220,112614,24606,1392554,1196280,196274,131174,1140183,89521,660201,599333,43499,75540,159358,31600,199388,19528,253951,7184,209468,1776,119358,1212,191912,6046,252371,380,259119
도매및소매업,1017340,599707,417633,3141900,1686836,1455064,950548,2390012,1061246,1574964,328084,177606,894254,1619584,84859,528033,24985,325897,10027,285466,1987,133793,1065,161972,66792,751888,163,87155
운수및창고업,385968,361231,24737,1111060,965557,145503,374977,807631,364549,599574,56454,90483,362558,395298,9272,61183,6402,85376,4338,132612,1868,129256,1387,214766,10991,303429,143,92569
숙박및음식점업,729175,279036,450139,2162823,785450,1377373,708981,1909896,979655,600540,553944,28684,633168,1304871,76725,469909,14675,183731,3499,99384,902,58677,168,25707,20194,252927,38,20544
정보통신업,42539,35325,7214,567284,394306,172978,38361,360488,15427,502998,37793,11066,24271,50772,8521,54933,4723,62599,3070,93361,1056,72232,737,118428,4178,206796,161,114959
금융및보험업,42809,36292,6517,730963,326781,404182,10867,75377,5971,439754,18113,267125,11949,27206,10993,75645,10779,142390,7111,218994,1420,91021,407,64120,31942,655586,150,111587
부동산업시설관리지원임대,210698,141465,69233,1650942,931677,719265,192018,994598,154856,1230540,195031,70515,165571,289588,23662,151835,10752,142317,6384,189853,2051,140506,1516,251532,18680,656344,762,485311
전문과학및기술서비스업,103223,88163,15060,1002371,674192,328179,89032,506854,67795,870821,56404,7351,66028,142605,21699,140737,8692,112733,4395,129172,1298,88412,796,127615,14191,495517,315,261097
교육서비스업,180595,80762,99833,1559558,578898,980660,170054,1121239,154661,1065929,224278,114690,135861,236296,19364,123021,9577,130420,8286,257084,6093,428114,1139,147942,10541,438319,275,236681
보건업및사회복지서비스업,141372,77014,64358,1674556,329990,1344566,131734,1241660,114895,1351052,160961,47648,60250,178621,48609,308173,19211,252417,8552,256766,3102,211817,1379,214353,9638,432896,269,252409
오락문화및운동관련서비스업,110230,62646,47584,394913,206305,188608,107531,326750,127604,141315,92760,33234,97354,173162,8617,53918,2294,30167,1197,35627,382,26651,350,52434,2699,68163,36,22954
기타공공수리및개인서비스업,389854,209935,179919,864817,447098,417719,377687,767533,332293,413072,74576,44876,361461,527379,18753,118675,6352,83088,2643,76058,477,32311,159,22888,12167,97284,9,4418
