산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,4163979,0.614,0.386,21954539,0.563,0.437,0.934,0.686,0.185,0.637,0.133,0.044,0.798,0.275,0.122,0.147,0.044,0.11,0.024,0.134,0.007,0.097,0.003,0.103,0.066,0.314,0.001,0.133
농업임업및어업,4522,0.853,0.147,43920,0.726,0.274,0.789,0.604,0.0,0.773,0.151,0.076,0.521,0.117,0.244,0.167,0.125,0.169,0.083,0.255,0.019,0.142,0.007,0.109,0.211,0.396,0.001,0.041
광업,1776,0.88,0.12,14887,0.864,0.136,0.874,0.6,0.107,0.819,0.061,0.013,0.673,0.169,0.115,0.093,0.104,0.172,0.09,0.314,0.014,0.107,0.002,0.038,0.126,0.4,0.002,0.107
제조업,440766,0.787,0.213,4123817,0.745,0.255,0.929,0.615,0.095,0.835,0.064,0.006,0.631,0.142,0.211,0.152,0.077,0.11,0.057,0.182,0.015,0.111,0.008,0.131,0.071,0.385,0.002,0.173
전기가스수도하수,12542,0.823,0.177,181611,0.838,0.162,0.799,0.483,0.024,0.939,0.034,0.003,0.529,0.073,0.18,0.081,0.121,0.113,0.114,0.249,0.039,0.184,0.014,0.15,0.201,0.517,0.003,0.15
건설업,146293,0.802,0.198,1504466,0.859,0.141,0.947,0.789,0.062,0.443,0.458,0.037,0.505,0.111,0.278,0.178,0.139,0.177,0.055,0.154,0.013,0.083,0.008,0.126,0.053,0.211,0.003,0.173
도매및소매업,1028323,0.586,0.414,3289652,0.533,0.467,0.927,0.75,0.33,0.51,0.111,0.05,0.868,0.502,0.092,0.178,0.026,0.106,0.011,0.095,0.002,0.043,0.001,0.046,0.073,0.25,0.0,0.029
운수및창고업,409288,0.929,0.071,1155965,0.865,0.135,0.97,0.693,0.331,0.518,0.052,0.1,0.942,0.366,0.023,0.053,0.015,0.073,0.011,0.123,0.005,0.115,0.003,0.176,0.03,0.307,0.0,0.093
숙박및음식점업,785706,0.401,0.599,2384828,0.375,0.625,0.968,0.883,0.451,0.296,0.246,0.007,0.851,0.594,0.12,0.235,0.023,0.092,0.005,0.043,0.001,0.016,0.0,0.01,0.032,0.117,0.0,0.01
정보통신업,45303,0.814,0.186,606964,0.686,0.314,0.885,0.592,0.025,0.909,0.049,0.017,0.616,0.093,0.173,0.083,0.095,0.096,0.069,0.155,0.026,0.131,0.017,0.203,0.115,0.408,0.004,0.239
금융및보험업,43555,0.818,0.182,715399,0.443,0.557,0.294,0.11,0.009,0.653,0.023,0.316,0.34,0.047,0.245,0.102,0.23,0.186,0.136,0.257,0.034,0.135,0.01,0.096,0.706,0.89,0.004,0.176
부동산업시설관리지원임대,241763,0.656,0.344,1729877,0.568,0.432,0.902,0.573,0.096,0.738,0.122,0.044,0.797,0.193,0.111,0.098,0.048,0.088,0.027,0.11,0.008,0.078,0.006,0.151,0.098,0.427,0.003,0.282
전문과학및기술서비스업,118129,0.831,0.169,1132049,0.67,0.33,0.854,0.48,0.064,0.883,0.046,0.008,0.66,0.145,0.2,0.13,0.075,0.104,0.041,0.127,0.013,0.09,0.008,0.128,0.146,0.52,0.003,0.275
교육서비스업,193790,0.427,0.573,1672443,0.361,0.639,0.936,0.725,0.1,0.682,0.147,0.071,0.737,0.156,0.126,0.092,0.051,0.081,0.045,0.16,0.034,0.275,0.006,0.094,0.064,0.275,0.001,0.142
보건업및사회복지서비스업,150659,0.543,0.457,2033034,0.19,0.81,0.921,0.729,0.056,0.802,0.108,0.034,0.399,0.085,0.335,0.159,0.15,0.148,0.075,0.167,0.026,0.132,0.012,0.142,0.079,0.271,0.002,0.167
오락문화및운동관련서비스업,124621,0.568,0.432,458555,0.515,0.485,0.967,0.808,0.294,0.397,0.224,0.085,0.868,0.418,0.09,0.152,0.024,0.083,0.012,0.094,0.004,0.068,0.003,0.125,0.033,0.192,0.0,0.062
기타공공수리및개인서비스업,416943,0.513,0.487,907072,0.505,0.495,0.962,0.873,0.388,0.478,0.086,0.049,0.931,0.617,0.045,0.131,0.016,0.095,0.007,0.09,0.001,0.033,0.0,0.028,0.038,0.127,0.0,0.006
