산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3812800,2376935,1435865,19899697,11503515,8396182,3588232,14066029,47475,2421522,177093,3412146,3799039,12810356,2398343,891959,3099808,5586586,414513,2638253,161661,2139169,90937,2718533,28773,1972069,13652,2129727,1777,671215,1122,763978,557,1280167
농업임업및어업,3159,2770,389,36034,26713,9321,2492,23319,159,3881,508,8834,3,25846,6981,3204,1260,2884,905,6018,517,6934,386,11596,66,4542,24,3263,0,0,1,0,0,0
광업,2002,1785,217,15642,13644,1998,1815,10406,56,1036,131,4200,1972,12409,1130,131,1358,3308,301,2021,174,2472,145,4202,17,1180,4,633,1,0,2,0,0,0
제조업,409232,328687,80545,3981938,2951530,1030408,384458,2494154,10365,687453,14409,800331,380361,3341542,241625,18410,261271,537438,78846,518682,34194,459339,24050,723473,6635,455792,3536,553752,384,142979,196,133150,120,457333
전기가스증기및공기조절공급업,1302,1220,82,55388,47661,7727,490,3779,63,10171,749,41438,127,54164,997,100,499,1136,232,1532,86,1129,228,7687,150,10526,78,13684,15,5164,9,5805,5,8725
수도하수및폐기물처리원료재생업,8366,7153,1213,99187,83765,15422,7139,74569,331,8995,896,15623,3082,90309,5256,540,3813,9089,1944,12714,1241,16966,1031,31193,269,17866,65,9542,2,0,0,0,1,0
건설업,129667,108107,21560,1103794,956992,146802,122138,861159,3573,159514,3956,83121,79508,601555,389895,32836,79784,168601,27977,181348,13215,173960,6105,177710,1477,97655,885,143391,130,47913,63,42535,31,70681
도매및소매업,993971,587342,406629,3007745,1627380,1380365,931028,2307780,10809,226991,52134,472974,1084794,1449701,312973,160277,879597,1595185,78329,489474,23539,308031,9588,272300,1794,120742,994,153352,83,31207,41,27489,6,9965
운수및창고업,379044,355250,23794,1049058,923374,125684,368226,764776,2194,124601,8624,159681,356550,548421,42347,101740,357557,391577,9039,58188,5220,70039,4075,124956,1734,120076,1293,201451,83,31468,35,22007,8,29296
숙박및음식점업,702596,260529,442067,2067166,743223,1323943,685799,1842849,1123,29381,15674,194936,972474,508934,561202,24556,616660,1288747,68664,421605,13110,165789,3229,93228,738,48948,155,25111,21,8414,14,8989,5,6335
정보통신업,40304,33722,6582,528102,371827,156275,36249,336352,1335,122587,2720,69163,14434,475993,28852,8823,23231,48773,7958,51336,4255,56331,2989,89909,1054,72354,671,107674,92,34871,37,25058,17,41796
금융및보험업,41969,35960,6009,705824,321850,383974,11103,76781,3393,166304,27473,462739,5897,437366,18891,243670,12200,27365,10184,70654,10757,142278,6868,211784,1432,91378,377,59562,74,27986,50,33626,27,41191
부동산업,127228,84967,42261,445495,288870,156625,120822,352694,1080,36276,5326,56525,99273,298719,25830,21673,105957,175012,13468,86758,5501,71903,1868,52766,272,18067,135,21626,12,4513,9,6105,6,8745
전문과학및기술서비스업,96865,83538,13327,930441,643751,286690,83395,455994,4997,256665,8473,217782,62205,829540,30997,7699,62628,135217,20319,128541,7568,98947,4147,123031,1216,83015,706,114716,142,54360,87,58737,52,133877
사업시설관리사업지원및임대서비스업,65603,47508,18095,1025145,551300,473845,54629,575553,2876,259111,8098,190481,38751,787706,155604,43084,44622,86805,8450,54247,4532,60589,4419,134354,1679,115876,1308,220358,302,114508,236,159520,55,78888
공공행정국방및사회보장행정,12057,11383,674,648966,446257,202709,11827,639375,37,5889,193,3702,0,585595,60529,2842,1863,3652,1550,10866,3807,55389,2865,84205,850,57709,642,106921,216,83174,190,134947,74,112103
교육서비스업,175606,80875,94731,1513769,569602,944167,165329,1094246,1602,162642,8675,256881,152306,1025778,225056,110629,132917,236323,18538,118267,9118,123801,7596,236429,6033,426739,1152,147453,100,38670,81,57338,71,128749
보건업및사회복지서비스업,134208,72367,61841,1466397,299168,1167229,125461,1086188,1662,111907,7085,268302,107912,1202897,121302,34286,63253,190930,43366,271972,16362,214175,7313,221429,2532,173636,1155,177697,91,34357,61,40198,75,142003
예술스포츠및여가관련서비스업,103977,59401,44576,362955,192777,170178,101800,300969,377,20714,1800,41272,116221,129363,86689,30682,93264,162919,6765,42345,2097,27472,1152,34913,331,23002,335,50254,22,8157,7,4543,4,9350
협회및단체수리및기타개인서비스업,385644,214371,171273,856651,443831,412820,374032,765086,1443,27404,10169,64161,323169,404518,82187,46777,358074,521625,17678,111685,6368,83625,2883,83368,494,32966,137,19287,7,2412,3,1683,0,0
