행정구역별,산업별,대표자성별,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
전국,전체 산업,계,3226565,3262921,3264776,3293551,3355459,3470023,3602461,3676859,3812800,3874156,3950169,4019872,4103172,4176549,4325195
전국,전체 산업,남자,2056523,2070873,2062365,2071898,2107606,2169749,2246617,2287964,2376935,2420102,2453227,2481727,2526745,2568460,2667568
전국,전체 산업,여자,1170042,1192048,1202411,1221653,1247853,1300274,1355844,1388895,1435865,1454054,1496942,1538145,1576427,1608089,1657627
전국,"농업, 임업 및 어업(01~03)",계,2141,2181,2152,2336,2253,2363,2388,2655,3159,3289,3627,3880,4261,4522,5948
전국,"농업, 임업 및 어업(01~03)",남자,2043,2073,2042,2175,2080,2161,2161,2379,2770,2846,3119,3308,3640,3856,4940
전국,"농업, 임업 및 어업(01~03)",여자,98,108,110,161,173,202,227,276,389,443,508,572,621,666,1008
전국,광업(05~08),계,1734,1746,1723,1817,1752,1781,1836,1881,2002,2006,2012,2001,1916,1776,1654
전국,광업(05~08),남자,1624,1629,1605,1674,1594,1603,1641,1679,1785,1788,1795,1782,1706,1562,1415
전국,광업(05~08),여자,110,117,118,143,158,178,195,202,217,218,217,219,210,214,239
전국,제조업(10~34),계,335288,335402,327982,328565,336908,351346,371906,382575,409232,428643,430948,433684,437024,440766,453257
전국,제조업(10~34),남자,279951,278768,271510,270534,276281,286905,302646,309601,328687,343129,343894,344495,345690,346835,352698
전국,제조업(10~34),여자,55337,56634,56472,58031,60627,64441,69260,72974,80545,85514,87054,89189,91334,93931,100559
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",계,894,880,860,910,951,985,1067,1121,1302,1393,1584,1829,2343,3119,4449
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,881,864,845,880,923,953,1017,1072,1220,1283,1420,1575,1965,2502,3398
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,13,16,15,30,28,32,50,49,82,110,164,254,378,617,1051
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,5216,5450,5495,5683,5996,6520,7089,7565,8366,8525,8521,8533,8972,9423,9627
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,4711,4902,4926,5057,5321,5746,6177,6553,7153,7210,7195,7143,7456,7816,7957
