산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,3676859,19173387,3468383,13542020,44236,2353636,164240,3277731
농업임업및어업,2655,34202,2019,21610,142,3872,494,8720
광업,1881,15415,1700,10010,55,1709,126,3696
제조업,382575,3825678,360052,2372908,9620,674723,12903,778047
전기가스증기및공기조절공급업,1121,53595,347,3083,57,10915,717,39597
수도하수및폐기물처리원료재생업,7565,95103,6468,72800,279,7478,818,14825
건설업,118767,1045603,111573,811606,3406,158128,3788,75869
도매및소매업,957058,2885740,899828,2212634,9869,220160,47361,452946
운수및창고업,371628,1015915,361440,743048,2049,119009,8139,153858
숙박및음식점업,685669,1986673,672490,1794366,913,27339,12266,164968
정보통신업,35290,509785,31332,318783,1259,114383,2699,76619
금융및보험업,41609,707246,10154,70423,3432,163985,28023,472838
부동산업,119832,421102,113851,336884,1012,31552,4969,52666
전문과학및기술서비스업,87868,865241,75469,427448,4533,246037,7866,191756
사업시설관리사업지원및임대서비스업,59755,983585,49257,552826,2805,255456,7693,175303
공공행정국방및사회보장행정,12027,645053,11824,635019,36,6676,167,3358
교육서비스업,173740,1498539,163902,1079221,1515,159851,8323,259467
보건업및사회복지서비스업,127925,1367805,120176,1012490,1497,103249,6252,252066
예술스포츠및여가관련서비스업,104222,359129,102327,298682,338,20979,1557,39468
협회및단체수리및기타개인서비스업,385672,857978,374174,768179,1419,28135,10079,61664
