산업분류,종사자합,종사자남,종사자여
전체,21626904,12314225,9312679
농업임업및어업,40642,29315,11327
광업,15421,13312,2109
제조업,4103986,3036245,1067741
전기가스증기및공기조절공급업,61185,51983,9202
수도하수및폐기물처리원료재생업,103413,87151,16262
건설업,1438640,1244797,193843
도매및소매업,3173320,1686760,1486560
운수및창고업,1115990,969248,146742
숙박및음식점업,2214879,810005,1404874
정보통신업,575886,399723,176163
금융및보험업,726907,316551,410356
부동산업,504790,316076,188714
전문과학및기술서비스업,1010154,678507,331647
사업시설관리사업지원및임대서비스업,1168096,625199,542897
공공행정국방및사회보장행정,706780,464408,242372
교육서비스업,1596963,583703,1013260
보건업및사회복지서비스업,1782672,341211,1441461
예술스포츠및여가관련서비스업,416781,215550,201231
협회및단체수리및기타개인서비스업,870399,444481,425918
