산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3264776,16288226,2712479,4864880,309809,1969749,131797,1745360,72806,2178056,24208,1647499,10748,1703462,1613,608249,873,598807,443,972164
농업임업및어업,2152,28687,841,1902,502,3375,428,5757,288,8567,64,4359,27,3709,1,0,1,0,0,0
광업,1723,17215,1138,2850,207,1347,208,2967,137,4144,25,1688,4,563,1,0,1,0,2,0
제조업,327982,3247881,212477,432774,57250,376347,30755,409971,18720,559379,5256,360742,2911,459974,329,122522,173,117482,111,408690
전기가스증기및공기조절공급업,860,52775,161,459,200,1316,72,1010,170,5753,155,11125,78,13871,8,2796,9,5888,7,10557
수도하수및폐기물처리원료재생업,5495,80664,2043,5303,1336,8925,990,13569,829,25418,229,15601,64,9759,3,1047,0,0,1,0
건설업,97198,885116,55100,114302,21164,139899,12157,162259,6554,191103,1445,94014,650,102703,79,29692,28,19636,21,31508
도매및소매업,856901,2554013,767639,1385298,59975,374052,18776,244087,7822,222017,1650,111963,887,141283,109,40701,36,23724,7,10888
운수및창고업,340550,929684,322813,352476,7618,49367,4180,55851,3124,95700,1454,101586,1226,196921,93,34288,33,22025,9,21470
숙박및음식점업,624605,1721990,563412,1172434,49327,297714,8789,112026,2465,72137,461,29628,115,18705,21,7848,12,7620,3,3878
정보통신업,23787,427382,10918,27143,5578,36068,3135,41779,2453,74548,995,68546,572,92662,78,29115,41,27285,17,30236
금융및보험업,37576,672222,9665,22671,8987,63137,10097,134434,6881,212502,1454,94022,349,53532,85,32249,37,25515,21,34160
부동산업,112817,403852,94441,152487,10810,70112,5195,68059,1913,54283,310,20304,118,17955,14,5402,12,8124,4,7126
전문과학및기술서비스업,66517,691543,39955,93316,16093,100886,5513,72773,3118,92917,996,68629,610,101110,132,50194,69,48246,31,63472
사업시설관리사업지원및임대서비스업,45650,716917,32090,63280,5398,34418,2945,39608,2682,80897,1195,83019,908,154323,254,96700,130,87715,48,76957
공공행정국방및사회보장행정,11755,574074,2455,4609,1128,8338,3768,54017,2446,71386,975,64453,534,93795,230,87746,164,114155,55,75575
교육서비스업,160277,1317285,120306,217874,17548,111566,8846,120225,6968,221499,5626,387363,795,104457,75,29454,69,48176,44,76671
보건업및사회복지서비스업,94456,891093,52250,158036,27480,172452,9264,119668,3489,105875,1256,86054,545,83269,62,23889,54,38832,56,103018
예술스포츠및여가관련서비스업,100134,312358,93436,166727,4064,25033,1302,17266,781,23878,274,18960,236,37812,34,12078,3,2250,4,8354
협회및단체수리및기타개인서비스업,354341,763475,331339,490939,15144,95397,5377,70034,1966,56053,388,25443,119,17059,5,1766,1,0,2,0
