산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,4163979,2557090,1606889,21954539,12365878,9588661,3887458,15051032,4061181,13987821,2929046,976491,3321119,6038069,509936,3228868,184719,2425196,98984,2941373,31196,2140125,14425,2266180,276521,6903507,3600,2914728
농업임업및어업,4522,3856,666,43920,31887,12033,3570,26524,0,33955,6625,3340,2355,5119,1103,7322,567,7418,375,11213,87,6257,32,4809,952,17396,3,1782
광업,1776,1562,214,14887,12859,2028,1553,8935,1595,12192,907,193,1196,2519,205,1389,185,2555,160,4677,24,1596,3,560,223,5952,3,1591
제조업,440766,346835,93931,4123817,3070642,1053175,409579,2535170,392661,3443010,262074,26072,277958,584984,92913,624885,34026,454369,25095,749185,6695,457607,3395,539547,31187,1588647,684,713240
전기가스수도하수,12542,10318,2224,181611,152133,29478,10022,87631,4340,170457,6246,568,6639,13338,2261,14678,1517,20455,1427,45234,486,33380,173,27274,2520,93980,39,27252
건설업,146293,117387,28906,1504466,1292984,211482,138612,1187288,92818,667073,688344,56231,73904,167350,40652,267421,20326,265646,8024,231185,1849,124291,1166,188879,7681,317178,372,259694
도매및소매업,1028323,603098,425225,3289652,1752262,1537390,953382,2467485,1084229,1676672,364072,164679,892382,1651276,94813,586164,26949,350225,10928,313045,2106,142570,981,150439,74941,822167,164,95933
운수및창고업,409288,380369,28919,1155965,999530,156435,396942,800646,382533,598395,59736,115301,385367,423315,9510,61597,6343,84746,4679,142124,1914,132783,1322,203501,12346,355319,153,107899
숙박및음식점업,785706,315323,470383,2384828,893742,1491086,760302,2106763,1075239,705039,587012,17538,668943,1416720,94479,560240,17880,220001,3620,102032,595,37777,144,23087,25404,278065,45,24971
정보통신업,45303,36894,8409,606964,416537,190427,40102,359020,15239,551663,29569,10493,27911,56306,7843,50461,4315,58137,3114,94009,1162,79792,755,123270,5201,247944,203,144989
금융및보험업,43555,35626,7929,715399,316942,398457,12800,78346,6379,466835,16190,225995,14822,33618,10682,73027,10003,133222,5944,184138,1495,96239,440,69000,30755,637053,169,126155
부동산업시설관리지원임대,241763,158587,83176,1729877,983085,746792,217967,991078,166306,1276553,210716,76302,192604,333974,26880,169267,11644,151914,6431,190181,1970,135581,1538,261744,23796,738799,696,487216
전문과학및기술서비스업,118129,98201,19928,1132049,758472,373577,100855,543944,72260,999183,51973,8633,77920,164089,23672,147631,8900,117738,4892,143570,1492,101881,892,145328,17274,588105,361,311812
교육서비스업,193790,82756,111034,1672443,604163,1068280,181401,1212670,167294,1140790,245560,118799,142862,261545,24360,153109,9880,134839,8696,267030,6495,460209,1212,157652,12389,459773,285,238059
보건업및사회복지서비스업,150659,81755,68904,2033034,386832,1646202,138805,1482838,113295,1630506,219909,69324,60091,172245,50501,323533,22646,300031,11298,339495,3935,268925,1819,288672,11854,550196,369,340133
오락문화및운동관련서비스업,124621,70752,53869,458555,236176,222379,120449,370509,135040,182072,102511,38932,108189,191605,11183,69494,2935,37901,1456,43046,437,30953,378,57255,4172,88046,43,28301
기타공공수리및개인서비스업,416943,213771,203172,907072,457632,449440,401117,792185,351953,433426,77602,44091,387976,560066,18879,118650,6603,85999,2845,81209,454,30284,175,25163,15826,114887,11,5701
