산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3937715,0.62,0.38,20567856,0.57,0.43,0.94,0.699,0.189,0.635,0.129,0.047,0.805,0.277,0.115,0.14,0.044,0.111,0.024,0.135,0.008,0.099,0.004,0.106,0.06,0.301,0.001,0.131
농업임업및어업,3627,0.86,0.14,39650,0.723,0.277,0.796,0.634,0.0,0.734,0.203,0.063,0.44,0.092,0.278,0.167,0.149,0.182,0.101,0.281,0.023,0.149,0.008,0.096,0.204,0.366,0.001,0.033
광업,2012,0.892,0.108,15861,0.869,0.131,0.91,0.661,0.131,0.809,0.048,0.011,0.694,0.196,0.127,0.111,0.085,0.152,0.079,0.288,0.012,0.106,0.001,0.031,0.09,0.339,0.001,0.116
제조업,430948,0.798,0.202,4097338,0.74,0.26,0.944,0.638,0.101,0.835,0.058,0.006,0.639,0.141,0.202,0.142,0.076,0.109,0.057,0.18,0.016,0.115,0.008,0.138,0.056,0.362,0.002,0.175
전기가스수도하수,10105,0.853,0.147,161266,0.842,0.158,0.794,0.504,0.023,0.93,0.044,0.003,0.466,0.069,0.211,0.087,0.132,0.113,0.128,0.25,0.045,0.193,0.014,0.146,0.206,0.496,0.003,0.142
건설업,137220,0.821,0.179,1392554,0.859,0.141,0.956,0.819,0.064,0.474,0.43,0.031,0.551,0.114,0.23,0.143,0.142,0.182,0.052,0.15,0.013,0.086,0.009,0.138,0.044,0.181,0.003,0.186
도매및소매업,1017340,0.589,0.411,3141900,0.537,0.463,0.934,0.761,0.338,0.501,0.104,0.057,0.879,0.515,0.083,0.168,0.025,0.104,0.01,0.091,0.002,0.043,0.001,0.052,0.066,0.239,0.0,0.028
운수및창고업,385968,0.936,0.064,1111060,0.869,0.131,0.972,0.727,0.328,0.54,0.051,0.081,0.939,0.356,0.024,0.055,0.017,0.077,0.011,0.119,0.005,0.116,0.004,0.193,0.028,0.273,0.0,0.083
숙박및음식점업,729175,0.383,0.617,2162823,0.363,0.637,0.972,0.883,0.453,0.278,0.256,0.013,0.868,0.603,0.105,0.217,0.02,0.085,0.005,0.046,0.001,0.027,0.0,0.012,0.028,0.117,0.0,0.009
정보통신업,42539,0.83,0.17,567284,0.695,0.305,0.902,0.635,0.027,0.887,0.067,0.02,0.571,0.09,0.2,0.097,0.111,0.11,0.072,0.165,0.025,0.127,0.017,0.209,0.098,0.365,0.004,0.203
금융및보험업,42809,0.848,0.152,730963,0.447,0.553,0.254,0.103,0.008,0.602,0.025,0.365,0.279,0.037,0.257,0.103,0.252,0.195,0.166,0.3,0.033,0.125,0.01,0.088,0.746,0.897,0.004,0.153
부동산업시설관리지원임대,210698,0.671,0.329,1650942,0.564,0.436,0.911,0.602,0.094,0.745,0.118,0.043,0.786,0.175,0.112,0.092,0.051,0.086,0.03,0.115,0.01,0.085,0.007,0.152,0.089,0.398,0.004,0.294
전문과학및기술서비스업,103223,0.854,0.146,1002371,0.673,0.327,0.863,0.506,0.068,0.869,0.056,0.007,0.64,0.142,0.21,0.14,0.084,0.112,0.043,0.129,0.013,0.088,0.008,0.127,0.137,0.494,0.003,0.26
교육서비스업,180595,0.447,0.553,1559558,0.371,0.629,0.942,0.719,0.099,0.683,0.144,0.074,0.752,0.152,0.107,0.079,0.053,0.084,0.046,0.165,0.034,0.275,0.006,0.095,0.058,0.281,0.002,0.152
보건업및사회복지서비스업,141372,0.545,0.455,1674556,0.197,0.803,0.932,0.741,0.069,0.807,0.096,0.028,0.426,0.107,0.344,0.184,0.136,0.151,0.06,0.153,0.022,0.126,0.01,0.128,0.068,0.259,0.002,0.151
오락문화및운동관련서비스업,110230,0.568,0.432,394913,0.522,0.478,0.976,0.827,0.323,0.358,0.235,0.084,0.883,0.438,0.078,0.137,0.021,0.076,0.011,0.09,0.003,0.067,0.003,0.133,0.024,0.173,0.0,0.058
기타공공수리및개인서비스업,389854,0.538,0.462,864817,0.517,0.483,0.969,0.888,0.384,0.478,0.086,0.052,0.927,0.61,0.048,0.137,0.016,0.096,0.007,0.088,0.001,0.037,0.0,0.026,0.031,0.112,0.0,0.005
