산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4019872,2481727,1538145,21626904,12314225,9312679,3773138,15259202,49732,2681785,197002,3685917,3947956,13944003,2763785,971160,3228202,5847700,466829,2989161,178231,2354201,97545,2905930,30284,2058541,14758,2308801,2093,792484,1257,864717,673,1505369
농업임업및어업,3880,3308,572,40642,29315,11327,3121,26389,179,4230,580,10023,0,31448,6792,2402,1787,3989,1058,6953,554,7484,363,10983,89,6172,27,3814,1,0,1,0,0,0
광업,2001,1782,219,15421,13312,2109,1809,10320,55,996,137,4105,2082,12388,858,93,1387,3120,266,1814,166,2377,156,4664,18,1161,5,662,1,0,2,0,0,0
제조업,433684,344495,89189,4103986,3036245,1067741,408089,2610942,10647,693157,14948,799887,401387,3414156,267111,21332,275223,582859,89041,603973,34512,465406,23903,714981,6880,473410,3438,545202,372,141339,192,128963,123,447853
전기가스증기및공기조절공급업,1829,1575,254,61185,51983,9202,985,5623,65,10872,779,44690,520,59725,850,90,999,2137,209,1377,106,1421,239,8153,163,11402,82,14420,18,6737,7,5397,6,10141
수도하수및폐기물처리원료재생업,8533,7143,1390,103413,87151,16262,7255,76341,308,9546,970,17526,3187,94749,4866,611,3994,9476,1839,12015,1260,17153,1101,33874,258,17279,77,11508,3,1024,0,0,1,0
건설업,138478,113017,25461,1438640,1244797,193843,131942,1162008,3009,206501,3527,70131,90365,654817,639529,53929,77230,176838,31434,206553,19192,250946,7351,211786,1659,109932,1221,195199,211,79249,119,81239,61,126898
도매및소매업,1022739,601520,421219,3173320,1686760,1486560,950735,2397861,11894,265591,60110,509868,1073730,1615736,327318,156536,897145,1644100,88078,545886,24506,318638,9814,279773,1994,133193,1041,158271,101,37441,43,31924,17,24094
운수및창고업,386919,361376,25543,1115990,969248,146742,375762,800080,2058,137308,9099,178602,363799,586668,59866,105657,363398,394777,9225,60545,6364,85240,4598,140154,1805,122420,1391,217522,88,32550,39,27792,11,34990
숙박및음식점업,747577,289525,458052,2214879,810005,1404874,725787,1959198,1568,30774,20222,224907,1027916,621240,545007,20716,649333,1366699,80150,489209,13879,173797,3380,98101,645,41173,149,23815,26,9964,11,7072,4,5049
정보통신업,42887,35428,7459,575886,399723,176163,38309,356322,1402,135121,3176,84443,14646,516917,33752,10571,25281,51472,8004,51690,4497,59822,3142,95445,1045,71217,732,117743,121,45702,41,26261,24,56534
금융및보험업,43514,36363,7151,726907,316551,410356,11783,77438,3306,171554,28425,477915,6139,440339,15397,265032,13254,29422,10614,72986,10716,141693,6990,215582,1380,88051,411,65663,62,23418,55,36130,32,53962
부동산업,152083,97726,54357,504790,316076,188714,144383,390158,1253,47687,6447,66945,118020,331115,28915,26740,128651,209065,15191,97332,5922,76843,1853,52510,275,18093,146,21684,27,10568,10,6731,8,11964
전문과학및기술서비스업,104252,88636,15616,1010154,678507,331647,89758,508596,5425,265503,9069,236055,65805,884347,51967,8035,67164,141848,21637,138756,8666,113122,4401,129514,1299,88341,762,124747,172,65570,104,69623,47,138633
사업시설관리사업지원및임대서비스업,68177,48566,19611,1168096,625199,542897,56825,582566,2872,366324,8480,219206,39476,933129,158660,36831,46718,89214,8356,53835,4853,65681,4473,135671,1712,118183,1359,231986,338,128528,272,186658,96,158340
공공행정국방및사회보장행정,12488,11584,904,706780,464408,242372,12220,693422,43,8111,225,5247,0,641541,62504,2735,1805,3500,1515,10715,3489,51368,3498,103118,976,65327,687,113084,256,99646,179,129648,83,130374
교육서비스업,185275,82215,103060,1596963,583703,1013260,174312,1158239,1768,151596,9195,287128,158690,1092951,220779,124543,137732,250732,21309,134923,10029,136353,8709,269098,6008,414812,1206,155130,123,46914,88,62034,71,126967
보건업및사회복지서비스업,145909,78730,67179,1782672,341211,1441461,135977,1327833,1771,122107,8161,332732,116604,1440709,171392,53967,59839,175481,50917,324410,20580,270520,9526,285590,3244,221143,1492,228867,142,51694,85,57286,84,167681
예술스포츠및여가관련서비스업,118797,67570,51227,416781,215550,201231,115785,344243,509,23731,2503,48807,131296,152340,97854,35291,104619,180544,9564,59912,2589,33726,1241,36613,385,27074,363,54875,24,8846,7,4386,5,10805
협회및단체수리및기타개인서비스업,400850,211168,189682,870399,444481,425918,388301,771623,1600,31076,10949,67700,334294,419688,70368,46049,372643,532427,18422,116277,6351,82611,2807,80320,449,30158,169,24609,7,2581,2,0,0,0
