행정구역별,산업별,종사자성별,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
전국,전체 산업,계,15435729,15943663,16288226,16817946,17646973,18093127,18569256,19173387,19899697,20889239,21259126,21626904,22234776,22723272,21583421
전국,전체 산업,남자,9153578,9428169,9637605,9888306,10396007,10609183,10795474,11089577,11503515,12097073,12194129,12314225,12594500,12854045,12255997
전국,전체 산업,여자,6282151,6515494,6650621,6929640,7250966,7483944,7773782,8083810,8396182,8792166,9064997,9312679,9640276,9869227,9327424
전국,"농업, 임업 및 어업(01~03)",계,30305,32622,28687,30238,29433,31235,30836,34202,36034,39490,39650,40642,42324,43920,47481
전국,"농업, 임업 및 어업(01~03)",남자,22691,24739,22256,23142,21862,23366,23244,25184,26713,29262,28664,29315,30382,31887,34797
전국,"농업, 임업 및 어업(01~03)",여자,7614,7883,6431,7096,7571,7869,7592,9018,9321,10228,10986,11327,11942,12033,12684
전국,광업(05~08),계,16774,16918,17215,16571,15981,15428,15473,15415,15642,15663,15861,15421,14998,14887,13838
전국,광업(05~08),남자,14787,14911,15203,14534,14064,13469,13489,13450,13644,13599,13780,13312,12927,12859,12112
전국,광업(05~08),여자,1987,2007,2012,2037,1917,1959,1984,1965,1998,2064,2081,2109,2071,2028,1726
전국,제조업(10~34),계,3231791,3259932,3247881,3262933,3422439,3625989,3718188,3825678,3981938,4102259,4097338,4103986,4105871,4123817,3984905
전국,제조업(10~34),남자,2328141,2369470,2390951,2397865,2515572,2671263,2736677,2826468,2951530,3038999,3030512,3036245,3048514,3070642,2956335
전국,제조업(10~34),여자,903650,890462,856930,865068,906867,954726,981511,999210,1030408,1063260,1066826,1067741,1057357,1053175,1028570
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",계,50402,51545,52775,51727,51562,51676,50506,53595,55388,57364,58688,61185,64066,67526,69138
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",남자,44858,46032,46728,45777,46030,45081,44332,46887,47661,49557,50260,51983,53846,56390,57187
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",여자,5544,5513,6047,5950,5532,6595,6174,6708,7727,7807,8428,9202,10220,11136,11951
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,75749,79657,80664,82872,84132,87804,89315,95103,99187,101983,102578,103413,108906,114085,115110
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",남자,64979,68112,68899,70879,71855,74679,75932,80886,83765,85948,85592,87151,91434,95743,96004
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",여자,10770,11545,11765,11993,12277,13125,13383,14217,15422,16035,16986,16262,17472,18342,19106
전국,건설업(41~42),계,837870,853524,885116,902802,1176826,1117786,1059721,1045603,1103794,1317337,1392554,1438640,1481673,1504466,1431792
전국,건설업(41~42),남자,732303,743971,771897,787197,1041009,982166,927494,905905,956992,1146643,1196280,1244797,1273953,1292984,1222424
전국,건설업(41~42),여자,105567,109553,113219,115605,135817,135620,132227,139698,146802,170694,196274,193843,207720,211482,209368
전국,도매 및 소매업(45~47),계,2500253,2547330,2554013,2618346,2618185,2689305,2782007,2885740,3007745,3129601,3141900,3173320,3250867,3289652,2962630
전국,도매 및 소매업(45~47),남자,1350905,1383288,1391023,1428754,1420547,1452492,1500893,1558072,1627380,1697856,1686836,1686760,1719231,1752262,1642480
전국,도매 및 소매업(45~47),여자,1149348,1164042,1162990,1189592,1197638,1236813,1281114,1327668,1380365,1431745,1455064,1486560,1531636,1537390,1320150
전국,운수 및 창고업(49~52),계,869653,885737,929684,976105,989773,998457,1012741,1015915,1049058,1096051,1111060,1115990,1145752,1155965,1091939
전국,운수 및 창고업(49~52),남자,784270,795087,837113,878538,897880,885895,901524,898498,923374,966195,965557,969248,991823,999530,941923
전국,운수 및 창고업(49~52),여자,85383,90650,92571,97567,91893,112562,111217,117417,125684,129856,145503,146742,153929,156435,150016
전국,숙박 및 음식점업(55~56),계,1671710,1718029,1721990,1755201,1760917,1834978,1909081,1986673,2067166,2114297,2162823,2214879,2326716,2384828,2023871
전국,숙박 및 음식점업(55~56),남자,542135,561075,567882,590547,602962,639475,678018,711307,743223,768741,785450,810005,857592,893742,780735
전국,숙박 및 음식점업(55~56),여자,1129575,1156954,1154108,1164654,1157955,1195503,1231063,1275366,1323943,1345556,1377373,1404874,1469124,1491086,1243136
전국,정보통신업(58~63),계,401805,416971,427382,432928,464158,476412,493205,509785,528102,562946,567284,575886,599006,606964,620982
전국,정보통신업(58~63),남자,284462,295751,302490,309066,331788,339406,346915,356728,371827,394715,394306,399723,412243,416537,425088
전국,정보통신업(58~63),여자,117343,121220,124892,123862,132370,137006,146290,153057,156275,168231,172978,176163,186763,190427,195894
전국,금융 및 보험업(64~66),계,621959,641552,672222,692071,714769,726870,724771,707246,705824,745257,730963,726907,711494,715399,680970
전국,금융 및 보험업(64~66),남자,293503,305816,317653,328390,327071,331360,331007,326765,321850,329905,326781,316551,313206,316942,298304
전국,금융 및 보험업(64~66),여자,328456,335736,354569,363681,387698,395510,393764,380481,383974,415352,404182,410356,398288,398457,382666
전국,부동산업(68),계,388832,393408,403852,411358,417457,417280,412396,421102,445495,464340,501974,504790,520591,537841,510503
전국,부동산업(68),남자,273390,271890,279197,278063,278959,275177,271213,274043,288870,301146,315821,316076,324435,339655,320739
전국,부동산업(68),여자,115442,121518,124655,133295,138498,142103,141183,147059,156625,163194,186153,188714,196156,198186,189764
전국,"전문, 과학 및 기술 서비스업(70~73)",계,569071,627291,691543,732048,769087,788454,814647,865241,930441,998123,1002371,1010154,1075234,1132049,1159853
전국,"전문, 과학 및 기술 서비스업(70~73)",남자,404381,440601,484006,513475,541100,549445,564557,599420,643751,683552,674192,678507,723633,758472,768333
전국,"전문, 과학 및 기술 서비스업(70~73)",여자,164690,186690,207537,218573,227987,239009,250090,265821,286690,314571,328179,331647,351601,373577,391520
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,609741,692982,716917,745494,830441,848917,897401,983585,1025145,1127653,1148968,1168096,1187986,1192036,1108666
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",남자,336903,385438,397668,405780,442841,461248,480843,527746,551300,609707,615856,625199,632782,643430,606266
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",여자,272838,307544,319249,339714,387600,387669,416558,455839,473845,517946,533112,542897,555204,548606,502400
전국,"공공행정, 국방 및 사회보장 행정(84)",계,543025,558755,574074,657680,662894,636419,637871,645053,648966,687969,691270,706780,734566,768733,819440
전국,"공공행정, 국방 및 사회보장 행정(84)",남자,406939,412878,417026,461945,466951,451722,445251,449879,446257,464325,461951,464408,473243,488167,506897
전국,"공공행정, 국방 및 사회보장 행정(84)",여자,136086,145877,157048,195735,195943,184697,192620,195174,202709,223644,229319,242372,261323,280566,312543
전국,교육 서비스업(85),계,1249856,1299080,1317285,1363740,1430894,1438462,1475660,1498539,1513769,1563848,1559558,1596963,1630311,1672443,1579773
전국,교육 서비스업(85),남자,502284,518783,514874,526394,538063,546550,559439,567376,569602,575435,578898,583703,595618,604163,554037
전국,교육 서비스업(85),여자,747572,780297,802411,837346,892831,891912,916221,931163,944167,988413,980660,1013260,1034693,1068280,1025736
전국,보건업 및 사회복지 서비스업(86~87),계,734896,807217,891093,981216,1097838,1159592,1261722,1367805,1466397,1503360,1674556,1782672,1902052,2033034,2156232
전국,보건업 및 사회복지 서비스업(86~87),남자,192773,205649,220170,230032,242542,256538,268256,285551,299168,302053,329990,341211,361606,386832,407218
전국,보건업 및 사회복지 서비스업(86~87),여자,542123,601568,670923,751184,855296,903054,993466,1082254,1167229,1201307,1344566,1441461,1540446,1646202,1749014
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,289452,297061,312358,321267,319954,332939,343790,359129,362955,366766,394913,416781,442046,458555,380824
전국,"예술, 스포츠 및 여가관련 서비스업(90~91)",남자,165051,168135,174326,178006,176476,181530,186392,191716,192777,192685,206305,215550,228077,236176,199274
