Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,293,280,13,51,242
"공공행정, 국방 및 사회보장 행정",814,514,300,306,508
교육 서비스업,240,58,182,119,121
금융 및 보험업,232,160,72,116,116
기타,1461,675,786,571,890
"농업, 임업 및 어업",542,300,242,15,527
도매 및 소매업,747,356,391,222,525
보건업 및 사회복지 서비스업,519,119,400,183,336
"사업시설 관리, 사업 지원 및 임대 서비스업",472,234,238,58,414
숙박 및 음식점업,42,39,3,14,28
"예술, 스포츠 및 여가관련 서비스업",185,102,83,106,79
운수 및 창고업,201,186,15,57,144
"전기, 가스, 증기 및 공기조절 공급업",212,203,9,93,119
"전문, 과학 및 기술 서비스업",184,150,34,64,120
정보통신업,19,17,2,9,10
제조업,1459,1189,270,443,1016
"협회 및 단체, 수리 및 기타 개인 서비스업",253,89,164,79,174
