code,6th,Industrial
1,관리자,기타
11,공공 및 기업 고위직,기타
111,의회의원·고위공무원 및 공공단체임원,"공공행정, 국방 및 사회보장 행정"
112,기업고위임원,기타
12,행정 및 경영지원 관리직,"공공행정, 국방 및 사회보장 행정"
120,행정 및 경영지원 관리자,"공공행정, 국방 및 사회보장 행정"
13,전문서비스 관리직,기타
131,연구·교육 및 법률 관련 관리자,"전문, 과학 및 기술 서비스업"
132,보험 및 금융 관리자,금융 및 보험업
133,보건 및 사회복지 관련 관리자,보건업 및 사회복지 서비스업
134,문화·예술·디자인 및 영상 관련 관리자,"전문, 과학 및 기술 서비스업"
135,정보통신관련 관리자,정보통신업
139,기타 전문서비스 관리자,기타
14,건설·전기 및 생산 관련 관리직,제조업
141,건설·전기 및 생산 관련 관리자,제조업
149,기타 건설·전기 및 생산 관련 관리자,제조업
15,판매 및 고객서비스 관리직,도매 및 소매업
151,판매 및 운송 관리자,도매 및 소매업
152,고객서비스 관리자,기타
153,환경·청소 및 경비 관련 관리자,기타
159,기타 판매 및 고객 서비스 관리자,도매 및 소매업
2,전문가 및 관련 종사자,기타
21,과학 전문가 및 관련직,"전문, 과학 및 기술 서비스업"
211,생명 및 자연과학 관련 전문가,"전문, 과학 및 기술 서비스업"
212,인문 및 사회과학 전문가,"전문, 과학 및 기술 서비스업"
213,생명 및 자연과학 관련 시험원,"전문, 과학 및 기술 서비스업"
22,정보통신 전문가 및 기술직,정보통신업
221,컴퓨터 하드웨어 및 통신공학 전문가,정보통신업
222,정보시스템 개발 전문가,정보통신업
223,정보 시스템 운영자,정보통신업
224,통신 및 방송송출 장비 기사,정보통신업
23,공학 전문가 및 기술직,"전문, 과학 및 기술 서비스업"
231,건축 및 토목공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
232,화학공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
233,금속·재료공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
234,환경공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
235,전기·전자 및 기계공학 기술자 및 시험원,"전기, 가스, 증기 및 공기조절 공급업"
236,안전관리 및 검사원,기타
237,항공기·선박 기관사 및 관제사,운수 및 창고업
239,기타 공학 전문가 및 관련 종사자,"전문, 과학 및 기술 서비스업"
24,보건·사회복지 및 종교 관련직,보건업 및 사회복지 서비스업
241,의료진료 전문가,보건업 및 사회복지 서비스업
242,약사 및 한약사,기타
243,간호사,보건업 및 사회복지 서비스업
244,영양사,기타
245,치료사 및 의료기사,보건업 및 사회복지 서비스업
246,보건의료관련 종사자,보건업 및 사회복지 서비스업
247,사회복지관련 종사자,보건업 및 사회복지 서비스업
248,종교관련 종사자,기타
25,교육 전문가 및 관련직,교육 서비스업
251,대학 교수 및 강사,교육 서비스업
252,학교 교사,교육 서비스업
253,유치원 교사,교육 서비스업
254,문리·기술 및 예능 강사,"전문, 과학 및 기술 서비스업"
259,기타 교육 전문가,교육 서비스업
26,법률 및 행정 전문직,"공공행정, 국방 및 사회보장 행정"
261,법률 전문가,기타
262,행정 전문가,"공공행정, 국방 및 사회보장 행정"
27,경영·금융전문가 및 관련직,금융 및 보험업
271,인사 및 경영 전문가,기타
272,금융 및 보험 전문가,금융 및 보험업
273,상품기획·홍보 및 조사 전문가,기타
274,기술영업 및 중개 관련 종사자,"전문, 과학 및 기술 서비스업"
