"산업별","학력별","성별","연령",2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008
"산업별","학력별","성별","연령",평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),월급여총액 (원),정액급여 (원),초과급여 (원),전년도 연간특별급여 (원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),월급여총액 (원),정액급여 (원),초과급여 (원),전년도 연간특별급여 (원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),월급여총액 (원),정액급여 (원),초과급여 (원),전년도 연간특별급여 (원),근로자수 (명)
"전산업","전학력","전체","전체",37.5,5.8,22.9,198.0,180.4,17.5,2014265,1852825,161440,5540260,6750196,37.8,5.9,22.3,191.5,174.9,16.6,2127430,1967831,159599,5395680,6929525,38.0,5.9,21.8,188.7,172.6,16.2,2258684,2095289,163394,5561367,7240948
"농업 수렵업 및 임업(01-02)","전학력","전체","전체",41.3,11.0,22.8,185.9,178.0,7.9,2331849,2217038,114811,6936072,14057,42.1,10.3,22.2,179.2,173.7,5.5,2345955,2302143,43812,6337906,12754,41.9,8.4,21.8,176.6,172.4,4.2,2238874,2206146,32728,5072498,14540
"어 업(05)","전학력","전체","전체",46.0,3.2,24.0,187.7,185.7,2.0,2127154,2086116,41038,4730708,3523,45.8,4.2,23.8,190.0,188.1,1.8,2057616,2043065,14551,3496578,2819,45.0,4.0,21.6,175.5,173.6,1.8,2111305,2097361,13944,4601720,4988
"광 업(10-12)","전학력","전체","전체",45.4,7.6,24.0,201.0,181.0,19.9,2126503,1884765,241739,6061751,14340,45.7,9.3,23.7,197.1,175.2,21.9,2373650,2140702,232949,5361907,14228,48.0,7.4,22.5,182.6,171.9,10.8,2422808,2301056,121753,5797964,19709
"제 조 업(15-37)","전학력","전체","전체",37.0,6.2,23.5,205.4,177.1,28.3,1934598,1674915,259683,5776324,2609845,37.4,6.2,22.8,200.5,172.0,28.5,2048577,1783449,265128,6128623,2640009,37.6,6.3,22.4,199.9,171.4,28.5,2168286,1895183,273103,6254470,2592780
"전기, 가스 및 수도사업(40-41)","전학력","전체","전체",40.3,13.8,22.0,192.0,173.5,18.5,3161517,2738810,422707,12788235,49274,40.0,13.8,21.3,188.7,166.5,22.2,3224816,2861294,363523,13792337,52583,40.3,13.5,20.8,178.7,163.5,15.2,3360076,3067215,292860,14449456,54924
"건설업(45-46)","전학력","전체","전체",38.3,4.2,23.6,193.2,185.2,8.0,2015503,1946295,69207,3290002,414755,39.4,4.2,23.0,184.1,179.5,4.7,2082762,2028550,54212,2858365,423369,39.3,4.3,22.3,185.2,177.4,7.8,2277048,2191590,85458,3467034,450092
"도매 및 소매업(50∼52)","전학력","전체","전체",34.9,4.9,23.2,193.5,184.2,9.3,2069412,2010224,59188,5096180,592969,35.6,5.0,22.5,183.1,177.1,6.0,2113041,2056316,56725,4867856,611799,35.9,4.9,22.0,181.9,175.3,6.6,2201442,2139382,62060,4547460,674163
"숙박 및 음식점업(55)","전학력","전체","전체",37.7,3.1,24.5,219.0,204.6,14.4,1476304,1379377,96927,2325666,172636,37.2,3.5,23.9,210.7,197.7,13.0,1491288,1396586,94702,1670079,176200,37.0,2.9,23.4,206.0,195.1,10.9,1580494,1496511,83982,1709217,178608
"운수업(60-63)","전학력","전체","전체",41.9,6.6,22.5,201.6,176.8,24.8,1840351,1582267,258084,4744987,456410,43.0,6.6,22.1,199.8,176.7,23.0,1921615,1668296,253319,4444602,410853,41.7,6.2,21.6,189.2,171.9,17.3,1989217,1793214,196003,4523412,514723
"통신업(64)","전학력","전체","전체",38.4,12.1,21.6,177.9,167.7,10.2,2828279,2678906,149373,11106578,66861,38.1,10.6,20.7,170.2,161.6,8.6,2940548,2819025,121523,10410058,68953,39.1,11.9,20.6,170.3,160.7,9.6,3156207,2999142,157065,11353488,113021
"금융 및 보험업(65-67)","전학력","전체","전체",35.8,10.1,21.2,175.5,168.0,7.5,2626740,2542958,83782,14414563,339770,36.0,9.6,20.2,165.3,160.3,5.0,2884825,2809431,75393,12887308,338049,36.2,9.9,20.1,164.3,158.5,5.7,2981458,2895026,86431,14919533,369880
"부동산 및 임대업(70-71)","전학력","전체","전체",48.5,3.8,20.5,240.3,237.3,3.0,1444347,1403851,40495,2811915,203905,49.5,4.2,20.0,231.1,227.8,3.4,1691479,1646167,45312,2507436,210690,49.1,4.0,19.6,225.8,222.3,3.5,1734427,1685736,48692,2077814,199482
"사업 서비스업(72-75)","전학력","전체","전체",36.6,4.0,21.8,185.5,174.8,10.7,2141988,2066544,75444,3542489,750680,35.9,4.5,21.1,178.5,168.2,10.3,2288671,2197793,90878,4761928,851357,36.2,4.4,20.9,176.7,165.1,11.6,2491092,2381714,109377,4389534,850451
"교육서비스업(80)","전학력","전체","전체",38.8,7.7,22.1,175.6,171.0,4.6,2325596,2268527,57068,7003429,360561,39.1,7.8,21.4,169.8,165.7,4.1,2519578,2481713,37865,4276750,362878,39.4,7.3,20.8,166.6,161.9,4.6,2632810,2572511,60299,3664416,394397
"보건 및 사회복지사업(85-86)","전학력","전체","전체",34.5,4.6,23.3,195.1,185.4,9.7,1900792,1810919,89873,4408843,398470,34.2,4.5,22.7,189.5,178.4,11.1,1923960,1829378,94582,3809417,437957,35.1,4.8,22.1,184.6,175.0,9.6,2045681,1945799,99882,4197575,476455
"오락, 문화 및 운동관련서비스업(87-88)","전학력","전체","전체",35.9,5.1,23.1,192.7,181.5,11.3,2146555,2035116,111439,6463459,93308,36.6,5.4,22.6,187.5,176.3,11.2,2279033,2150654,128379,5074849,95188,36.8,6.4,21.7,182.3,171.3,11.0,2396875,2263118,133757,6087969,113619
"기타 공공, 수리 및 개인서비스업(90-93)","전학력","전체","전체",38.8,5.0,23.8,196.4,187.3,9.1,1834091,1750248,83843,3734185,208832,39.7,5.0,23.5,193.2,185.0,8.2,1870830,1796263,74567,2951780,219839,39.1,4.9,23.2,190.2,181.3,8.9,1976700,1881815,94885,3206563,219115
