"산업분류별","학력별","성별","연령",2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"산업분류별","학력별","성별","연령",평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명)
"전체","전학력","전체","전체",38.5,6.2,22.8,194.8,180.4,14.3,-,2710,2270,2115,156,440,5281,7377241,39.0,6.2,22.5,192.8,177.6,15.2,-,2785,2360,2192,169,425,5095,7698676,39.6,6.1,22.2,189.3,173.4,15.9,-,2916,2454,2268,186,461,5537,8067180,39.9,6.2,21.4,182.3,166.4,16.0,-,2997,2567,2371,196,431,5170,8569535,40.5,6.4,20.7,176.3,160.2,16.0,-,3116,2660,2451,209,457,5482,8683949,40.4,6.0,20.7,175.9,161.2,14.7,-,3235,2754,2545,209,481,5777,9227229,41.1,6.2,22.4,184.2,175.2,9.0,4.2,3269,2820,2607,212,449,5389,9643688,41.5,6.4,21.7,182.0,169.0,13.0,4.2,3351,2892,2686,207,459,5508,10221341,41.6,6.3,21.6,180.8,168.0,12.7,4.1,3446,3002,2779,222,445,5338,10353783,42.0,6.5,20.2,167.5,155.7,11.8,4.2,3593,3137,2911,225,456,5475,10510220,42.6,6.7,19.9,163.6,153.1,10.5,3.3,3720,3259,3042,216,461,5537,10846459
"A. 농업,임업및어업(01~03)","전학력","전체","전체",42.8,8.2,23.3,186.1,181.6,4.5,-,2823,2332,2290,42,491,5894,15375,43.6,9.0,22.6,183.6,178.9,4.7,-,2997,2483,2439,44,515,6175,16892,43.5,8.7,22.1,178.7,174.6,4.1,-,3067,2509,2466,43,558,6693,16137,43.5,8.9,21.4,172.8,168.1,4.7,-,3036,2584,2521,63,452,5428,19200,44.6,9.3,20.9,168.5,163.7,4.8,-,3227,2714,2650,64,513,6152,18968,44.9,8.4,21.0,175.7,170.1,5.6,-,3127,2625,2556,69,501,6017,21494,45.1,8.5,23.1,184.8,180.7,4.1,2.9,3186,2669,2593,76,517,6210,22022,45.2,8.3,22.4,181.5,175.4,6.1,3.0,3283,2746,2659,87,536,6437,24086,44.4,6.8,22.7,183.8,178.5,5.4,2.6,3078,2638,2564,73,441,5286,24656,44.6,7.7,21.3,169.8,165.2,4.6,2.3,3342,2853,2777,76,490,5875,26618,45.0,8.2,20.7,165.1,161.0,4.0,2.0,3406,2897,2832,65,509,6114,27137
"B. 광업(05~08)","전학력","전체","전체",45.7,8.0,23.3,194.8,177.4,17.5,-,2901,2472,2298,174,428,5141,13664,46.7,8.8,23.3,192.7,174.9,17.8,-,3032,2621,2417,204,412,4940,13493,46.9,8.2,23.4,203.4,176.9,26.5,-,3170,2745,2390,356,424,5090,12179,47.9,8.9,22.6,196.1,168.2,28.0,-,3234,2803,2428,376,430,5163,12120,48.3,8.6,21.9,188.6,162.4,26.3,-,3444,2967,2582,385,477,5730,11304,48.4,7.9,21.7,190.0,163.3,26.7,-,3509,3046,2669,377,463,5554,11864,49.2,8.3,23.5,197.3,180.9,16.4,6.5,3793,3319,2971,348,474,5686,11981,49.8,8.3,23.0,194.0,175.3,18.7,6.7,3836,3395,3116,279,440,5286,12094,50.6,8.0,23.3,198.3,174.7,23.6,9.0,4004,3526,3129,397,477,5728,12318,51.0,8.3,22.5,187.7,166.9,20.7,9.7,4178,3716,3308,408,462,5548,11890,51.4,8.6,22.3,186.8,166.1,20.8,9.9,4260,3783,3363,420,477,5725,11370
"C. 제조업(10~33)","전학력","전체","전체",38.0,6.6,23.2,202.7,178.1,24.5,-,2671,2163,1908,255,508,6099,2470480,38.6,6.5,23.0,202.7,175.6,27.1,-,2774,2274,1987,287,500,5996,2472717,39.2,6.6,22.8,203.7,172.4,31.3,-,2928,2352,2000,352,575,6903,2605919,39.6,6.7,21.9,195.8,164.3,31.4,-,3056,2503,2131,372,553,6640,2780795,40.1,7.0,21.2,189.0,158.3,30.8,-,3246,2635,2253,381,611,7336,2875073,39.4,6.5,21.4,187.7,161.8,25.8,-,3515,2819,2461,359,695,8345,2962054,40.4,6.9,22.9,194.1,175.4,18.7,8.2,3569,2912,2537,375,657,7878,3070468,40.7,7.0,22.2,193.3,169.7,23.7,8.2,3613,2984,2618,366,629,7544,3102942,41.1,7.1,22.2,193.3,169.0,24.4,8.6,3658,3054,2648,406,604,7253,3116644,41.6,7.3,20.8,179.9,157.4,22.5,8.8,3851,3217,2806,411,634,7608,3099229,42.1,7.7,20.3,174.6,155.0,19.6,6.9,3968,3342,2945,397,626,7509,3110600
"D. 전기,가스,증기및수도사업(35~36)","전학력","전체","전체",40.6,14.0,21.9,186.0,172.0,14.0,-,4645,3443,3153,290,1202,14419,54190,41.5,14.9,21.5,183.6,169.4,14.2,-,4877,3598,3286,313,1279,15343,54054,41.4,14.5,21.5,184.8,170.3,14.5,-,5065,3717,3433,283,1349,16187,52475,41.5,14.4,20.6,174.7,161.7,13.1,-,4972,3873,3579,294,1099,13188,53434,42.1,14.8,19.6,170.4,155.1,15.3,-,5183,4044,3702,343,1139,13666,51892,41.9,14.5,20.1,173.6,157.9,15.7,-,5287,4159,3788,371,1128,13535,56518,41.9,14.4,21.4,173.5,169.3,4.2,1.9,5424,4292,3925,367,1132,13587,58764,41.8,14.2,21.4,182.0,169.9,12.1,1.7,5836,4438,4100,337,1398,16776,61232,42.0,14.0,21.3,179.7,169.1,10.6,1.7,5677,4399,4065,334,1278,15330,64094,41.8,14.0,19.6,167.4,156.6,10.8,1.8,5844,4613,4267,346,1231,14768,66298,41.5,13.6,19.6,164.6,157.1,7.5,1.0,5834,4650,4388,262,1184,14209,69613
"E. 하수·폐기물처리,원료재생및환경복원업(37~39)","전학력","전체","전체",43.7,5.0,24.0,203.8,186.2,17.6,-,2398,2175,1996,179,223,2677,46850,43.8,5.4,23.7,201.0,184.4,16.6,-,2500,2264,2076,188,236,2834,49435,44.1,5.4,23.1,194.8,178.1,16.7,-,2565,2306,2099,207,259,3111,52401,44.3,5.7,22.1,186.2,171.7,14.4,-,2606,2400,2212,188,206,2476,54355,44.3,5.8,21.5,180.3,165.8,14.5,-,2786,2561,2341,220,224,2694,56103,45.9,6.3,21.4,181.6,165.5,16.1,-,2951,2696,2418,278,255,3063,59803,46.4,6.5,23.1,189.7,180.1,9.7,4.5,2985,2761,2519,242,224,2693,62968,47.1,6.7,22.6,190.4,175.7,14.8,4.7,3118,2846,2562,284,272,3263,64284,46.6,6.6,22.6,190.3,173.8,16.5,5.4,3363,3050,2739,311,313,3755,65375,47.1,6.9,21.3,177.9,163.6,14.3,6.2,3579,3268,2938,330,311,3734,67095,47.3,7.1,20.9,173.1,160.0,13.2,5.0,3761,3421,3106,315,340,4086,71488
"F. 건설업(41~42)","전학력","전체","전체",40.3,4.9,23.1,189.8,183.3,6.5,-,2553,2289,2210,79,264,3170,431426,40.7,5.4,22.9,189.3,182.4,6.9,-,2684,2418,2321,97,266,3190,440409,41.5,4.8,22.3,181.5,175.0,6.6,-,2820,2536,2454,82,284,3406,476361,41.7,5.2,21.4,175.3,169.0,6.4,-,2905,2636,2545,91,269,3229,502588,42.7,5.2,20.5,167.7,161.3,6.3,-,2999,2722,2631,91,277,3321,458830,42.3,5.1,20.8,170.9,161.9,9.0,-,3197,2909,2762,146,288,3456,484246,43.2,5.1,22.6,183.1,177.0,6.1,3.7,3137,2900,2760,140,237,2844,500305,43.5,5.3,21.9,180.2,171.5,8.6,3.6,3290,3050,2890,160,240,2876,543896,43.8,5.1,21.8,177.8,170.9,7.0,2.7,3445,3197,2997,200,247,2965,559063,44.5,5.5,20.2,165.5,158.0,7.5,2.8,3587,3342,3156,186,245,2937,542566,45.4,5.7,19.8,161.4,153.8,7.6,2.3,3638,3402,3222,180,237,2841,549124
"G. 도매및소매업(45~47)","전학력","전체","전체",36.6,5.4,23.1,192.2,185.5,6.7,-,2584,2216,2151,65,368,4421,687241,36.8,5.2,22.7,189.1,182.8,6.3,-,2697,2339,2270,68,358,4300,755864,37.3,4.9,22.4,186.2,177.4,8.8,-,2763,2389,2290,99,374,4483,752163,38.1,5.1,21.7,181.1,172.9,8.3,-,2832,2481,2383,98,351,4216,787616,38.6,5.2,21.0,175.7,166.2,9.6,-,2903,2556,2436,119,347,4166,805688,38.9,4.9,21.0,174.4,165.7,8.7,-,2962,2587,2463,124,375,4496,895849,39.3,5.1,22.6,184.4,180.0,4.4,2.2,3005,2659,2538,121,345,4144,949444,39.9,5.5,21.9,180.8,173.0,7.8,2.4,3076,2722,2608,114,354,4250,1026442,40.1,5.1,21.9,180.0,172.4,7.6,2.0,3249,2924,2800,124,326,3909,1040702,40.5,5.4,20.6,166.6,160.2,6.4,2.2,3418,3082,2967,116,335,4024,1060291,41.1,5.7,20.2,162.8,156.9,5.9,1.6,3588,3225,3116,109,363,4351,1114191
