"행정구역별","산업별","대표자연령대",2012,2013,2014,2015,2016,2017,2018,2019,2020
"전국","전체 산업","계",3602461,3676859,3812800,3874156,3950169,4019872,4103172,4176549,4325195
"전국","전체 산업","29세 이하",74993,67568,83250,82917,91941,101673,103744,108492,145394
"전국","전체 산업","30~39세",538755,440893,468594,493652,515704,519616,523860,526999,540613
"전국","전체 산업","40~49세",1131878,1142930,1149962,1120713,1127372,1127283,1131191,1133828,1098203
"전국","전체 산업","50~59세",1255751,1398124,1410031,1387248,1391856,1399680,1417306,1445205,1432719
"전국","전체 산업","60세 이상",601084,627344,700963,789626,823296,871620,927071,962025,1108266
"전국","농업, 임업 및 어업(01~03)","계",2388,2655,3159,3289,3627,3880,4261,4522,5948
"전국","농업, 임업 및 어업(01~03)","29세 이하",15,14,27,29,36,33,42,43,101
"전국","농업, 임업 및 어업(01~03)","30~39세",154,145,199,223,236,257,285,288,473
"전국","농업, 임업 및 어업(01~03)","40~49세",517,509,674,697,755,802,956,1067,1206
"전국","농업, 임업 및 어업(01~03)","50~59세",1151,1403,1524,1530,1642,1710,1785,1857,2342
"전국","농업, 임업 및 어업(01~03)","60세 이상",551,584,735,810,958,1078,1193,1267,1826
"전국","광업(05~08)","계",1836,1881,2002,2006,2012,2001,1916,1776,1654
"전국","광업(05~08)","29세 이하",13,10,17,13,11,12,9,14,11
"전국","광업(05~08)","30~39세",97,93,96,88,78,75,77,64,60
"전국","광업(05~08)","40~49세",338,303,310,309,289,340,303,507,287
"전국","광업(05~08)","50~59세",718,751,764,762,767,768,695,602,554
"전국","광업(05~08)","60세 이상",670,724,815,834,867,806,832,589,742
"전국","제조업(10~34)","계",371906,382575,409232,428643,430948,433684,437024,440766,453257
"전국","제조업(10~34)","29세 이하",3579,3391,4912,5253,5710,6181,6240,6635,9293
"전국","제조업(10~34)","30~39세",35543,27602,32283,34123,35223,35399,33232,32220,36672
"전국","제조업(10~34)","40~49세",125401,114556,119629,120556,120409,119936,112573,105190,101548
"전국","제조업(10~34)","50~59세",149334,175332,181525,184686,185138,183530,185452,184516,175109
"전국","제조업(10~34)","60세 이상",58049,61694,70883,84025,84468,88638,99527,112205,130635
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","계",1067,1121,1302,1393,1584,1829,2343,3119,4449
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",3,3,4,5,6,14,21,43,92
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",34,33,47,52,71,86,121,174,281
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",180,155,214,204,238,263,449,639,699
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",607,708,745,758,836,962,1052,1375,1490
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",243,222,292,374,433,504,700,888,1887
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",7089,7565,8366,8525,8521,8533,8972,9423,9627
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",64,64,91,82,104,107,99,113,153
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",635,529,625,613,615,607,619,630,701
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",2024,1848,2151,2102,2009,2037,2133,2263,2065
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",3102,3797,3869,3833,3910,3881,4034,3997,4113
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",1264,1327,1630,1895,1883,1901,2087,2420,2595
"전국","건설업(41~42)","계",111181,118767,129667,133797,137220,138478,142840,146293,158401
"전국","건설업(41~42)","29세 이하",1049,941,1427,1462,1723,1982,2373,2458,3627
"전국","건설업(41~42)","30~39세",12166,9133,10628,10903,11197,11423,10345,10240,12238
"전국","건설업(41~42)","40~49세",42622,43982,46939,45493,46383,46225,44951,41063,42301
"전국","건설업(41~42)","50~59세",42759,51307,53904,55365,56555,57418,59176,60732,63803
"전국","건설업(41~42)","60세 이상",12585,13404,16769,20574,21362,21430,25995,31800,36432
"전국","도매 및 소매업(45~47)","계",939357,957058,993971,1015117,1017340,1022739,1027109,1028323,1064434
"전국","도매 및 소매업(45~47)","29세 이하",23042,21305,25837,25215,27326,28830,28172,30451,38363
"전국","도매 및 소매업(45~47)","30~39세",162758,131695,143221,150066,155868,152419,143687,135428,147836
