"행정구역별","산업별","조직형태별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","전체 산업","계","사업체수[개]","개","3226565","3262921","3264776","3293551","3355459","3470023","3602461","3676859","3812800","3874156","3950169","4019872","4103172","4176549","4325195",
"전국","전체 산업","계","종사자수[명]","명","15435729","15943663","16288226","16817946","17646973","18093127","18569256","19173387","19899697","20889239","21259126","21626904","22234776","22723272","21583421",
"전국","전체 산업","개인사업체","사업체수[개]","개","2743212","2756095","2748154","2755641","2793304","2869938","2951744","2986628","3056853","3104928","3160391","3197878","3245411","3276822","3347277",
"전국","전체 산업","개인사업체","종사자수[명]","명","6588396","6727177","6710800","6808144","6900118","7151214","7329804","7437909","7658093","7868870","8028713","8156480","8272436","8413151","7053811",
"전국","전체 산업","회사법인","사업체수[개]","개","294690","310001","316485","332871","352007","384967","424849","454080","509839","524190","541415","565580","594173","624739","669672",
"전국","전체 산업","회사법인","종사자수[명]","명","6226907","6470099","6751326","6997692","7645803","7803529","8010547","8337507","8722898","9376147","9499799","9640798","9934168","10022163","9793962",
"전국","전체 산업","회사이외법인","사업체수[개]","개","151736","159477","94372","94526","94097","94918","100000","106308","115508","118407","121327","124197","130272","136653","220551",
"전국","전체 산업","회사이외법인","종사자수[명]","명","1436183","1529061","2420228","2595584","2674306","2685638","2753093","2874297","2968509","3100908","3177040","3222166","3366656","3546321","4031466",
"전국","전체 산업","비법인단체","사업체수[개]","개","36927","37348","105765","110513","116051","120200","125868","129843","130600","126631","127036","132217","133316","138335","87695",
"전국","전체 산업","비법인단체","종사자수[명]","명","1184243","1217326","405872","416526","426746","452746","475812","523674","550197","543314","553574","607460","661516","741637","704182",
"전국","농업, 임업 및 어업(01~03)","계","사업체수[개]","개","2141","2181","2152","2336","2253","2363","2388","2655","3159","3289","3627","3880","4261","4522","5948",
"전국","농업, 임업 및 어업(01~03)","계","종사자수[명]","명","30305","32622","28687","30238","29433","31235","30836","34202","36034","39490","39650","40642","42324","43920","47481",
"전국","농업, 임업 및 어업(01~03)","개인사업체","사업체수[개]","개","56","33","50","40","18","13","13","7","3","","","","","","",
"전국","농업, 임업 및 어업(01~03)","개인사업체","종사자수[명]","명","260","183","192","127","40","28","24","8","3","","","","","","",
"전국","농업, 임업 및 어업(01~03)","회사법인","사업체수[개]","개","557","559","559","695","758","737","783","959","1134","1280","1819","1742","2164","2250","3397",
"전국","농업, 임업 및 어업(01~03)","회사법인","종사자수[명]","명","8520","8702","8658","9187","10228","10526","9748","11225","11887","14929","16892","16251","18796","18565","22429",
"전국","농업, 임업 및 어업(01~03)","회사이외법인","사업체수[개]","개","1483","1537","1085","1164","1042","1213","1263","1413","1767","1781","1617","1930","1890","2041","2446",
"전국","농업, 임업 및 어업(01~03)","회사이외법인","종사자수[명]","명","20693","22754","16091","16150","15450","16798","18010","19570","20484","21755","20379","21510","20401","22119","23800",
"전국","농업, 임업 및 어업(01~03)","비법인단체","사업체수[개]","개","45","52","458","437","435","400","329","276","255","228","191","208","207","231","105",
"전국","농업, 임업 및 어업(01~03)","비법인단체","종사자수[명]","명","832","983","3746","4774","3715","3883","3054","3399","3660","2806","2379","2881","3127","3236","1252",
"전국","광업(05~08)","계","사업체수[개]","개","1734","1746","1723","1817","1752","1781","1836","1881","2002","2006","2012","2001","1916","1776","1654",
"전국","광업(05~08)","계","종사자수[명]","명","16774","16918","17215","16571","15981","15428","15473","15415","15642","15663","15861","15421","14998","14887","13838",
"전국","광업(05~08)","개인사업체","사업체수[개]","개","1136","1139","1076","1109","1117","1112","1137","1146","1171","1197","1205","1199","1134","977","914",
