"행정구역별","산업별","종사상지위별",2020,2021,2022,2023
"전국","전체 산업","계",24813449,24931600,25217123,25445897
"전국","전체 산업","자영업자,무급가족",5370299,5299885,5343440,5349624
"전국","전체 산업","상용종사자",15549124,16083945,16229139,16443483
"전국","전체 산업","임시 및 일용근로자",3166461,2731109,2764807,2751195
"전국","전체 산업","기타종사자",727565,816661,879737,901595
"전국","농업, 임업 및 어업(01~03)","계",63990,66163,66605,65192
"전국","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"전국","농업, 임업 및 어업(01~03)","상용종사자",47944,49889,51536,50627
"전국","농업, 임업 및 어업(01~03)","임시 및 일용근로자",13289,12855,11743,12351
"전국","농업, 임업 및 어업(01~03)","기타종사자",2757,3419,3326,2214
"전국","광업(05~08)","계",14941,14863,14442,13232
"전국","광업(05~08)","자영업자,무급가족",1890,1615,1514,1530
"전국","광업(05~08)","상용종사자",12130,11841,11734,10734
"전국","광업(05~08)","임시 및 일용근로자",810,990,1068,867
"전국","광업(05~08)","기타종사자",111,417,126,101
"전국","제조업(10~34)","계",4260429,4217537,4253904,4156969
"전국","제조업(10~34)","자영업자,무급가족",503605,471110,469160,412208
"전국","제조업(10~34)","상용종사자",3492053,3511658,3542174,3530825
"전국","제조업(10~34)","임시 및 일용근로자",238059,211104,218557,193302
"전국","제조업(10~34)","기타종사자",26712,23665,24013,20634
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","계",142433,156994,160666,175313
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",67897,82010,84385,102224
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",71632,72632,74969,71846
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",2503,1865,892,760
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",401,487,420,483
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",127635,133172,134281,131801
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",5970,5806,6070,5831
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",113357,118565,120860,119542
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",7684,7971,6619,5572
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",624,830,732,856
"전국","건설업(41~42)","계",2159187,1987478,1955608,1923114
"전국","건설업(41~42)","자영업자,무급가족",378000,392776,402850,398809
"전국","건설업(41~42)","상용종사자",838746,846922,852404,843784
"전국","건설업(41~42)","임시 및 일용근로자",918321,717472,673452,648782
"전국","건설업(41~42)","기타종사자",24120,30308,26902,31739
"전국","도매 및 소매업(45~47)","계",3689068,3668167,3577536,3574852
"전국","도매 및 소매업(45~47)","자영업자,무급가족",1458761,1431644,1418209,1446470
"전국","도매 및 소매업(45~47)","상용종사자",1767633,1854948,1782458,1767533
"전국","도매 및 소매업(45~47)","임시 및 일용근로자",377813,288910,291179,281994
"전국","도매 및 소매업(45~47)","기타종사자",84861,92665,85690,78855
"전국","운수 및 창고업(49~52)","계",1326727,1361418,1383516,1427375
"전국","운수 및 창고업(49~52)","자영업자,무급가족",559096,581890,610250,632644
"전국","운수 및 창고업(49~52)","상용종사자",638327,620589,619334,636979
"전국","운수 및 창고업(49~52)","임시 및 일용근로자",57662,45084,47464,52064
"전국","운수 및 창고업(49~52)","기타종사자",71642,113855,106468,105688
"전국","숙박 및 음식점업(55~56)","계",2093205,2108073,2215219,2298936
"전국","숙박 및 음식점업(55~56)","자영업자,무급가족",1069846,1028394,1029500,1015620
"전국","숙박 및 음식점업(55~56)","상용종사자",584948,642534,679612,739672
"전국","숙박 및 음식점업(55~56)","임시 및 일용근로자",429045,429827,499237,534288
"전국","숙박 및 음식점업(55~56)","기타종사자",9366,7318,6870,9356
"전국","정보통신업(58~63)","계",774130,831969,872905,873769
"전국","정보통신업(58~63)","자영업자,무급가족",61539,65889,69882,72474
"전국","정보통신업(58~63)","상용종사자",661590,713334,746437,752358
"전국","정보통신업(58~63)","임시 및 일용근로자",37118,39352,42426,37506
"전국","정보통신업(58~63)","기타종사자",13883,13394,14160,11431
"전국","금융 및 보험업(64~66)","계",728687,741010,731176,732954
"전국","금융 및 보험업(64~66)","자영업자,무급가족",19091,17164,15328,15494
"전국","금융 및 보험업(64~66)","상용종사자",494033,511678,501067,503606
"전국","금융 및 보험업(64~66)","임시 및 일용근로자",16115,14007,15355,14113
"전국","금융 및 보험업(64~66)","기타종사자",199448,198161,199426,199741
"전국","부동산업(68)","계",684981,702920,692012,674587
"전국","부동산업(68)","자영업자,무급가족",170489,170254,172067,167476
"전국","부동산업(68)","상용종사자",442534,474938,465732,465210
"전국","부동산업(68)","임시 및 일용근로자",56036,36761,35782,24958
"전국","부동산업(68)","기타종사자",15922,20967,18431,16943
"전국","전문, 과학 및 기술 서비스업(70~73)","계",1365432,1404904,1436619,1492837
"전국","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",147031,144559,144855,145410
"전국","전문, 과학 및 기술 서비스업(70~73)","상용종사자",1114853,1197137,1218692,1281140
"전국","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",93825,53768,62480,54869
"전국","전문, 과학 및 기술 서비스업(70~73)","기타종사자",9723,9440,10592,11418
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",1316478,1300767,1300103,1338595
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",110420,101462,96616,94674
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",949999,966387,966575,1017229
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",208318,190688,189852,181275
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",47741,42230,47060,45417
"전국","공공행정, 국방 및 사회보장 행정(84)","계",826822,866310,888959,899420
"전국","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"전국","공공행정, 국방 및 사회보장 행정(84)","상용종사자",742466,760158,791292,788506
"전국","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",82055,104759,95835,107641
"전국","공공행정, 국방 및 사회보장 행정(84)","기타종사자",2301,1393,1832,3273
"전국","교육 서비스업(85)","계",1652891,1687025,1723109,1718615
"전국","교육 서비스업(85)","자영업자,무급가족",204159,210515,218134,230015
"전국","교육 서비스업(85)","상용종사자",1188876,1216034,1222015,1205869
"전국","교육 서비스업(85)","임시 및 일용근로자",179981,165633,170036,158956
"전국","교육 서비스업(85)","기타종사자",79875,94843,112924,123775
"전국","보건업 및 사회복지 서비스업(86~87)","계",2249829,2357153,2457512,2567968
"전국","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",80828,81774,86540,86997
"전국","보건업 및 사회복지 서비스업(86~87)","상용종사자",1801916,1906393,1967741,2044132
"전국","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",307760,297468,282073,321438
"전국","보건업 및 사회복지 서비스업(86~87)","기타종사자",59325,71518,121158,115401
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","계",420849,421838,444340,455369
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",143030,135832,135843,135237
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",176711,186736,192583,196959
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",72258,61873,71376,72993
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",28850,37397,44538,50180
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",915735,903839,908611,924999
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",388647,377191,382237,386511
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",409376,421572,421924,416932
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",67809,50722,49381,47466
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",49903,54354,55069,74090
"서울","전체 산업","계",5868926,5771226,5795417,5800617
"서울","전체 산업","자영업자,무급가족",993112,949119,942492,925946
"서울","전체 산업","상용종사자",3916714,4011989,4024457,4069598
"서울","전체 산업","임시 및 일용근로자",795228,646994,651919,630187
"서울","전체 산업","기타종사자",163872,163124,176549,174886
"서울","농업, 임업 및 어업(01~03)","계",835,753,621,522
"서울","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"서울","농업, 임업 및 어업(01~03)","상용종사자",541,637,527,481
"서울","농업, 임업 및 어업(01~03)","임시 및 일용근로자",290,114,81,38
"서울","농업, 임업 및 어업(01~03)","기타종사자",4,2,13,3
"서울","광업(05~08)","계",94,135,150,141
"서울","광업(05~08)","자영업자,무급가족",3,3,2,2
"서울","광업(05~08)","상용종사자",87,127,145,135
"서울","광업(05~08)","임시 및 일용근로자",2,5,3,4
"서울","광업(05~08)","기타종사자",2,0,0,0
"서울","제조업(10~34)","계",284356,267489,261088,241919
"서울","제조업(10~34)","자영업자,무급가족",80296,72635,70784,61074
"서울","제조업(10~34)","상용종사자",166291,163827,159042,155451
"서울","제조업(10~34)","임시 및 일용근로자",32135,25426,24579,20428
"서울","제조업(10~34)","기타종사자",5634,5601,6683,4966
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","계",6841,6873,6929,7368
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",398,330,226,327
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",6288,6483,6582,6978
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",139,54,91,55
"서울","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",16,6,30,8
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",10342,10610,10750,10599
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",234,225,248,244
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",9363,9846,9738,9654
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",721,489,680,617
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",24,50,84,84
"서울","건설업(41~42)","계",515446,449060,453044,408445
"서울","건설업(41~42)","자영업자,무급가족",53681,53639,53468,52216
"서울","건설업(41~42)","상용종사자",200573,187336,191853,166950
"서울","건설업(41~42)","임시 및 일용근로자",257340,204102,203886,184465
"서울","건설업(41~42)","기타종사자",3852,3983,3837,4814
"서울","도매 및 소매업(45~47)","계",1043507,1009123,962626,950356
"서울","도매 및 소매업(45~47)","자영업자,무급가족",293782,278837,270762,273598
"서울","도매 및 소매업(45~47)","상용종사자",638106,649475,613929,602089
"서울","도매 및 소매업(45~47)","임시 및 일용근로자",98242,67359,65029,62292
"서울","도매 및 소매업(45~47)","기타종사자",13377,13452,12906,12377
"서울","운수 및 창고업(49~52)","계",279478,274477,280575,285491
"서울","운수 및 창고업(49~52)","자영업자,무급가족",98454,103311,111226,110786
"서울","운수 및 창고업(49~52)","상용종사자",161335,154561,153289,158730
"서울","운수 및 창고업(49~52)","임시 및 일용근로자",9342,7251,6478,5929
"서울","운수 및 창고업(49~52)","기타종사자",10347,9354,9582,10046
"서울","숙박 및 음식점업(55~56)","계",432643,424071,441817,462916
"서울","숙박 및 음식점업(55~56)","자영업자,무급가족",164304,151420,149835,145544
"서울","숙박 및 음식점업(55~56)","상용종사자",169696,178183,185426,202591
"서울","숙박 및 음식점업(55~56)","임시 및 일용근로자",96358,92980,105050,112827
"서울","숙박 및 음식점업(55~56)","기타종사자",2285,1488,1506,1954
"서울","정보통신업(58~63)","계",459805,490621,518475,507543
"서울","정보통신업(58~63)","자영업자,무급가족",25836,26418,27428,25724
"서울","정보통신업(58~63)","상용종사자",403496,435119,459921,454404
"서울","정보통신업(58~63)","임시 및 일용근로자",21352,21600,22976,20700
"서울","정보통신업(58~63)","기타종사자",9121,7484,8150,6715
"서울","금융 및 보험업(64~66)","계",293104,299058,296873,293487
