Industrial,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
농업임업및어업,30305,32622,28687,30238,29433,31235,30836,34202,36034,39490,39650,40642,42324,43920,47481
광업,16774,16918,17215,16571,15981,15428,15473,15415,15642,15663,15861,15421,14998,14887,13838
제조업,3231791,3259932,3247881,3262933,3422439,3625989,3718188,3825678,3981938,4102259,4097338,4103986,4105871,4123817,3984905
전기가스증기및공기조절공급업,50402,51545,52775,51727,51562,51676,50506,53595,55388,57364,58688,61185,64066,67526,69138
수도하수및폐기물처리원료재생업,75749,79657,80664,82872,84132,87804,89315,95103,99187,101983,102578,103413,108906,114085,115110
건설업,837870,853524,885116,902802,1176826,1117786,1059721,1045603,1103794,1317337,1392554,1438640,1481673,1504466,1431792
도매및소매업,2500253,2547330,2554013,2618346,2618185,2689305,2782007,2885740,3007745,3129601,3141900,3173320,3250867,3289652,2962630
운수및창고업,869653,885737,929684,976105,989773,998457,1012741,1015915,1049058,1096051,1111060,1115990,1145752,1155965,1091939
숙박및음식점업,1671710,1718029,1721990,1755201,1760917,1834978,1909081,1986673,2067166,2114297,2162823,2214879,2326716,2384828,2023871
정보통신업,401805,416971,427382,432928,464158,476412,493205,509785,528102,562946,567284,575886,599006,606964,620982
금융및보험업,621959,641552,672222,692071,714769,726870,724771,707246,705824,745257,730963,726907,711494,715399,680970
부동산업,388832,393408,403852,411358,417457,417280,412396,421102,445495,464340,501974,504790,520591,537841,510503
전문과학및기술서비스업,569071,627291,691543,732048,769087,788454,814647,865241,930441,998123,1002371,1010154,1075234,1132049,1159853
사업시설관리사업지원및임대서비스업,609741,692982,716917,745494,830441,848917,897401,983585,1025145,1127653,1148968,1168096,1187986,1192036,1108666
공공행정국방및사회보장행정,543025,558755,574074,657680,662894,636419,637871,645053,648966,687969,691270,706780,734566,768733,819440
교육서비스업,1249856,1299080,1317285,1363740,1430894,1438462,1475660,1498539,1513769,1563848,1559558,1596963,1630311,1672443,1579773
보건업및사회복지서비스업,734896,807217,891093,981216,1097838,1159592,1261722,1367805,1466397,1503360,1674556,1782672,1902052,2033034,2156232
예술스포츠및여가관련서비스업,289452,297061,312358,321267,319954,332939,343790,359129,362955,366766,394913,416781,442046,458555,380824
협회및단체수리및기타개인서비스업,742585,764052,763475,783349,790233,815124,839925,857978,856651,894932,864817,870399,890317,907072,825474
