industryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3343590,0.627,0.373,0.948,0.052,0.838,0.084,0.042,0.024,0.008,0.004,0.001,16984079,0.585,0.415,0.693,0.307,0.209,0.597,0.143,0.051,0.299,0.108,0.109,0.14,0.105,0.109,0.13,39.0,6.2,22.5,192.8,177.6,15.2,2360.0,2192.0,169.0,5095.0
농업임업및어업,2253,0.923,0.077,0.743,0.257,0.386,0.243,0.204,0.125,0.032,0.01,0.0,29433,0.743,0.257,0.598,0.402,0.001,0.64,0.199,0.161,0.071,0.125,0.207,0.288,0.166,0.113,0.03,43.6,9.0,22.6,183.6,178.9,4.7,2483.0,2439.0,44.0,6175.0
광업,1752,0.91,0.09,0.908,0.092,0.681,0.102,0.117,0.086,0.01,0.002,0.002,15981,0.88,0.12,0.632,0.368,0.121,0.79,0.083,0.006,0.186,0.076,0.181,0.273,0.071,0.036,0.177,46.7,8.8,23.3,192.7,174.9,17.8,2621.0,2417.0,204.0,4940.0
제조업,336908,0.82,0.18,0.945,0.055,0.659,0.156,0.095,0.062,0.017,0.009,0.002,3422439,0.735,0.265,0.615,0.385,0.1,0.813,0.084,0.004,0.136,0.104,0.126,0.182,0.116,0.144,0.191,38.6,6.5,23.0,202.7,175.6,27.1,2274.0,1987.0,287.0,5996.0
전기가스수도하수,6947,0.899,0.101,0.764,0.236,0.381,0.217,0.163,0.161,0.054,0.02,0.005,135694,0.869,0.131,0.492,0.508,0.016,0.926,0.055,0.003,0.049,0.074,0.114,0.254,0.191,0.163,0.154,42.6,10.4,22.6,191.9,176.6,15.3,2960.8,2708.0,253.3,9367.7
건설업,98859,0.868,0.132,0.944,0.056,0.582,0.176,0.123,0.082,0.022,0.011,0.003,1176826,0.885,0.115,0.762,0.238,0.056,0.459,0.467,0.018,0.099,0.099,0.139,0.206,0.125,0.148,0.184,40.7,5.4,22.9,189.3,182.4,6.9,2418.0,2321.0,97.0,3190.0
도매및소매업,873632,0.599,0.401,0.948,0.052,0.9,0.064,0.023,0.01,0.002,0.001,0.0,2618185,0.543,0.457,0.773,0.227,0.392,0.426,0.116,0.067,0.548,0.135,0.102,0.091,0.045,0.051,0.028,36.8,5.2,22.7,189.1,182.8,6.3,2339.0,2270.0,68.0,4300.0
운수및창고업,347289,0.96,0.04,0.973,0.027,0.949,0.019,0.013,0.011,0.004,0.004,0.0,989773,0.907,0.093,0.713,0.287,0.335,0.535,0.043,0.087,0.363,0.043,0.064,0.115,0.107,0.205,0.102,45.3,6.9,22.2,201.2,175.1,26.1,2040.0,1748.0,291.0,4094.0
숙박및음식점업,636278,0.35,0.65,0.987,0.013,0.916,0.062,0.015,0.004,0.001,0.0,0.0,1760917,0.342,0.658,0.917,0.083,0.514,0.21,0.26,0.017,0.694,0.142,0.071,0.047,0.023,0.012,0.012,37.8,3.4,23.4,202.3,192.9,9.4,1582.0,1503.0,79.0,1590.0
정보통신업,26299,0.857,0.143,0.859,0.141,0.488,0.213,0.133,0.101,0.036,0.023,0.006,464158,0.715,0.285,0.589,0.411,0.021,0.883,0.077,0.019,0.065,0.078,0.101,0.176,0.141,0.206,0.232,36.6,7.5,21.7,179.1,170.6,8.5,3058.0,2949.0,109.0,6223.0
금융및보험업,39485,0.886,0.114,0.231,0.769,0.268,0.241,0.268,0.17,0.04,0.01,0.004,714769,0.458,0.542,0.093,0.907,0.008,0.599,0.031,0.362,0.034,0.093,0.195,0.291,0.141,0.081,0.164,37.3,10.4,21.0,172.7,167.7,5.0,3136.0,3042.0,94.0,13294.0
부동산업시설관리지원임대,162274,0.706,0.294,0.912,0.088,0.792,0.099,0.055,0.033,0.01,0.008,0.003,1247898,0.578,0.422,0.628,0.372,0.104,0.695,0.146,0.055,0.177,0.084,0.095,0.126,0.093,0.169,0.256,41.5,4.6,21.5,197.0,185.6,11.4,1955.7,1838.3,118.2,3162.2
전문과학및기술서비스업,70372,0.888,0.112,0.859,0.141,0.624,0.208,0.089,0.05,0.016,0.01,0.004,769087,0.704,0.296,0.482,0.518,0.066,0.857,0.063,0.014,0.132,0.121,0.108,0.137,0.099,0.151,0.252,36.9,5.4,21.6,177.2,171.7,5.5,2974.0,2901.0,73.0,4853.0
교육서비스업,166527,0.467,0.533,0.944,0.056,0.758,0.099,0.055,0.045,0.035,0.007,0.001,1430894,0.376,0.624,0.732,0.268,0.107,0.664,0.162,0.067,0.159,0.074,0.087,0.16,0.291,0.101,0.128,40.7,7.6,21.8,178.0,172.6,5.4,2776.0,2721.0,55.0,3316.0
