year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,158401.0,0.792,0.208,0.94,0.06,0.665,0.181,0.086,0.044,0.013,0.007,0.003,1431792.0,0.854,0.146,0.726,0.274,0.066,0.473,0.447,0.015,0.133,0.131,0.127,0.145,0.1,0.133,0.231,45.5,5.8,22.1,178.9,172.6,6.3,3576.0,3421.0,154.0,2822.0
2021,162674.8274481343,0.7868687539261094,0.21295487409810826,0.9388124903881472,0.06111671717065818,0.6682678333094231,0.18060709505002426,0.08900598024015523,0.04065309160005667,0.011266117982297815,0.006611965939753167,0.0029585409008776138,1394494.0769207547,0.8525459572826537,0.14709435090356268,0.7190550050922891,0.28058327773407177,0.0645324246297414,0.4760206594430882,0.4426608451898627,0.01662290259995089,0.12990249352355707,0.13677268123886852,0.13310251230398246,0.13947464099582238,0.09318889564856148,0.12967533676933252,0.2378549514377732,45.37004646688887,5.930639901836368,20.437705025044366,164.83633728316676,158.81572908651142,6.00694633860013,3757.391143868925,3615.40305652594,141.77175882249057,3423.7565072909447
2022,168935.6144762963,0.7804337370519635,0.21938421766468502,0.938871510478366,0.06098892749393316,0.6746656235316787,0.18113257882665323,0.08809856880816318,0.03640448104547851,0.010097119857560077,0.00617588911846725,0.002915571371777681,1368805.3095226116,0.8527099427083802,0.1469092950188433,0.7112774925443266,0.28836904068471225,0.06532168260507959,0.4785664647465374,0.44040159324923966,0.01585431920757774,0.12865107937445738,0.14077678604111982,0.13540054281266448,0.13373196358973957,0.09019540794291,0.12598786941621046,0.24533989429870812,45.3542497369546,5.994609856555064,19.78988743765009,158.6570512132281,153.65097114350343,4.993544263551911,3904.1418307237977,3762.7136039928646,141.31057447760494,3595.2399847989736
2023,175484.62613286258,0.773890195931097,0.22590960495689344,0.9392880738763411,0.060562494529377606,0.6823414749498277,0.18050941316940577,0.0862832800573113,0.032237552429836225,0.009354180629587799,0.005778804845831206,0.0028945187737563424,1348715.06553165,0.8534243288669929,0.14621565961257182,0.7040213474778891,0.29567649131910034,0.06720247457311901,0.47724260700988197,0.4409250936712721,0.014861295197668392,0.12905769661432756,0.14320769766035504,0.13629439515960115,0.12709673206638863,0.08953544039997571,0.12277699839185344,0.25210652573598274,45.38931330188644,6.074489953275204,19.568051992095196,156.26701071903213,152.26039085542465,3.995178793210556,4046.2955693444524,3903.811367749767,142.4346637094753,3714.763105460338
2024,181782.57650638412,0.7675134835018298,0.23227937135705107,0.9396739728405348,0.06015922079268603,0.6906445356251072,0.17901680837211983,0.08421195672798183,0.028259248339960685,0.008881386132444501,0.005420234319221135,0.0028911370938287193,1327053.6770514674,0.8544734172321914,0.14518842905971166,0.6969552962575607,0.30277106824757155,0.06973040877256803,0.47333515625325107,0.4436131880192288,0.013610914252805917,0.13044483080134509,0.14479551140617283,0.13641161371531013,0.11993428857870478,0.08979057141647492,0.11951979894624773,0.25921097362985807,45.45160780823035,6.173250755163375,19.44657013814366,155.07581371571402,151.76468744395544,3.301681719984117,4192.7145579484095,4048.567734291066,144.1259793115108,3867.0066982186754
2025,187611.9729963516,0.7613978476151697,0.23839241413420392,0.9398167914026787,0.05999740877192726,0.699427245979137,0.17682093489620704,0.08196804691808741,0.024519337563084942,0.008536844241994229,0.005100133194443614,0.002901272123695677,1301129.1392811532,0.8558997211043052,0.14377998570641962,0.6894934357304658,0.31024431681319037,0.07252902919705045,0.46828313818075995,0.44761826287413,0.011910199316363453,0.13211106105370243,0.14587514515530667,0.13599805490903116,0.11279713439833952,0.09040192494872754,0.11616544864383901,0.26677308511779046,45.511477529214176,6.284897292116206,19.312682669731746,153.95832235393556,151.1621356296182,2.787360873188476,4346.141254932005,4200.544667578351,145.5872023046562,4064.3988259612297
2026,193021.61514084687,0.7555461906301217,0.24424290499727785,0.9396826073444398,0.06011097579682444,0.7087984418342849,0.1739924305752164,0.0794903554750578,0.020951580900205546,0.008266133506354894,0.004802690961138785,0.002923899585566018,1270025.5364185642,0.8577960017882512,0.14189811672283098,0.6813516807806772,0.31838839157624615,0.07540424716560434,0.462861295323731,0.4524605836601928,0.00967106450983788,0.13367116444799157,0.14658404900679564,0.13513209592373426,0.10584646827039548,0.0912741528466606,0.112697861207919,0.2749110635258439,45.55692240771602,6.4021016590189745,19.16054849918272,152.70994968312738,150.37654842344978,2.324410486853367,4506.635482805925,4360.043841045431,146.58371104447187,4293.714509240609
2027,198120.72784116789,0.7499383134603929,0.24984867830957141,0.9392741581263577,0.060495913420334654,0.718882243277536,0.1705648575146161,0.07674038189860295,0.01746556106558181,0.008041666890180859,0.004514214629874346,0.0029603397914067893,1233386.3749571661,0.8602240123420191,0.13948229944284155,0.672389388684747,0.327348324644238,0.0782803633251804,0.457371194603875,0.45785777479594014,0.00694973946893393,0.1349687307508132,0.14700240501888925,0.1338721895770042,0.09904967568110748,0.09237289616239461,0.10911951687737306,0.28371086660976225,45.58363612556863,6.52113820543245,18.9993864593372,151.35854014270353,149.48261504414063,1.8664325450156412,4674.11137745316,4526.883251921956,147.2173127664656,4541.990758117019
2028,203012.85869113688,0.7445586923052478,0.25522393935389825,0.9385871909797193,0.06115616649094151,0.7297506532075729,0.1665646610563703,0.0737151352009915,0.013988383168033969,0.007845707782565502,0.004225862548093439,0.003011871909068059,1191243.3477903898,0.8632191888980056,0.13649821451765098,0.6625118918239621,0.33722055717708044,0.08112603437327831,0.4519095425533358,0.46362903431956515,0.003859242536959101,0.1359366977288872,0.1471905171615975,0.13227991625351987,0.09232877346881666,0.09366277791136043,0.10543221200577443,0.29323329429428685,45.58960580048,6.640547359368047,18.834226287948557,149.9495962193247,148.53017976932762,1.409260285527182,4848.765957684106,4701.047958046251,147.7032671991211,4801.0648322860225
2029,207780.8051198463,0.7394046630069033,0.26037079646023237,0.9376024058746437,0.062111599905709955,0.7414212645053025,0.16201712973625787,0.0704341124363614,0.01047503139420164,0.007665889257924035,0.003932552598591845,0.003078993562028777,1143878.0222907173,0.8668051455460628,0.1329229391925446,0.6516401786312795,0.3480848838584907,0.08392003487673866,0.4464991799771083,0.46965074645366645,0.0005197149164388459,0.13653048495821177,0.1471945237398359,0.13041623231222732,0.08562024191799769,0.0951107516151116,0.10163530049604105,0.3035162610184933,45.573362267340414,6.759987395509934,18.666038414512233,148.50842317572375,147.53803102556662,0.9594682501368652,5031.022129729499,4882.757812861317,148.24630314620967,5066.781993466789
