year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,1654.0,0.856,0.144,0.867,0.133,0.655,0.139,0.1,0.09,0.012,0.002,0.001,13838.0,0.875,0.125,0.583,0.417,0.112,0.83,0.051,0.007,0.16,0.113,0.168,0.316,0.093,0.046,0.104,51.6,8.3,23.3,199.8,177.9,21.8,3758.0,3295.0,463.0,5160.0
2021,-795.5375210616621,0.8532226421643274,0.147052326132392,0.8554521299856579,0.14506104260111924,0.6444835443025898,0.13587461665115852,0.10506132456008489,0.09508133860105243,0.014161000648763484,0.0025246313548094937,0.0016066190067547724,87052.60190817853,0.8798590937496034,0.11979574341384946,0.5712746479197236,0.42859265148106807,0.10690464349630857,0.8089823854364443,0.06888358458105462,0.01465996552632623,0.15134084462496597,0.1061656402154054,0.16561043481089366,0.317125874665125,0.09466422765826452,0.04431887112637145,0.12093354316960808,52.31158092303909,8.866571007284616,23.27449053255363,200.40578776649903,176.4433409494893,23.996453868641566,3939.0852530924917,3450.067707935385,488.94316198284866,5803.140233549807
2022,-3572.9209848971223,0.8513229503257334,0.14897187236354714,0.8449221240676131,0.15560172874738099,0.6387663201195096,0.13433006725497132,0.10737667262071583,0.09894509034564633,0.015071312266713693,0.002956658989138862,0.0019490686582045293,69415.10832990287,0.8835385904492438,0.11605531104724487,0.5585163445472271,0.44129416909657815,0.10131100091580653,0.8044353820368976,0.07574749858736865,0.0182078044896426,0.14233856010759596,0.10453721661860157,0.1639967554261434,0.3219619191536631,0.09423013488173013,0.04487526151019186,0.12850405889180733,52.711118392222005,9.239462097515077,22.624719219812864,195.7750264791011,170.2511650079748,25.558490225272436,4127.705721605937,3615.122937763012,512.5781140065692,6394.652438755117
2023,-6741.966265459021,0.8489973594818766,0.1512925652850297,0.8345449665732243,0.16600911563298054,0.6350070843253006,0.1331613883964996,0.10843724235991932,0.10179692113485432,0.01581262797115269,0.003196539886910491,0.002163378381510055,52252.980055538006,0.8878937091148038,0.1116504436121935,0.5433733151958963,0.4563931678597011,0.09524469623482612,0.8056177429723438,0.07883305840339452,0.020002940440020905,0.13180471449081094,0.10367936364346717,0.16313536549659186,0.32717723363006046,0.09579254028576048,0.04578857421439339,0.13291819091945695,53.02255420411258,9.51936834573003,22.261861211393725,192.5104101967716,166.76815063171836,25.7746923952773,4301.285706178278,3771.060674833444,530.2409616086491,6780.87798685906
2024,-9862.270241132646,0.8463671369741601,0.15390364273280033,0.8243225928065352,0.1762381999450495,0.6328503095698949,0.1316578862029517,0.10886870321156934,0.10396712127788135,0.016596855897615063,0.003320745350007346,0.002322846118764755,29789.82629180001,0.8927682184142574,0.10673457837732786,0.5268567551081044,0.47287649710782964,0.08918505757178452,0.8075254687973271,0.08133699785112539,0.021664347871980322,0.12102836042344955,0.10279541578145321,0.16227914668928267,0.3316434798096346,0.09868053792348949,0.046538380136880136,0.13732046557990324,53.30548120467452,9.769949681171358,22.098670326005678,190.82342648523598,165.1333106297618,25.72463495045568,4471.694914009604,3925.1850053658964,546.5224474554076,7073.390742104729
2025,-13149.726072437305,0.8436981513044799,0.15654764632358875,0.8139316107016475,0.18663159860021378,0.6316922178671649,0.12967550046925458,0.10915910388286214,0.10577785885413454,0.017389788776110155,0.0033956315808754862,0.0024599922570004845,2030.4353500613943,0.8980922914951445,0.10137473623660809,0.5090752921742007,0.490624161393155,0.08318455043708939,0.8091760502785313,0.0837399624241614,0.023609027522295295,0.11019950103397841,0.10178094977892269,0.16149622569831545,0.33548093624637043,0.10209050405791031,0.0470661150637505,0.14217717676509478,53.55962850849295,10.020473411717855,21.981595816250216,189.75323591239265,164.03520278394979,25.75472308114982,4646.142438755818,4083.9647415178433,562.1924477258553,7352.2575167668065
2026,-16704.26664280024,0.8411569433396975,0.15906363441690047,0.8032175483580831,0.19734877740396323,0.6312625236733728,0.127191212385399,0.10942406269339246,0.10741389067271775,0.018184403120549888,0.003448144100047578,0.0025865553636605244,-30319.87969545927,0.9038900649703756,0.09554690885327388,0.4900170771402893,0.5096458504939192,0.07712831284252403,0.810654277339442,0.08617118631645751,0.025756420219276516,0.09913952628310241,0.10060236305264855,0.16075592000400268,0.3389538944212681,0.10580331632816878,0.04734306121815554,0.14770671988615547,53.77941800225044,10.278215822729205,21.85906020276246,188.83744171329647,163.00427837960984,25.871584580935533,4827.593531894096,4250.21511504082,577.3963379245987,7647.981345130541
2027,-20565.13251520967,0.8388277904662318,0.16136825222229428,0.7921029699785265,0.20846778012879602,0.6314649005197785,0.12420586333567318,0.10966124542473481,0.10895975129938962,0.018980596034615143,0.003487830317534194,0.0027090450395139756,-66781.01590050757,0.9102101384846436,0.08920102851923156,0.4696746017487273,0.5299504573674616,0.07092486900408135,0.8121377786020957,0.08865326268746579,0.02800082820036945,0.08769348431262264,0.09924522379093934,0.16001246411015707,0.3422304428198254,0.1097762914724772,0.047381430591918045,0.1539774238927863,53.96209562152525,10.545066455359535,21.721710631188795,187.9296142090327,161.9420266345487,26.027432491892597,5017.23319254932,4425.117016186821,592.1370775903453,7969.7324844238565
2028,-24738.46046407608,0.8367474172218108,0.1634241933485615,0.780549477006153,0.22002576959481723,0.6322787422607258,0.12073559341952922,0.10983693405080004,0.11044137819757022,0.019781068671857343,0.0035173777287586007,0.002832385111653445,-107227.72364405124,0.9170915294938833,0.08229708796765284,0.4480447135023825,0.5515424002788047,0.06452218171311447,0.8137313187371428,0.09119254832453319,0.03028380452423493,0.07577488441262731,0.09771392433275825,0.15922265449842377,0.3453828652649227,0.11400563152908164,0.047194741190957595,0.16103020760212966,54.10801015844099,10.82164686788671,21.572155035292095,187.01237953097018,160.86005739064996,26.19349458134917,5215.594155869523,4609.131742652816,606.4858456060058,8318.998172032032
2029,-29222.478965230694,0.8349316321675762,0.16521478691280378,0.7685326494157545,0.2320462128012879,0.6337098362850411,0.11680049915582102,0.10991822670339495,0.11185935616599141,0.020587348630260304,0.0035372998330015955,0.002960306742299504,-151687.18800067762,0.9245610659122314,0.07480772138377562,0.42511071905118414,0.5744390713727152,0.05788806679655356,0.8154945125102374,0.09378410773572535,0.0325819049564616,0.0633360972668153,0.09602493514533725,0.15835829611383884,0.3484361418629689,0.1184894639465747,0.04679243884467252,0.16889076382195561,54.21850796813209,11.108190294775472,21.413557312995415,186.09719681544644,159.7799036866234,26.35978651506133,5423.0149214407265,4802.4910452627555,620.5495816641154,8695.337678353233
