year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,43242.0,0.823,0.177,0.314,0.686,0.383,0.234,0.212,0.122,0.034,0.01,0.004,680970.0,0.438,0.562,0.102,0.898,0.01,0.685,0.022,0.283,0.049,0.102,0.177,0.239,0.141,0.102,0.19,40.4,12.0,21.7,177.0,172.0,5.0,4618.0,4489.0,129.0,17589.0
2021,42216.76983238413,0.8181172539343965,0.18154522739893975,0.32307047644106346,0.6766900462392406,0.4221624504544509,0.21436459285418696,0.20222650900126118,0.11570148830905835,0.032099233003362856,0.009603776039658118,0.004024493575015607,632600.7158223051,0.4437731613683616,0.5562644486690747,0.08380045667991942,0.9161198471125958,0.009494910843061588,0.7016728711961515,0.018691056894545893,0.2706152493628866,0.05097811613103617,0.0970060590375453,0.1684498361348155,0.23174919436492172,0.14175507651922245,0.09884245794880805,0.21069677420171468,39.67279681031617,11.863179050831942,19.630430942813778,161.67543035371563,153.92825458820982,7.715692402399782,4876.178005584008,4731.865121321338,143.99343961414914,18224.764579848135
2022,43591.55206283863,0.8119890451460411,0.18756020337412305,0.33023702133885646,0.669524263487535,0.4600101380944853,0.1982173789217182,0.18940765605151594,0.10869708211075887,0.030459957142518684,0.00902074938042206,0.0040221357655241,630907.6900553401,0.4511591637808711,0.5488941304845641,0.06274974747579931,0.9371130430169756,0.006411107321460052,0.7206173528528159,0.012637433975092899,0.2608056151919942,0.04696772699035626,0.09444757296436765,0.15958543134673364,0.225612689748693,0.1453608742622757,0.09803460527396216,0.22903702317387892,38.9770149667913,11.753180982961279,18.89574238646316,154.3775192879395,147.55340572585078,6.785535480506539,5115.141856743916,4965.8765633159865,148.86237785171065,18427.277223569898
2023,46609.02674640855,0.8050224091568213,0.19443893715242333,0.3361314589329134,0.6635666662188023,0.497626887898443,0.18293130823463055,0.17626407464435379,0.10102301468847374,0.029188108506688498,0.008369665757830002,0.004072098179408729,635363.4329061504,0.4589418755624069,0.5411211973992003,0.04094038602933869,0.9588645221639923,0.00343505142025341,0.7354087384750513,0.007209045051547985,0.25440354916381214,0.042921905281433,0.09256862195830193,0.150925737266832,0.21753894012234423,0.14937562206349816,0.09741739491643545,0.2482294784606484,38.368894670651926,11.727869617102517,18.63712623987367,151.44711175400818,145.6218016792725,5.7892115894775245,5358.007930035021,5204.206033784003,153.3958045643163,18529.549746354278
2024,50069.00748401554,0.7977245986379864,0.20164904006537276,0.34059433757938273,0.6590390218899612,0.534632916452295,0.16776232371501776,0.16366645445379985,0.09323680366056389,0.028057036325698375,0.007751386413012724,0.004165398892327124,640784.5723834331,0.46682799662809915,0.5332520263666418,0.01776451547041269,0.9819844258464565,0.0006511827974846618,0.7473032251236348,0.0021660971840685994,0.25030857151760744,0.039217346356004684,0.0909293536108908,0.14286498435545963,0.2083771488084756,0.15287786333446948,0.09661632007020396,0.2680486757184359,37.79143783468221,11.783586031068634,18.421644969398745,149.68972043697414,144.3955548518793,5.258054811935622,5613.966284020882,5454.774905817465,158.81868934157055,18681.607793083032
2025,53488.88913040701,0.7903743459082969,0.20891585903568166,0.3437264532646871,0.6558570571808158,0.5712188391133748,0.15234724394258936,0.15155467571563103,0.08558910421532015,0.027011892282053678,0.0071758711300504395,0.004278793840399012,645487.8651028979,0.4749331136430157,0.5251699019178508,-0.006997200484761379,1.0066944484248914,-0.0022182271159414957,0.7580140182804246,-0.002693244065565009,0.2473213612294902,0.035438121358052216,0.08928025411769044,0.13523908421415304,0.1988554927513884,0.15614643142071136,0.09548584807500707,0.28844218389869497,37.21157910639258,11.896340460808407,18.17003089253784,148.11516709581048,143.0790899188571,4.99812670321554,5883.935965060215,5718.82660245285,164.7705796678525,18916.06167398753
2026,56679.03982282267,0.7830869201684126,0.2161238706337376,0.3456487901376719,0.6538960355064931,0.6077210621029768,0.13649517296681812,0.13971741639114704,0.07812534248847566,0.02603609101506769,0.006630364559630026,0.004401871943634521,647491.5406373511,0.4834151938568182,0.5167125332059926,-0.03338092624465161,1.0330317467911854,-0.005315678934363133,0.7684988734671417,-0.007516645563223262,0.2447749514433428,0.03135158024935805,0.08750539174093494,0.1278291794171768,0.18929664423013806,0.15946083381839612,0.09399744555708958,0.309395312893685,36.61736167451657,12.050367215289274,17.88685436965007,146.52655917889075,141.63982808022183,4.846341728503102,6167.29542920498,5996.07922207909,170.905068780493,19230.94622030983
2027,59568.898309983895,0.7758931971319695,0.22324000969378766,0.3464529741401635,0.6530579693486692,0.6444609192376178,0.12011119168998807,0.12796572237789122,0.07080118289734663,0.025120883179289216,0.006101128374003593,0.004532888044389871,644915.4270712319,0.4923894820184625,0.5077630725782223,-0.0614297831356545,1.0610385847404948,-0.008686221165491004,0.7792216562226769,-0.012409835501121375,0.24235183304925909,0.026879203183530792,0.0855714390041917,0.12046702562482452,0.17979310114222738,0.1629692541621429,0.09214410271158244,0.33095205944289713,36.006041028398776,12.236932332722606,17.585062599726275,144.92942640344933,140.1515653175943,4.734989396787228,6463.5306510489045,6286.087380314117,177.15393648561493,19617.24818287389
2028,62129.35205681063,0.7687916171748892,0.2302637645266482,0.34619638707534695,0.6532815800482432,0.6817152173952397,0.10313371282568784,0.11615781384277153,0.06354910360228783,0.024257262763384174,0.005577562786183068,0.004672956516785412,636396.7884710799,0.5019370559082835,0.4982404070391552,-0.09124001168952967,1.090809925711246,-0.012345400984842436,0.7904323795328606,-0.017465906774773193,0.23990532662375294,0.02199694373904934,0.08348075563861565,0.11304563121963682,0.17034854359436505,0.16674146456222014,0.08992247733601175,0.35316949452524365,35.3765527687972,12.450876642362335,17.272054486770646,143.34932390537216,138.65987336904413,4.644151158707299,6772.493920459185,6588.650437913712,183.5716811529338,20066.66038208701
2029,64347.60294445016,0.7617720276865979,0.23720385552229428,0.3449107775813156,0.6545332226032948,0.7197236035612643,0.0855061795533193,0.10418722024626899,0.056303733466272265,0.023436066246886583,0.005051521629182178,0.004823402057366718,621095.1556751202,0.5121238598990921,0.4880789735156032,-0.12294574044197437,1.1224788196431348,-0.016308545825829357,0.8022927228953064,-0.0227682338092757,0.2373684078535014,0.016689805609089864,0.08124659573675627,0.10549836764342746,0.16093857860169594,0.17081525484032598,0.08732785275034913,0.3761072660439106,34.7272525685021,12.688815705467636,16.950977155255107,141.80098266313604,137.18332929925327,4.56993792089216,7094.340387220416,6903.846389702181,190.23661426729117,20572.82608929611
