year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,5948.0,0.831,0.169,0.814,0.186,0.601,0.209,0.105,0.065,0.014,0.006,0.0,47481.0,0.733,0.267,0.625,0.375,0.0,0.743,0.21,0.046,0.149,0.174,0.175,0.249,0.121,0.101,0.032,45.4,8.9,22.2,175.0,169.6,5.4,2912.0,2825.0,86.0,6172.0
2021,7890.952960724535,0.8213297132184928,0.178143179806317,0.8226194438332524,0.1771282356424238,0.6431431101393814,0.1921270097589627,0.09144920902527977,0.05750206637757858,0.011939126614470535,0.004573995239693849,-0.00037617179999891045,-17781.571870988235,0.7369581779405893,0.2629192534205461,0.6178472473004422,0.38158698562578863,0.0017955488928042551,0.7549242019234461,0.20207367177078536,0.04125263481322679,0.16035494388237537,0.178185660216802,0.16649468622727118,0.23929024569765758,0.12412730655164031,0.09381291204565348,0.03726114665805513,44.46691031443552,8.64880826971307,20.914274283717077,167.1999904116098,159.98649249656592,7.153062323418254,3081.6692426748814,3001.9819922759443,79.44399539726018,6864.232480108373
2022,9402.178660491307,0.809934311697381,0.18928399438705498,0.8289987930916098,0.17063754141534704,0.6849420799459269,0.17652572591992102,0.07621615562154459,0.04946395850510919,0.010143790347106284,0.003505759913971767,-0.0006081555898124547,-29118.659249528777,0.7414011386810317,0.2585333232801198,0.6036871191929112,0.39574039677406797,0.002055400573078625,0.767890496444319,0.19388447125156297,0.03615044467123767,0.16817427112888114,0.18020978397616985,0.1579544390088479,0.23112945503986246,0.1270394939186684,0.08831978395286363,0.04657495378945081,43.69950901389841,8.539148953570512,20.542706242013193,164.31383715466202,157.86657724136774,6.375827225664352,3216.3177239239412,3143.731714373039,72.32556929327242,7100.677358512782
2023,11260.545470658806,0.7977704942934212,0.20132054444148417,0.8340447577341991,0.16550776973088177,0.7266728916509093,0.1608298097527349,0.061201749523655105,0.0409991935880829,0.008543674739172818,0.0025429459643298187,-0.0007453037924958405,-29709.459796358366,0.7458564798222049,0.25411613629135904,0.5878752763258512,0.4115714574828846,0.0023381872494718237,0.7787803629961343,0.1861513531665541,0.032666362437997434,0.1761145179879178,0.1819441915499271,0.14975231433254083,0.22165971111779012,0.12962037165302262,0.08321145424129664,0.05693288820949133,43.01240586993551,8.517157823825855,20.40725061796904,163.4880248549313,157.8470818440218,5.567789281616271,3352.5547312694557,3286.7419520126496,65.53941051970978,7330.139425027694
2024,13064.044085226837,0.7850955396781125,0.2138914270225859,0.8382534275455067,0.16122094411924986,0.7693580890493151,0.14430551038177886,0.04629444969764086,0.032203147235854046,0.007026969574573005,0.001660873307860404,-0.0008309919457138556,-31514.243194721173,0.7502642668860957,0.24975059492254556,0.5706735829348116,0.42878206943603686,0.002724804170635975,0.7886311768408363,0.17870698174087932,0.029858388693790802,0.18479598754219154,0.18345013401017093,0.14168328930426316,0.211090030751543,0.13187510354908602,0.0781357238271432,0.0681124803801072,42.34394369399259,8.560137479190715,20.285466283924922,163.15389475657298,158.04539010330643,5.032125925398773,3496.3495560100487,3436.7118749207802,59.36896834612807,7620.736342269781
2025,14555.865144354815,0.7719836201046465,0.22690857277001625,0.8418501012967496,0.15755328703639376,0.8136812003923193,0.12664195305679513,0.031208728694212165,0.02308613965912986,0.0055227554083481616,0.0008185785540072155,-0.0008967330800906303,-36291.05054830434,0.7548579450243218,0.24520150157014048,0.5520101512501723,0.44744372078850053,0.003152165814581831,0.7986906405927486,0.17110785898895767,0.026966577967456037,0.19419183690954459,0.18475373350478475,0.13360373487004829,0.19974052264495243,0.1340153790050834,0.07288065052143325,0.07985899605990604,41.65689549563182,8.64547810786241,20.127245430767456,162.76096098491368,158.01490469481377,4.6646947066603275,3648.027700754946,3594.6018034766494,53.16329272676862,7977.020397450337
2026,15688.65576365596,0.7584365491933066,0.24036314648767793,0.845005086005799,0.15432970586187272,0.8602305730191567,0.10764913511011936,0.015624130919567339,0.01360686350797427,0.003999538251399325,-1.824873967087512e-05,-0.0009582771660331631,-45532.08786299871,0.7598437934542314,0.24026220934357498,0.5318397903005543,0.46760622111556566,0.003583512576336989,0.8095795984631128,0.16313169822371912,0.0236338956092796,0.20427696093826378,0.18588626607208233,0.1252890692241835,0.18776303646537476,0.13624167028864528,0.06732373769667996,0.09215941292437185,40.93187985751646,8.759806214736976,19.937419734361857,162.2423564934969,157.780355726491,4.374629527219554,3807.66142150292,3760.7312467654883,46.66919699269519,8391.496183325038
2027,16471.43578418059,0.7444269300824151,0.2542779683740871,0.8478156470998722,0.1514490022801982,0.9094707907564972,0.08719749856541645,-0.000700927572642937,0.003701255888562377,0.0024357635985018215,-0.000874020553839016,-0.0010217330826595235,-60320.500492069405,0.7653721930267435,0.23478230701024838,0.5100851735955838,0.48934932220500527,0.004021376196147508,0.821569478804806,0.15461174431855065,0.01974872666000571,0.21507785834027307,0.18689369962892668,0.1165764533577935,0.1751947809758874,0.1386556921136964,0.06138683856981422,0.10503753092594265,40.15791995117474,8.896502298362318,19.72503577851897,161.6365206704599,157.41913245416066,4.123313155866356,3975.6133627677905,3935.5443855044123,39.8059116040682,8858.007751010788
2028,16927.365924920014,0.729916298189607,0.26868852943574895,0.8503312590607532,0.14885912978143784,0.9617818236587146,0.0651830436984272,-0.017946659434826637,-0.006697937036582412,0.0008141941180122118,-0.0017656712380791466,-0.0010891771524907526,-81380.76279547485,0.7715509538858134,0.2286545644179669,0.4866228645323166,0.5127975855104006,0.0044753659438847015,0.8347945480702983,0.14540691245785822,0.01530481582127946,0.22663541291796577,0.1878261063503363,0.10735577719132963,0.16202535815641753,0.1413053103971101,0.05500887072156463,0.11853402771693872,39.32730387841255,9.052325888097727,19.495582057140563,160.98626216058327,156.98589478322725,3.898999401498145,4152.5010335012885,4119.6509650556345,32.58228297182595,9373.196954200575
2029,17077.15724369808,0.7148632787652373,0.283634253291956,0.8525708287883661,0.14653986902525,1.017493639584028,0.04150667093081879,-0.036254155707335686,-0.017653764003649042,-0.0008803797535397624,-0.002705401788029301,-0.0011613800963624682,-109148.3978551845,0.7784646483531643,0.22179503895211683,0.46129557499468044,0.5381089250413055,0.00494911202556414,0.8493471908548241,0.13538658310911003,0.010334099775900746,0.23898967508976401,0.1887298662142894,0.09755211639865863,0.1482280437289604,0.14421598236632613,0.04813827951532501,0.13268917782770817,38.43339609796451,9.225751315619057,19.251580444847693,160.32111404568928,156.5132293718135,3.698639341854914,4339.084309141651,4313.787107512057,25.02285212353999,9935.947941533497
