year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,149351.0,0.563,0.437,0.92,0.08,0.393,0.326,0.156,0.081,0.029,0.013,0.003,2156232.0,0.189,0.811,0.725,0.275,0.036,0.808,0.131,0.025,0.077,0.146,0.143,0.169,0.136,0.144,0.186,43.6,4.3,21.9,164.3,159.2,5.2,2705.0,2586.0,119.0,2059.0
2021,153124.72784505977,0.5629026393185456,0.43741592278090036,0.9135595686572655,0.08679073027853203,0.37732202246433844,0.33670775405774506,0.15945512483160235,0.08354130571729954,0.027138207927251374,0.01315511255446126,0.0030775203502359395,2180313.641380009,0.18774571411494667,0.8120103575647448,0.7233356944126369,0.27614838894606786,0.03399822328547061,0.8249145873566359,0.117276076953058,0.02398158284880178,0.06563827889855703,0.15176870230396197,0.14521571683875278,0.1749289720032557,0.12183261479397026,0.14983139891323274,0.19110255699918616,43.95127886394019,4.4720005071206055,20.225748028525107,149.98319773943058,144.6116366303532,5.370949157620942,2818.551812019782,2696.347526890737,122.40638875839258,1865.1226956857527
2022,160048.34486895002,0.5618010861502856,0.43855482366164084,0.9086765919457962,0.09176650056514936,0.3649970291268062,0.34202451314649407,0.1630450248807514,0.08637533300311705,0.026986051762413445,0.01328617804859814,0.0031765077886526643,2213502.516959108,0.18747365081179912,0.8122367328516698,0.7199298726357678,0.27950711556010166,0.0342253973884325,0.8296813053989119,0.11225509322571417,0.023961253220295492,0.05658292702811488,0.1490033546860787,0.1458962806724442,0.17846060162141317,0.1178177194547955,0.1542380101760474,0.19826808592090445,44.280075684168324,4.550046946881584,19.947170209829043,146.64611875255576,142.04967841740336,4.592917463981067,2914.6921495472952,2783.024566796237,131.97081620924595,1533.8185409308526
2023,167873.5990984387,0.5610790090722364,0.4392843417692365,0.9037467321515379,0.09675064020955565,0.3506485667093416,0.3469119818712192,0.16792286075051105,0.08977984245243373,0.027450918366529905,0.013527555457723902,0.0033485346614075626,2248101.911716921,0.18644321738853598,0.813259510079529,0.7171640836325636,0.28231018876574643,0.03544000600090083,0.826827843839364,0.11125598548903462,0.02661179217647011,0.04831317638139329,0.14437227972736275,0.1465889098283853,0.18139167892345778,0.11584715888531902,0.15842389999293224,0.20542293768932834,44.68410798097571,4.654047863311079,19.885644268427246,145.93646749846238,141.47731963696685,4.464236345726988,3016.6745224374463,2870.1121118990663,146.93550252763188,1336.1749959808976
2024,175751.8227358312,0.5609985954656057,0.4393880357593418,0.8983453152232035,0.10221705089550438,0.33346458314076816,0.35242077936803606,0.174035179818868,0.09381754512328691,0.028253805559480077,0.013890442384010163,0.0035574434021230002,2284918.756673267,0.1846153939110422,0.8150789586070859,0.714679062139235,0.2848299316253118,0.0366713428293885,0.8205498703298219,0.11233296722262268,0.030584004952537797,0.03931851972875802,0.1392465203275612,0.14775443688516637,0.1847242045565943,0.11471916368388299,0.162733513236181,0.211955978488866,45.14386137172353,4.771047708409388,19.83314782245481,145.62545101809218,141.00617803121895,4.632589572764729,3123.700562991767,2960.0259499651256,164.09155799043637,1254.395510104735
2025,183474.77961572568,0.5615668290065512,0.4388626688718874,0.8924211150353325,0.108212302248079,0.31351579309270206,0.3587392442164795,0.18119688029465125,0.09845118118849402,0.02931204576009398,0.014352822153187356,0.003784902850587456,2323639.1487305476,0.18219471929741982,0.8174810048899044,0.7121998597414027,0.28733248905616193,0.03748914976245382,0.8127277619279686,0.11488459730088399,0.03504551549716303,0.02892966199107047,0.1338677626288289,0.1494017765814541,0.18873329269775477,0.11428713843731067,0.1672869282260143,0.21804858166134838,45.64926572673953,4.887110292889347,19.78258416284905,145.30507833785424,140.49052259367522,4.835848821433828,3233.287011334538,3051.728657464422,181.9970661820265,1235.822447415735
2026,191023.41960885428,0.5627632616801093,0.43772392541866323,0.8859863144079143,0.11471984969099593,0.2909281785084401,0.36590271118517936,0.18931450532666955,0.10362862788560354,0.03058404904281854,0.014896982090715098,0.004027391158162188,2363730.6829554616,0.1793532446591629,0.8202931173576695,0.7096385276269276,0.28990737226761,0.037761034523657755,0.8040222156416358,0.1187124167306565,0.0396670133690957,0.016945029165161857,0.1282721655205654,0.15148882027857896,0.19340311310855215,0.11443626752061994,0.17214189943543298,0.22398010821358832,46.19844534063088,4.9978114093752035,19.741949571089254,144.93521004817313,139.9621022677478,5.002497168503808,3344.1424551676964,3144.396667308639,200.19461497502797,1242.8937829772285
2027,198437.56806780183,0.5645882881909166,0.4359676426675292,0.8790556999686067,0.12172352218386805,0.26574936476401617,0.3739375170105431,0.19836498183809542,0.109318672423743,0.03204269052568075,0.015511847079650714,0.004285896766171112,2404955.251300342,0.1762079131149712,0.823400515416097,0.7069913293688944,0.29255975817847224,0.03746285534982685,0.7946355863223821,0.12374459306056332,0.044340563902667746,0.00331309930824622,0.1224654163095866,0.15399374863068238,0.1986643128647028,0.11503728972647778,0.1773210044430131,0.22999329224051696,46.79100191775896,5.102402610366771,19.711349262853094,144.5078372854403,139.40896805863645,5.1365604897109165,3455.942602718461,3237.750569193944,218.64606990906495,1253.2917477797919
2028,205772.63606455765,0.5670656840719053,0.4335677865774166,0.8716324040060128,0.12922063808205186,0.23794034663765223,0.38288740798847365,0.20836478451892843,0.11551787798597078,0.03366862928432894,0.01619106458997483,0.00456193111866487,2447417.6254057237,0.1728370904425639,0.8267268526882363,0.7042873945894815,0.2952617597628835,0.036600891727251006,0.7846061503118501,0.12994898782648492,0.04905194265061433,-0.011995082152256559,0.11645023960238518,0.15691869725796442,0.20447495716779848,0.11597524393180045,0.18283617367865732,0.2362559214018231,47.426100788593786,5.201059647549859,19.686720452009812,144.00341602275347,138.79493972847274,5.254663756253564,3568.8672617116495,3331.8855654590434,237.439778091095,1254.2251175366791
2029,213088.12634831603,0.5702358214081609,0.4304827153105327,0.8637084217940889,0.13722017573952872,0.20738872172160572,0.3928191861416971,0.21935298423455846,0.12224433988086583,0.03544934882253668,0.01693132534703953,0.004856776276805594,2491427.498907359,0.16929226505334094,0.8302219464111301,0.7015754444803056,0.29796597426093374,0.03518851031530884,0.7738980589767533,0.1373155424844307,0.05383254291248726,-0.029019190327358585,0.11022913506448348,0.16028103710366298,0.21082868235191746,0.11716046864759064,0.18869838326005203,0.24287223748250714,48.10312564530712,5.294086796893727,19.664219179574662,143.4040925998582,138.09065023420237,5.368345860221467,3683.278533567766,3427.0484285415278,256.69302594985004,1238.1641635678634
