year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,254614.0,0.649,0.351,0.897,0.103,0.83,0.092,0.04,0.022,0.007,0.006,0.003,1619169.0,0.573,0.427,0.57,0.43,0.104,0.736,0.126,0.034,0.197,0.093,0.083,0.104,0.076,0.149,0.298,45.4,5.5,21.2,175.6,169.6,6.0,2796.3,2663.8,132.4,2880.5
2021,265707.78828148067,0.6417098620029631,0.3585534430427614,0.8965035068318166,0.10369794019194156,0.8368074075609614,0.08814385893232894,0.040944987248480155,0.01883238627929256,0.0066973427159566605,0.005650740945484806,0.003088062106248574,1692312.723398612,0.5707255340841333,0.4290586860297731,0.5660366058764896,0.4335535698024489,0.11075292556294047,0.7275683727752762,0.12467964079971486,0.03685326744629581,0.20799476723505655,0.09393195320266162,0.08506378152669962,0.0939411623266852,0.07422690366821713,0.14653359120823164,0.29713893014934567,45.23235786102041,5.7175018968866596,19.90419390212494,168.7313656402124,159.46473273451127,9.248839924092241,2992.698373769434,2844.7596222688917,148.26354522603557,3649.7479093063826
2022,276789.6231334019,0.634277760773348,0.36596553849497776,0.8959767084902698,0.10425549924635208,0.8459822659317853,0.08537410124310647,0.037593259562778356,0.016296728561414092,0.006656189922362481,0.005390687123191554,0.0030348524660006957,1739482.189657182,0.570129725952248,0.4296405799179045,0.5592020356079092,0.4403602268751053,0.11515860089379612,0.7261659997608965,0.12321443941201751,0.03547994783470225,0.2143201499034916,0.09435247647294527,0.08291262967278931,0.08905981784699071,0.07507279228665845,0.14361054393859826,0.29998701130978206,45.06347964177822,5.87457174126279,19.323064716031116,164.44333451129395,154.74104850303328,9.677359802292475,3164.8716140280253,3003.820734729798,161.30260808817752,4079.0511617894217
2023,287563.4874564777,0.626948155667059,0.3732704849049798,0.8946631484026177,0.10557107827842376,0.8551851310649902,0.08218108317475084,0.0339263645784315,0.014100345364016394,0.006736151480511109,0.005121025334810099,0.0029891943309781274,1784295.1720050457,0.5704358612467548,0.4293080390115791,0.551112979720195,0.4484707620896189,0.11889911886423632,0.725582514900685,0.12173305859646769,0.03383622026713623,0.2187854837864787,0.09411121874477973,0.08031936010336072,0.08528116877025185,0.07711924432178249,0.14087263395717817,0.3027841767565869,44.93201924973207,6.028507864080004,19.089492588540114,162.15758686749706,152.88384128569788,9.248200978153175,3331.163787304393,3161.830222619852,169.5537798872039,4438.241772355973
2024,298238.82248634874,0.6196480773047452,0.38054117157810596,0.8928521966422265,0.10735127137944375,0.8646685353038548,0.07844950768085125,0.030271655866776506,0.011964347558242217,0.006934572772631594,0.004870224892564152,0.0029773979021025182,1821438.3847545586,0.5710701642451549,0.42866223245707336,0.542035120343572,0.4575636334348624,0.12235809035263795,0.7243302752287077,0.12102985846647621,0.03239304759131198,0.22247739582041506,0.09345850244437734,0.07744169352526713,0.08149149615571119,0.0796196814504099,0.13811678666014682,0.30667909642296226,44.84034058558703,6.1983758029617695,18.990407135315802,160.93064460165027,152.11287554199924,8.793826853787099,3499.6257505933527,3322.9889233318772,176.83366270252114,4788.951990224149
2025,308675.8894405784,0.6123904154473765,0.3877706733620461,0.8905323709025489,0.10963535420212711,0.8745495980004964,0.07415329836783124,0.02673653632076335,0.00981917287106708,0.007165199576677491,0.004645857371193236,0.0029930308362585804,1852305.7684934554,0.571973522762775,0.42775571419192326,0.5317915119968175,0.46780758480748574,0.12558939420769616,0.7228230806097146,0.12071752331173272,0.03102484821864017,0.22557932423653185,0.09257118622305213,0.07455001223204367,0.07759288128407507,0.08219706509036903,0.1353299835918229,0.31145227392602043,44.75891252537198,6.383219927008094,18.901537965540694,159.91264059686085,151.42488628810798,8.46458839601414,3673.519325278968,3490.0199345170067,183.68312077294243,5154.36162714914
2026,318895.61418027896,0.6051976479033773,0.39493738498485564,0.8877564051652764,0.11237652716259398,0.8850340885124691,0.06926494327332011,0.023212877479112784,0.007629905032900813,0.0074011814375773526,0.004438353304696465,0.0030267139216390918,1877787.0030988096,0.5732218023327053,0.42650974773693373,0.5203085198515318,0.4792806772866983,0.12855668763044517,0.7214601155569067,0.12061562444555987,0.029566421014938365,0.22806142367182683,0.09151704862936585,0.07163461497565503,0.07362196899018761,0.08485981978948251,0.13247891015870908,0.3170823498668383,44.66811698162557,6.577383461001716,18.79551337739049,158.85021486726674,150.5987682887636,8.228405688291126,3854.1470810311503,3663.945610775286,190.37420518376163,5535.168462128661
2027,328951.1303815747,0.5980963287584911,0.4020130825392086,0.8845539540741159,0.11554622274912217,0.8962735751886565,0.06376388255799428,0.019601548192165877,0.005373777289050877,0.007632425975633166,0.004237364246025405,0.003073656347156735,1898472.4491767637,0.5749061221977809,0.4248307880008243,0.5075619706736537,0.4920114475338544,0.13124348225491259,0.7204105829326152,0.12061563308202708,0.027975236269525167,0.22990258917819448,0.09032723884648888,0.06865299103079865,0.06959973250377652,0.08765592413589571,0.12954997550938066,0.32354634271332544,44.55727481707106,6.777805822598126,18.6712043725546,157.7079137259446,149.63720955345934,8.047419450121662,4042.2841759684748,3845.4063014052444,197.04103408821842,5928.741617227383
2028,338898.6770730661,0.5911134776203655,0.40896917781804143,0.8809302752815905,0.1191384832691759,0.9083537257696896,0.05764716576153475,0.01583833994647106,0.003036058933468311,0.007856527376661187,0.004035274755728131,0.003132247367924474,1914714.6360832783,0.5770979640066485,0.4226462306578497,0.49352994844891007,0.506024394198564,0.13364639051014732,0.7197095178324999,0.12065761192998894,0.026279998861146375,0.23109505261542976,0.08902326108271694,0.06556917972534569,0.06552936790200972,0.09061818027798077,0.12652942593899505,0.33084515637010065,44.42137618696415,6.9834026131066365,18.532419744940132,156.51050737475316,148.5838983618417,7.902923229450913,4238.580789756657,4034.9235037997555,203.8122931424086,6333.277116712917
2029,348781.5102761576,0.5842772591995493,0.4157764504248207,0.8768689929827135,0.12316913920112678,0.9213068139957629,0.050923236472229044,0.01189078834169878,0.0006113708055362627,0.008073110127598076,0.0038274229074776456,0.0032022807021109875,1926764.0334834266,0.5798495170400627,0.41990337161283625,0.4781739954362978,0.5213594296972696,0.13576211700921056,0.7193464867697114,0.12069964568051053,0.02453575212967149,0.2316291593121305,0.08762239320280482,0.06236510379163272,0.061414382343540935,0.09376169889379923,0.12340475003781678,0.3389831304689543,44.258142291368046,7.194132824541772,18.38198599139921,155.28421515548342,147.47289509268285,7.787169968317745,4443.651998956158,4233.005244675602,210.79517404056176,6748.417973923576
