year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,14076.0,0.807,0.193,0.806,0.194,0.59,0.161,0.101,0.096,0.036,0.013,0.003,184248.0,0.831,0.169,0.475,0.525,0.032,0.922,0.043,0.004,0.081,0.08,0.106,0.231,0.189,0.158,0.156,44.8,9.9,22.2,186.0,173.7,12.3,4103.7,3761.2,342.5,9738.2
2021,11305.157708285085,0.7994202118633307,0.20049714697568521,0.8053027662615749,0.19471747537752604,0.6153859891459796,0.1486749148856028,0.09464785219946183,0.09037020481178233,0.03498787226510282,0.012472463612523802,0.002989918771429633,252790.19960285956,0.8340555204688849,0.16574281910740904,0.4610613491317218,0.5385412226200637,0.030969700576347126,0.9122633242231137,0.04966716824382081,0.007158162699111986,0.08271916149238348,0.07934572449213337,0.10262227119947491,0.223063821456485,0.1864544524504329,0.15453364685562423,0.17149942874581336,44.63346090811204,10.259368971034938,21.374080482776606,181.8078531585551,167.66039637834518,14.17451917879444,4297.857062579633,3954.7464901882404,342.93217274127664,9870.020477862108
2022,9615.640420349024,0.7926810655928571,0.20714479784435796,0.8044295667923383,0.19556156063566205,0.6427423230756313,0.13533234240600112,0.08682346227247302,0.08609546289539044,0.033769029413550464,0.011980088895193901,0.00294311932811817,270917.1897450872,0.8373032409315819,0.16249795891548288,0.4447911047319132,0.5547201363188847,0.02840603990107743,0.911114461259639,0.05338792791876637,0.0074349847036960515,0.08206728846216665,0.07885180001943223,0.09794371029938718,0.21955092454266303,0.18606439023170487,0.15117824285763967,0.18451776414506343,44.25347247756411,10.474308057742714,20.66500213890221,177.02120776208432,162.31509187254454,14.719716815075557,4507.471316996742,4162.036192378277,345.2594568370703,10174.135581666687
2023,7821.375522979593,0.7859042430060846,0.21384708580869366,0.8029368227031244,0.19704438012871128,0.670872005006415,0.12163655851746313,0.07838740012109453,0.08182468716882738,0.03262530317181418,0.011407371350427336,0.0029138502775492413,281830.9748345078,0.8412328186608059,0.15858124309283134,0.4268575918918768,0.5726198353242922,0.025322495339438755,0.9125904141785011,0.05558085587547698,0.006914191158570976,0.08017934878733832,0.07813005079972465,0.0932967496656477,0.21672434627874268,0.18732810768032207,0.1477297416038422,0.19657936799245546,43.85682000152407,10.658985538203172,20.272618590387125,174.11887950592234,159.67065669453157,14.455337482408765,4713.914158821721,4368.14717337488,345.6016622670859,10459.593467198469
2024,5977.234481794818,0.778911939626592,0.22076576915484292,0.8008887950133956,0.19906133699986267,0.6998056964560045,0.1078365729581986,0.06948842394245823,0.07724608899077719,0.0315548097328827,0.010779973641886823,0.0029099663057116226,280634.36468541576,0.8455751274859646,0.154257176441102,0.4075949246639964,0.5918572773404045,0.02212680052970656,0.9147667377709738,0.057073413525578695,0.006489896092992081,0.07800749962613193,0.07756541233599581,0.08852332553555632,0.2135816101586319,0.18925667388469877,0.14392073148448684,0.2089990424716382,43.47126168031267,10.844869020491824,20.019459180337144,172.44152898077925,158.26303213806648,14.18311733263478,4922.66683987328,4575.678833041631,346.82302844435367,10752.050329360402
2025,3923.9084204474348,0.7717424635083585,0.2278574504730449,0.7981858153077088,0.20172929463180406,0.7295103224953897,0.09387660779463192,0.060279883004737175,0.07236981136060905,0.030501397441857103,0.010126565403648407,0.0029257678240325307,268397.45947947865,0.8502838538035478,0.14956934615303955,0.3867469021800479,0.6126806117996719,0.01879341608920515,0.9176442121221362,0.05778110623648228,0.006263585152331025,0.07564968126119179,0.07725142659556619,0.0837391836584955,0.2101045294439419,0.19146239302529441,0.13976663292161115,0.22177250474570137,43.081240654273145,11.039524234265123,19.795448887474837,171.23238202004188,157.18618462919252,14.048237289721818,5136.958064755662,4787.737503357197,349.0596878853272,11076.639226569812
2026,1617.0009012335795,0.7644458858441776,0.23507350131491678,0.7948119905226373,0.2050680532108416,0.7601061465326269,0.07961686483886465,0.05076587119274366,0.06721954832830625,0.029457682369659715,0.009454254216459356,0.0029538170144855457,246883.6041101911,0.8554238654285158,0.1444520157436746,0.36413934784450463,0.6352637356472948,0.015219523701665405,0.9214635496273573,0.05769979050015897,0.006118822695227871,0.0730347212819619,0.07714869097549357,0.07893159564970732,0.2063450108758558,0.19395499223816334,0.1352674863290629,0.2349607238770754,42.67475204452818,11.24238277286048,19.573967910296652,170.2168739126214,156.2060366159674,14.009928420947254,5358.0499321389125,5005.825278716675,352.067825035757,11439.450778126593
2027,-956.4021246085758,0.7570580654517531,0.24237843387215308,0.7907641706614124,0.20908070319636587,0.7917574814372434,0.0649070865825131,0.04091657105110989,0.06180605926704108,0.028423762331411567,0.008763748194045701,0.0029899243164348962,217449.54511273792,0.8610856102202509,0.13881377584126614,0.33966679562724866,0.659712448885591,0.011339534104691906,0.9263600127312701,0.05684962254963241,0.005970407344485701,0.07013524688280218,0.0771960040644539,0.0740551882841902,0.20231386150414912,0.1967813646851265,0.1304324707911055,0.2486278946784501,42.24434407486606,11.453586611391664,19.3503855160581,169.30656523007644,155.27809696428648,14.02432693950579,5586.760034690431,5231.023246770639,355.58349044553495,11841.140150872514
2028,-3799.9172924009035,0.7496003481756719,0.2497507398952672,0.7860380647807308,0.21377037723216996,0.8246366967283605,0.04961260753386776,0.030692511156362692,0.05612928456249086,0.027399451627585458,0.008053923427781638,0.00303223507919753,180996.40951539343,0.867356793491944,0.13256669660485387,0.31324744392444137,0.6861082781926893,0.007121608785840061,0.9323888847119373,0.05525751080415517,0.005770081077864558,0.06696542508047879,0.07734114516924026,0.06905624781845876,0.19799407370688696,0.19996563505329898,0.12526273898138782,0.26285591998999736,41.78515078883714,11.674305766142975,19.123738517987828,168.46925464477636,154.39294069567075,14.068719895270533,5823.868998112285,5464.290193483435,359.42859586485986,12281.499145676953
2029,-6918.4657446205965,0.7420842631329161,0.2571784918753339,0.7806241924551742,0.2191456557129605,0.8589152230497266,0.033613711417406766,0.020050349909038825,0.05018405202207571,0.026381913918043853,0.007323091256645913,0.003079983006697047,138111.0288323327,0.8743179913603814,0.12563038567905216,0.2847997415814377,0.7145323378684016,0.0025517064995662087,0.9395777582482518,0.05293918933222144,0.005489383809643672,0.06355744471106986,0.0775444223135385,0.06388370197855713,0.19336335916180994,0.2035114468673108,0.11975186043563282,0.27772641024892225,41.293123157640196,11.906157223830117,18.892507808996722,167.68383435811518,153.5394883228997,14.133071436082837,6070.201956087907,5706.5700466192575,363.484540015114,12760.817127573591
