year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,4312810.0,0.616,0.384,0.931,0.069,0.831,0.097,0.039,0.021,0.007,0.003,0.001,20763981.0,0.566,0.434,0.669,0.331,0.188,0.657,0.123,0.032,0.274,0.129,0.107,0.131,0.1,0.108,0.15,42.9,6.8,21.7,176.7,167.7,9.0,3318.0,3118.0,200.0,5268.0
2021,4415710.243016894,0.6129892495446423,0.3867914691767347,0.92472469440392,0.0754160362622826,0.8249735805578557,0.1023705374201375,0.042308897901733825,0.01856051292913663,0.0069455574718403044,0.0029131203176070743,0.0010863512772249777,21378723.499544304,0.5609225678183244,0.4385000915537086,0.6560860995993132,0.34352056354204935,0.18625822135928272,0.6570124121365218,0.11870693957796091,0.03742970832282837,0.27039448027304974,0.13507874522801253,0.11448164886926745,0.1264098927194594,0.09842876888476124,0.10843368517757809,0.14505898441406287,42.967138304636755,6.882237083948364,20.520018601661928,168.68195023973965,159.76620637612803,8.9188708624737,3491.0981048827925,3300.787935524973,190.20536950143432,5489.717515631012
2022,4522099.161229936,0.6110778828283437,0.3886053325947212,0.9200114066227973,0.08019291965888578,0.8239837387817734,0.1050483946380838,0.04164703118234782,0.017570263719496382,0.006982573506362052,0.0029763340144004086,0.001094977312290609,21935979.96248588,0.5585670883313336,0.4407488475905883,0.6436925014822443,0.3559801896951271,0.18398562512957561,0.6588021537305473,0.11829193362935816,0.03870550563313468,0.2662216030911764,0.1375865452682661,0.11520201119778313,0.12538071555331093,0.09858645794591558,0.1083785694502011,0.14740646493034143,43.04810770298353,6.911529157865174,20.108952980790257,165.1124082047209,157.05069183357884,8.058743517521428,3644.9456877319944,3454.784776163763,189.90510566845828,5575.8468782714435
2023,4630475.2184941545,0.6102450769193384,0.3894148750373963,0.9151880050663255,0.08507197197247031,0.8238640964924921,0.10587052170400472,0.04108181783859037,0.01720212551600237,0.007084561390243358,0.0030158070750884135,0.0011388133092310453,22486376.253119886,0.557559310346355,0.4416952816513434,0.6321272273488969,0.36759150499625726,0.18170496519562612,0.6601713167791691,0.11902409091170627,0.0389747991593218,0.26174980888651833,0.13827442295618184,0.11487021121506812,0.12474645708453111,0.0990333914810077,0.10812973730293918,0.15197347582707993,43.1773070264876,6.958678198970418,19.959868228079518,163.17717180064346,156.1409364154738,7.03188999622007,3793.864881822407,3605.798933143278,187.75404887414194,5689.416636535195
2024,4741054.066518913,0.610038314642273,0.3896162093080088,0.9101432339934834,0.0901330530755873,0.8242852781519189,0.10569067097003312,0.04077127170955637,0.017010926106631984,0.00719186423017305,0.0030395639622611027,0.0012220367139443267,23031400.308653552,0.5571357239563882,0.4420806237581534,0.6206130151515414,0.3791121652778024,0.1795376147125102,0.6612453533533841,0.12036816516139529,0.038800590549983444,0.25713289163363306,0.13808978699558486,0.11419376080156073,0.12399238913660635,0.09910879377106527,0.10762790421369425,0.1586595594438565,43.32865842597664,7.024713907574146,19.850739829252372,161.56394262967268,155.35456428265388,6.205162131267528,3945.723333054005,3759.414251261531,185.95621804580404,5834.783083140791
2025,4853928.180496416,0.6102209231623661,0.38943119153165695,0.9047432441607786,0.09553999620071078,0.8250616549701411,0.10492618474169008,0.040694716237933595,0.016852975242477204,0.007240490534970483,0.003056246708129302,0.0013344276002012405,23576191.382514715,0.5570970476314182,0.4420900483495677,0.6085303013501527,0.39118055471452184,0.17745575629027058,0.6624626877210474,0.12170258108521939,0.03837972092919428,0.25220719824747745,0.13741436257391623,0.11355234763821383,0.12317332649014526,0.09871601668464261,0.10701543873186467,0.16670414935713324,43.472913295051704,7.102429847198675,19.715307797586664,159.80417463103885,154.26193689892943,5.537405894162028,4102.81915800922,3917.603846513486,184.83578890831612,6002.100010156751
2026,4969300.763498564,0.6106849269419873,0.38896497421834153,0.8989764100409735,0.10131232559820359,0.8261080171035905,0.10379898652440214,0.04076628060579908,0.016666463296968567,0.00724036276478612,0.0030632835202179225,0.001467915724974376,24124271.379571173,0.5573868216735812,0.4417751069689476,0.5956744404949539,0.40401425028032945,0.17541023225359342,0.6638718468950737,0.12290932894814213,0.03785193373405624,0.24683780585340534,0.13640429959814418,0.11301458318297468,0.12230529026542145,0.09803136928843662,0.10634053049718409,0.17581018947944999,43.600486645165574,7.185353483022748,19.561045197945443,157.9466212119105,152.97941450527162,4.961722281423462,4265.83118012721,4080.764035038548,184.66695720788104,6180.521486822307
2027,5087336.618068735,0.6113999472313396,0.3882468992627516,0.8928196083431146,0.10747593442286406,0.8272888000532916,0.10244849654397106,0.04096902878237475,0.016443850032446652,0.00721025544318794,0.0030609002830338204,0.0016188549729114386,24678182.004645634,0.5579801355673706,0.4411576861374491,0.5819831362444956,0.41768145720235716,0.17336160752736862,0.6653478851192839,0.1240014357168975,0.03737163405818064,0.24093830583758455,0.13514077731246807,0.11260685323896989,0.12139671038664826,0.0971831768306752,0.10563838935246664,0.18579500201681837,43.7100878293176,7.27105532666576,19.398068534201247,156.07838226065002,151.62379951252848,4.448719439144583,4435.313422945503,4249.328990067984,185.5680301031763,6366.221732239649
2028,5208162.21528066,0.6123745713606823,0.3872683863405166,0.886233437977258,0.11407102972071795,0.8284292851561681,0.10098122408597776,0.04132906865075138,0.016207828851711112,0.007169119411258289,0.003052191616261312,0.0017858294800893652,25239870.19655287,0.5588603699628718,0.44025287500198196,0.5674289224506304,0.43221178115986314,0.17126504933152514,0.6667539990062765,0.12503906369035692,0.03706191725684596,0.2344253365292859,0.13367094314416725,0.11234695149478667,0.12046964471872748,0.09625147802265563,0.10493175167435884,0.1965581950455501,43.803840220371214,7.358947401543694,19.231743340127654,154.2489903103575,150.2567571586169,3.986375879475105,4611.805007890549,4423.794136431557,187.58156100558378,6558.989965448064
2029,5331875.224432429,0.6136365584349499,0.38600209103177086,0.8791675084117085,0.12114841485779802,0.8293380772910438,0.09948487157986916,0.041893849817784115,0.01599685284150265,0.0071332091597071205,0.0030418241367215527,0.001968424123848133,25810915.893152248,0.560016968312528,0.4390703610301658,0.5519882369788033,0.4476294243980462,0.1690690473282569,0.667989464072779,0.12609189913594912,0.03700613153391524,0.22720771472823417,0.13202103267209417,0.11225292488964282,0.11956150191687845,0.09528600911920873,0.10423967727874348,0.20804299672171295,43.884974382966796,7.449168034863011,19.064014175011213,152.4739052601346,148.90200710235604,3.5664469173442512,4795.802863356962,4604.669345773253,190.69374482259812,6759.829235903718
