year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2020,49435.0,0.807,0.193,0.879,0.121,0.639,0.164,0.093,0.062,0.022,0.016,0.004,620982.0,0.685,0.315,0.587,0.413,0.028,0.911,0.045,0.016,0.095,0.084,0.099,0.148,0.123,0.21,0.242,38.1,6.9,21.8,178.0,172.4,5.6,4105.0,3957.0,148.0,5436.0
2021,45760.87120864366,0.8026549242885707,0.19703770306451932,0.8749906221383073,0.12547935988620573,0.6421004767003897,0.1621628127554809,0.09226120590955374,0.061311343124796885,0.021286131373201605,0.01553784142699898,0.004292648365788042,630543.9971390837,0.6821494479983974,0.3178754431647929,0.5700795760118638,0.42936096780064825,0.029306541987934587,0.8922352861301488,0.05140076351543524,0.027557259262992358,0.09177852166270553,0.08406372288703604,0.0972363628837939,0.1495726063452382,0.11685457861332696,0.20405637980487876,0.25682905346671747,38.131441903472265,7.315471321190464,19.56064250930354,163.4444336610618,154.91276566559526,8.549937096044339,4350.592159526844,4183.999283568869,166.5517537314972,6300.540447000166
2022,44100.22053469409,0.7981453064250571,0.20142213214604687,0.8719297610363829,0.1286033528290656,0.6514298203952551,0.15862923725744282,0.08828156314183823,0.06058282968989152,0.021008487904248235,0.01509245077249716,0.004334611900356892,604511.8076226413,0.680163787562212,0.3198590174971797,0.5542308943083973,0.4452359925944116,0.02735260245786897,0.8910915139431976,0.052206501267798716,0.03002165872982812,0.0856583229651974,0.08300429794365319,0.09453532575334411,0.15369883997582798,0.11808640365193787,0.20098559627427634,0.2643652446245561,38.12269982170831,7.407286998020568,18.86683063806566,157.29701851671228,149.6358926836919,7.671262014987406,4537.108047124514,4360.366641057823,176.69846270466857,6742.288131692338
2023,42615.538850219455,0.7930073667674687,0.20653952638202355,0.8682372522947648,0.13227594006558513,0.6605259411316661,0.15477132427535717,0.0845662811099518,0.05949015428210403,0.021027680953279598,0.014620999111546702,0.004381903181428303,584679.8549583913,0.6784797959788673,0.3215046518354685,0.5377718910211213,0.4617443418961924,0.02438765030918444,0.8914723599609287,0.05338214069981842,0.03147442621110538,0.07829831631536813,0.08115318300053667,0.09232660337701774,0.1562313337138799,0.12145671962737334,0.1989361666390775,0.27186564681526676,38.256610485099124,7.478670025457093,18.823045745028804,155.95769419456127,149.64187744932417,6.329771844013919,4700.299337415176,4515.658905338118,184.57757559982574,6952.286604544367
2024,40959.84818009549,0.7875122251156749,0.21203018718279848,0.8636970523906751,0.1367805356942552,0.6687720224970434,0.15085074716662555,0.08163756101122395,0.05826997456361576,0.021157765618527485,0.014204946859992473,0.004460098455603281,562510.4441741514,0.6767855161352299,0.32316355522317153,0.5204938453386417,0.47902711281416416,0.020970644102637714,0.8911609885858246,0.05547085899857743,0.033115482871828666,0.07060797007993783,0.07911233617222688,0.09056394549923984,0.15731692903833253,0.12477867639477233,0.19712758128332927,0.2807782819844366,38.47483003494163,7.583645788608369,18.87656978981975,155.92047296573128,150.38587438873532,5.5521636614202805,4861.368635591332,4668.0812164119225,193.22075909755594,7112.505947933675
2025,38985.29515174852,0.781933406502003,0.2176115470861662,0.8582556506543875,0.14219673202934396,0.6761720755828017,0.14686146118739662,0.07945508756242155,0.05713775230926257,0.021307143315773474,0.013851687140058879,0.004556811176554113,538516.3843118246,0.6752268360287202,0.32469249748897455,0.5021588809362654,0.4973362872681546,0.01708015706350588,0.8909233863253007,0.05797438251235634,0.034728101522354365,0.06236672788342282,0.07703176535272752,0.08924418158092826,0.15773110622361422,0.1277066404312491,0.1953132072373662,0.29090403302117734,38.71524929097412,7.717284908938969,18.863500153390167,155.7165902275646,150.5154019451016,5.2200292347035315,5027.578972735456,4825.138590823164,202.37981037817426,7287.483842485944
2026,36769.97348096408,0.7764145272328555,0.2231364280685471,0.851993675285937,0.14844458138144273,0.6829514753733866,0.1427644974218934,0.07778017838318897,0.05616164625256725,0.021467539182185063,0.013544592324848902,0.004663977666659817,513514.17703392776,0.6739930653225624,0.32590058191579063,0.4827635557533355,0.5166930526286371,0.012693474424532614,0.8912256463572039,0.06065159101118503,0.03613261370187629,0.05337445913598152,0.07491025439209795,0.0881978999661113,0.15790316264478846,0.13043166399778292,0.1934303629399113,0.3020536265161306,38.947845257259445,7.870338913192062,18.781246400326456,155.10920124956255,150.02415152076293,5.103991881862385,5201.198004435917,4989.3682190472755,211.77825725461307,7489.350557131232
2027,34424.030927804124,0.771020566300462,0.22853676001840378,0.844988504573526,0.15544222461619023,0.6893095731629909,0.1385466487888822,0.07642537983119392,0.05533172743021866,0.02165009478494424,0.013268694217771684,0.0047807485330598155,487779.84077685094,0.6732074228202932,0.3266629136560085,0.4623638363885043,0.5370507136719425,0.00786155311014361,0.8921070316672519,0.06341133452479145,0.03733128759365281,0.043593857618911686,0.0727325545945772,0.08728283616856526,0.1579822299108277,0.133133998915098,0.19147420261369183,0.31409684117415243,39.16192023627623,8.038110963110075,18.654481143984686,154.2052504314617,149.14311553275002,5.080888183379315,5383.1253858420205,5161.696350479798,221.38871477851953,7717.623112216398
2028,32028.55397127208,0.7657843688721749,0.23377775970806175,0.8372869216283383,0.16313932065906855,0.6953736354170109,0.13421389185538096,0.07527811131179087,0.05461979214786757,0.021866097219561658,0.013015232687220473,0.004908952294678927,461301.03543488635,0.6729326329258953,0.3269161392298266,0.4409788508553669,0.5583939496514925,0.0026494665950202445,0.8934523853926498,0.06622641886805006,0.038398967535874545,0.033046429313779796,0.07049185090095242,0.08641222030342956,0.15800644235699804,0.13592055778636922,0.18944977421228723,0.3269573038674786,39.35457337058013,8.218647156479069,18.501449688440065,153.13225908425295,148.0477827420708,5.103117142657027,5573.95923778394,5342.614359865187,231.31775083245483,7970.770983574336
2029,29627.90004698868,0.760729955356076,0.2388345618281748,0.8289083686676897,0.17151472062290396,0.7012138495846495,0.1297760138683637,0.07427810313399204,0.05400322146173494,0.022123203556254894,0.012779876374254092,0.00505046401852456,434012.2410092852,0.6732002013537104,0.32662849361256335,0.4185816709837684,0.5807510630991128,-0.0028960139639438165,0.8951403319351054,0.06909003006882589,0.039414518905488666,0.021749637902133828,0.06818504919243903,0.08554190347191921,0.15798772743531234,0.1388526600786397,0.18736282710198635,0.3405873225193931,39.525330263022184,8.41101327852559,18.332022260711543,151.97256391970512,146.8377409905139,5.153524190630861,5774.208271267784,5532.521307846993,241.67460450223186,8248.098526141348
