year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,2.6981,-0.6479,2.3822,-0.1263,1.8612,0.4914,-0.2171,3.4953,-7.6066,-13.3376,-5.5433,-1.382,-2.605,-0.1703,0.7496,-0.9566,2.4027,-2.2236,0.6386,-0.9707,10.8194,-2.329,4.4066,4.8051,-3.8106,-6.8111,-2.4997,2.9675,-0.2856,2.2524,-7.5217,-7.8612,-7.9863,-4.6516,5.0725,5.6826,-7.9404,21.3238
2022,3.8487,-0.8178,3.0191,0.0063,-0.2091,0.9574,0.291,-1.0195,-10.4509,-10.3762,-6.5953,-1.4524,-1.8422,0.0192,-0.1258,-1.0816,2.7748,1.223,0.5348,-0.5104,-4.6236,-0.9633,2.9276,1.7265,-4.1174,-3.2123,-2.8436,3.1469,-0.0348,1.0786,-3.1697,-3.7487,-3.252,-16.8705,3.9057,4.0745,-0.3253,5.0086
2023,3.8766,-0.8384,2.9744,0.0444,-0.6992,1.1377,-0.344,-2.0605,-11.4462,-7.3579,-6.4296,-0.7221,-1.4677,0.0838,-0.4722,-1.0202,2.5341,2.8793,-0.2766,0.1189,-6.2634,0.3161,1.7268,0.6602,-4.9616,-0.7317,-2.5486,2.7581,0.0773,1.3325,-1.121,-1.5064,-0.905,-19.9931,3.6411,3.7499,0.7955,3.3245
2024,3.5889,-0.824,2.8196,0.0411,-0.6659,1.2168,-0.8269,-2.4006,-12.3406,-5.0544,-6.2049,-0.1168,-1.6061,0.1229,-0.7025,-1.0037,2.3994,3.7617,-0.8188,0.6096,-8.4137,1.0748,1.1087,0.086,-5.6354,0.2849,-2.6529,2.818,0.1372,1.6258,-0.6208,-0.7623,-0.3256,-17.3583,3.6186,3.7081,1.1874,4.0983
2025,3.2068,-0.7968,2.6318,0.0152,-0.269,1.2717,-1.2266,-2.6646,-13.2343,-3.8794,-5.9057,0.3506,-1.9535,0.1669,-0.9701,-1.0706,2.4683,4.0135,-1.0673,0.9028,-12.4952,1.2773,0.7456,-0.3032,-5.9509,0.6809,-2.8065,2.9174,0.1317,1.8086,-0.6885,-0.7206,-0.397,-15.5775,3.6594,3.7538,1.0139,5.1045
2026,2.8834,-0.7685,2.4541,-0.0143,0.1893,1.3398,-1.5996,-3.0228,-14.5508,-3.1711,-5.832,0.7799,-2.3905,0.2216,-1.3089,-1.1808,2.6251,3.9642,-1.1578,1.0818,-18.8001,1.1809,0.486,-0.6367,-6.1621,0.9648,-2.985,3.0505,0.0999,1.8649,-0.7877,-0.8109,-0.5197,-16.6089,3.6928,3.7971,0.6845,5.6421
2027,2.6417,-0.7422,2.2952,-0.0435,0.6404,1.4227,-1.97,-3.4595,-16.6385,-2.7155,-6.0066,1.2463,-2.8849,0.2831,-1.7025,-1.3154,2.8142,3.8143,-1.1861,1.1929,-28.1388,0.9707,0.2854,-0.9324,-6.4214,1.2038,-3.1752,3.201,0.0586,1.8593,-0.8411,-0.885,-0.5945,-19.703,3.7162,3.8266,0.4322,5.7823
2028,2.4693,-0.7173,2.1514,-0.0731,1.0914,1.5118,-2.3453,-3.9422,-19.9088,-2.4368,-6.3876,1.7408,-3.4169,0.3482,-2.1394,-1.469,3.0158,3.6352,-1.1941,1.2605,-44.4692,0.7172,0.128,-1.1894,-6.7854,1.3964,-3.3791,3.3564,0.0131,1.8311,-0.8693,-0.9309,-0.6372,-24.4944,3.7366,3.8473,0.3301,5.704
2029,2.3486,-0.6922,2.0166,-0.1049,1.5623,1.5993,-2.7302,-4.4509,-25.1162,-2.2919,-6.9408,2.2286,-3.9761,0.4154,-2.6193,-1.641,3.2217,3.444,-1.1972,1.2988,-86.5332,0.4368,0.0027,-1.4089,-7.2659,1.5459,-3.6013,3.5068,-0.0356,1.7986,-0.893,-0.9611,-0.668,-31.9169,3.7588,3.8653,0.3677,5.5345
2030,2.2652,-0.6653,1.8853,-0.1402,2.0664,1.679,-3.1285,-4.9775,-34.085,-2.2413,-7.6529,2.6838,-4.5635,0.4841,-3.1491,-1.8314,3.426,3.2434,-1.2013,1.3173,-0.0001,0.1299,-0.0995,-1.5949,-7.8644,1.661,-3.8459,3.6458,-0.0866,1.7713,-0.9206,-0.9846,-0.6957,-45.5182,3.7844,3.8837,0.5118,5.3438
