year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,-0.0001,-0.3245,2.1197,-1.3319,9.0685,-1.6056,-2.2485,5.0613,5.6459,18.0083,26.2316,60.6619,529.0837,0.5553,-4.1634,-2.0112,2.78,-4.5494,-2.5322,35.0659,109.4281,-5.412,-6.0481,-1.4224,0.3563,1.7895,-3.6546,16.2823,1.379,6.8262,-0.1095,0.3032,-0.8188,10.0755,4.8187,4.7062,5.6033,12.464
2022,-0.0001,-0.2226,1.3053,-1.2309,7.2664,-0.8871,-1.1367,2.2038,4.0636,6.4283,17.1125,21.3149,-20.2607,0.4182,-3.1223,-2.2333,2.9635,-5.2324,-0.5621,9.9645,24.2009,-5.9484,-1.5339,-0.9744,1.525,-0.4586,1.2554,6.2601,0.7638,4.2056,-2.7918,-2.3107,-3.5094,6.5094,4.7884,4.7841,4.8339,10.193
2023,-0.0001,-0.2732,1.5578,-1.2282,6.6885,-0.5885,-0.87,0.9877,2.8822,4.9187,8.1132,10.9955,-24.7239,0.4929,-3.7955,-2.7113,3.4215,-5.9878,0.147,4.0735,9.8592,-7.4006,-0.8206,-0.5252,1.6199,1.6581,2.0352,3.435,0.5908,3.0295,-1.6038,-1.6675,-2.0458,0.8459,4.2052,4.3135,3.4459,6.0398
2024,-0.0001,-0.3098,1.7258,-1.2249,6.1618,-0.3396,-1.1291,0.3979,2.1319,4.9595,3.8856,7.3712,-42.9892,0.549,-4.4029,-3.0396,3.6117,-6.3622,0.2368,3.1763,8.3058,-8.176,-0.8526,-0.5249,1.3651,3.0148,1.6375,3.312,0.5336,2.6323,-0.7331,-0.8763,-0.9803,-0.1942,3.9618,4.087,3.0706,4.3138
2025,-0.0001,-0.3153,1.718,-1.2605,5.8974,-0.183,-1.5057,0.2667,1.7416,4.7776,2.2551,5.9042,-93.1841,0.5964,-5.0217,-3.375,3.7531,-6.7282,0.2044,2.9543,8.9764,-8.9474,-0.9869,-0.4825,1.1571,3.4556,1.134,3.5368,0.4768,2.5642,-0.5298,-0.5608,-0.665,0.117,3.9011,4.0452,2.8672,3.9425
2026,-0.0001,-0.3012,1.6072,-1.3163,5.7424,-0.068,-1.9158,0.2427,1.5467,4.5694,1.5465,5.1449,-0.0001,0.6456,-5.7488,-3.7437,3.877,-7.2805,0.1827,2.9033,9.0956,-10.0363,-1.158,-0.4584,1.0352,3.6368,0.5884,3.8892,0.4104,2.5722,-0.5574,-0.4826,-0.6285,0.4537,3.9054,4.0708,2.7044,4.0222
2027,-0.0001,-0.2769,1.4489,-1.3838,5.6342,0.0321,-2.3471,0.2168,1.4392,4.3784,1.1509,4.7356,-0.0001,0.6992,-6.6416,-4.1514,3.9841,-8.043,0.183,2.8804,8.714,-11.5454,-1.349,-0.4625,0.9667,3.7551,0.081,4.2454,0.3397,2.5963,-0.6283,-0.4807,-0.6517,0.6024,3.9282,4.1151,2.553,4.207
2028,-0.0001,-0.248,1.2741,-1.4586,5.5443,0.1289,-2.794,0.1602,1.3598,4.2173,0.8472,4.5529,-0.0001,0.756,-7.7398,-4.6053,4.0743,-9.0274,0.1962,2.8643,8.1532,-13.5912,-1.5429,-0.4936,0.9211,3.8527,-0.394,4.5804,0.2704,2.6228,-0.6885,-0.4881,-0.6681,0.638,3.9536,4.1584,2.4232,4.3824
2029,-0.0001,-0.217,1.0957,-1.5395,5.4632,0.2263,-3.2593,0.074,1.2839,4.076,0.5664,4.5164,-0.0001,0.8145,-9.1004,-5.1187,4.1514,-10.2819,0.2167,2.8419,7.5885,-16.4154,-1.7285,-0.5429,0.884,3.933,-0.8524,4.8814,0.2042,2.6479,-0.7352,-0.4894,-0.6715,0.6349,3.9769,4.1951,2.3189,4.5239
2030,-0.0001,-0.1848,0.9177,-1.6265,5.3878,0.3256,-3.7523,-0.036,1.2033,3.9458,0.2834,4.5633,-0.0001,0.8737,-10.8219,-5.7093,4.2188,-11.9058,0.2425,2.8056,7.0786,-20.513,-1.9013,-0.6028,0.8497,3.9974,-1.3103,5.1431,0.1409,2.6691,-0.7741,-0.4846,-0.6668,0.6256,3.9972,4.2246,2.2374,4.6315
