year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,3.4738,-0.5647,0.3843,-0.4365,6.434,0.6267,-0.9746,-5.8857,-4.5489,-1.0592,12.9808,44.4677,-0.3377,-0.8404,0.5006,-1.9366,4.9847,4.0217,-1.9533,-0.6581,25.3812,1.9686,-0.2738,-5.6442,-2.026,-3.1202,5.761,5.3336,-0.1159,6.4413,-5.0525,-3.2833,-4.6691,71.3114,5.3813,4.6441,58.0887,11.8127
2022,2.4231,-0.5182,0.3854,-0.3665,5.1733,0.8817,-4.497,-3.5296,-3.0593,1.2156,4.5838,14.286,2.1899,-0.2697,0.1406,-1.8863,4.5299,2.0092,-0.5562,-1.7831,6.1374,0.418,-4.4279,-2.7153,-1.9036,-0.2989,2.85,3.1738,-0.1329,2.7517,-0.9151,-0.9631,-0.5318,-14.7774,3.7542,3.5998,10.9729,7.201
2023,2.0358,-0.5224,0.385,-0.3245,4.2112,1.016,-5.9598,-4.243,-2.2351,1.273,1.9977,7.67,0.9981,-0.1103,0.0535,-1.8652,4.215,1.3387,-0.2214,-0.9755,2.037,0.0993,-5.4289,-3.6132,-1.8069,0.2115,1.8906,4.0167,-0.0878,1.9605,-0.1648,-0.3469,0.044,-14.6622,3.4556,3.343,8.2772,5.4994
2024,1.694,-0.5283,0.3835,-0.357,4.4269,1.0215,-6.5331,-4.5024,-1.7823,0.8608,0.9739,5.7334,0.1764,0.0082,-0.0093,-1.9324,4.1096,1.0154,-0.035,-1.1827,0.6623,-0.2193,-5.4963,-3.9143,-1.6332,0.157,1.3825,4.2761,-0.0749,1.789,-0.3714,-0.4596,-0.2649,-8.8243,3.3771,3.2902,6.9477,5.1338
2025,1.53,-0.5307,0.3801,-0.4013,4.744,1.0057,-6.8817,-4.8731,-1.5529,0.6045,0.369,5.0808,-0.4228,0.1009,-0.0572,-2.0426,4.0912,0.7205,0.1095,-1.4794,0.0018,-0.6462,-5.4053,-4.1746,-1.4431,0.104,0.9812,4.5065,-0.0808,1.6961,-0.5616,-0.5909,-0.5157,-4.1182,3.3681,3.2846,6.6901,5.0004
2026,1.4539,-0.5268,0.3727,-0.4528,5.0918,0.9802,-7.2062,-5.1994,-1.4376,0.4521,0.0012,4.985,-0.8348,0.181,-0.099,-2.1843,4.1183,0.4416,0.2188,-1.8312,-0.2252,-1.1212,-5.3243,-4.3252,-1.27,0.0896,0.7122,4.5981,-0.0983,1.6437,-0.6764,-0.6637,-0.6502,-1.309,3.386,3.3004,6.6905,4.9538
2027,1.4287,-0.5163,0.3611,-0.5081,5.4139,0.9501,-7.5633,-5.4709,-1.3936,0.393,-0.2235,5.1206,-1.1265,0.2543,-0.1377,-2.3493,4.1631,0.1721,0.296,-2.1505,-0.1868,-1.6203,-5.2928,-4.4224,-1.137,0.1134,0.5223,4.6267,-0.117,1.6165,-0.7239,-0.6706,-0.6924,0.4193,3.4135,3.3225,6.8222,4.9303
2028,1.425,-0.4974,0.3441,-0.5671,5.7046,0.916,-7.9885,-5.6557,-1.3636,0.398,-0.3409,5.3294,-1.3395,0.3253,-0.1759,-2.5372,4.2165,-0.0995,0.35,-2.4221,0.0098,-2.1455,-5.3244,-4.4822,-1.033,0.1618,0.3832,4.6242,-0.1347,1.6092,-0.7415,-0.645,-0.6914,1.641,3.4455,3.3485,6.964,4.9281
2029,1.427,-0.4688,0.321,-0.6301,5.9631,0.8783,-8.5105,-5.739,-1.3069,0.4466,-0.3786,5.5352,-1.5011,0.3978,-0.2155,-2.749,4.2738,-0.3836,0.3894,-2.6451,0.2868,-2.7106,-5.4279,-4.5184,-0.9421,0.2253,0.2759,4.6107,-0.151,1.6168,-0.75,-0.6101,-0.6758,2.5477,3.4794,3.3775,7.0534,4.9403
2030,1.4266,-0.43,0.2917,-0.6972,6.1891,0.8376,-9.1578,-5.7132,-1.1999,0.5241,-0.3584,5.7098,-1.63,0.4746,-0.2583,-2.9866,4.3315,-0.6867,0.4204,-2.8243,0.595,-3.3315,-5.6113,-4.5414,-0.8519,0.2974,0.1886,4.5969,-0.166,1.6357,-0.7587,-0.5778,-0.659,3.2001,3.5137,3.4086,7.0708,4.9578
