year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,-2.3709,-0.5933,2.5679,2.8887,-1.3571,10.2252,-8.3912,-4.6101,-5.1627,-5.5905,-3.9622,0.6123,-7.103,1.3181,-1.0206,-17.8427,2.0178,-5.0509,2.434,-15.0407,-4.3762,4.037,-4.896,-4.8306,-3.0338,0.5355,-3.0956,10.893,-1.8,-1.1402,-9.5372,-8.6579,-10.5068,54.3138,5.5907,5.4102,11.6228,3.6146
2022,3.2565,-0.7491,3.3132,2.2183,-1.0589,8.9652,-7.5326,-6.3389,-6.0539,-5.1069,-6.0708,-0.0586,-0.2676,1.6644,-1.325,-25.12,2.2915,-32.4785,2.6999,-32.3878,-3.6249,-7.8669,-2.6374,-5.2623,-2.6479,2.5437,-0.8173,8.7046,-1.7538,-0.9272,-3.7426,-4.5139,-4.1414,-12.0554,4.9006,4.9454,3.3814,1.1112
2023,6.9222,-0.858,3.6675,1.7849,-0.8898,8.1774,-7.7118,-6.9393,-7.06,-4.1755,-7.2176,1.2422,0.7062,1.725,-1.4161,-34.7561,2.3211,-46.4203,2.0526,-42.9548,-2.4547,-8.614,-1.9894,-5.4264,-3.5786,2.7619,-0.6296,8.3796,-1.5602,-0.2154,-1.3686,-1.8982,-1.3091,-14.6831,4.748,4.7993,3.0454,0.555
2024,7.4234,-0.9065,3.7082,1.3277,-0.6823,7.4365,-8.2922,-7.147,-7.7074,-3.8751,-7.3871,2.2912,0.8532,1.7183,-1.4542,-56.6088,2.4112,-81.043,1.6174,-69.9531,-1.6096,-8.6309,-1.7709,-5.3409,-4.2116,2.3446,-0.8223,7.9842,-1.505,0.4751,-1.1562,-1.1604,-0.8421,-9.1749,4.7771,4.8147,3.5352,0.8206
2025,6.8303,-0.9214,3.6037,0.9196,-0.4828,6.8432,-9.1886,-7.4003,-8.2024,-3.7251,-7.4247,2.7223,0.734,1.7362,-1.5156,-0.0001,2.5163,-0.0001,1.4333,-0.0001,-1.1934,-9.6366,-1.8136,-5.3378,-4.5694,2.138,-1.1701,7.6081,-1.5344,0.9569,-1.3659,-1.0519,-0.9117,-4.9434,4.8089,4.8407,3.7476,1.255
2026,5.9641,-0.922,3.4502,0.5593,-0.299,6.3902,-10.4052,-7.8106,-8.7205,-3.6125,-7.602,2.8765,0.3104,1.786,-1.6104,-0.0001,2.6162,-0.0001,1.3832,-0.0001,-1.0296,-11.5315,-1.988,-5.4791,-4.8069,2.1226,-1.5588,7.2642,-1.5969,1.2947,-1.5585,-1.0725,-1.0059,-3.0368,4.8158,4.8481,3.723,1.6646
2027,5.0986,-0.9186,3.2926,0.2327,-0.1282,6.0455,-12.0033,-8.411,-9.3749,-3.5152,-7.982,2.9764,-0.3979,1.8564,-1.732,-0.0001,2.7111,-0.0001,1.3953,-0.0001,-0.9899,-14.2652,-2.2101,-5.7594,-5.0204,2.2002,-1.9717,6.9674,-1.6695,1.5482,-1.6872,-1.09,-1.0507,-2.2977,4.8033,4.8366,3.6563,2.0088
2028,4.2983,-0.9153,3.1463,-0.0741,0.0342,5.7807,-14.1348,-9.2274,-10.2429,-3.4379,-8.5815,3.09,-1.3209,1.939,-1.8754,-0.0001,2.8059,-0.0001,1.4387,-0.0001,-1.0095,-18.1637,-2.4432,-6.1605,-5.253,2.3147,-2.411,6.7132,-1.7483,1.7483,-1.78,-1.0903,-1.0643,-1.9184,4.7801,4.8132,3.6227,2.2909
2029,3.5704,-0.9131,3.014,-0.3714,0.1916,5.5754,-17.0919,-10.3055,-11.4012,-3.3854,-9.4314,3.2195,-2.4044,2.0295,-2.0395,-0.0001,2.9032,-0.0001,1.5005,-0.0001,-1.0575,-24.1267,-2.6763,-6.6763,-5.5239,2.4432,-2.8854,6.4948,-1.8354,1.911,-1.8589,-1.0801,-1.0649,-1.598,4.7523,4.7839,3.6307,2.5224
2030,2.9072,-0.912,2.8941,-0.6673,0.3462,5.4151,-21.4463,-11.7253,-12.9557,-3.3601,-10.5926,3.3524,-3.6295,2.126,-2.2254,-0.0001,3.0038,-0.0001,1.574,-0.0001,-1.1179,-34.4481,-2.9089,-7.3149,-5.8446,2.5758,-3.4065,6.3065,-1.9338,2.0466,-1.9359,-1.0658,-1.0616,-1.2567,4.7236,4.7531,3.6683,2.7144
