year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,1.2331,-1.072,1.113,-0.042,1.8455,0.7276,-15.2469,-22.7079,-1.7475,77.6588,inf,inf,-8.3338,-0.3986,0.4644,-0.6494,4.2122,-0.0898,-2.1228,15.422,0.6215,-0.1959,-0.6659,-5.6943,-0.3279,6.9462,0.9135,39.8194,0.1267,2.6655,-3.8027,-2.9688,-4.4463,52.3035,5.7921,4.9689,29.8562,21.0292
2022,0.912,-0.8135,0.8174,-0.1106,3.0733,0.8247,-16.212,-31.5589,-11.7195,41.1329,29.0131,152.556,-5.4581,-0.1749,0.1808,-0.748,4.5676,-0.4597,0.4166,4.6033,-6.8948,-0.6654,0.4096,-3.6082,1.3008,9.1768,2.0653,8.4298,0.3651,1.4267,-1.8888,-2.2787,-2.4301,1.2434,4.3606,4.0921,10.5455,9.3035
2023,0.8985,-0.8044,0.7936,-0.1732,4.4834,0.9493,-21.9921,-50.3477,-19.6061,24.2243,-1.1148,71.9314,-5.1427,0.0308,-0.0423,-1.0596,6.1218,-0.5422,0.9619,2.2516,-8.1491,-0.8422,0.1341,-3.4421,0.7755,9.8,2.7141,11.2391,0.3691,1.0241,-0.694,-1.2602,-1.077,-5.4137,4.0018,3.8513,7.2211,3.8088
2024,0.9195,-0.7962,0.7709,-0.2462,6.1016,1.0255,-31.5612,-0.0001,-27.1133,15.7918,-11.168,61.2953,-5.6213,0.1969,-0.2161,-1.3485,7.2557,-0.5409,0.9197,1.5153,-7.3309,-0.9068,-0.1905,-3.5071,0.0987,8.5756,2.1722,17.9504,0.3222,1.18,-0.3727,-0.7779,-0.6513,-3.7835,4.0162,3.9013,6.3955,1.7264
2025,0.9353,-0.7538,0.7176,-0.3293,7.7136,1.0534,-49.6628,-0.0001,-35.3118,10.5864,-18.8904,48.9546,-6.2951,0.3443,-0.3712,-1.6069,7.9526,-0.5333,0.8203,0.9479,-5.87,-0.9668,-0.4006,-3.4954,-0.1783,7.0713,1.1432,21.28,0.2433,1.4602,-0.4765,-0.7001,-0.6896,-0.9745,4.1515,4.0618,5.9713,1.2452
2026,0.9509,-0.6865,0.6433,-0.4157,9.0404,1.053,-0.0001,-0.0001,-47.2384,7.4395,-28.9176,38.9012,-7.098,0.4804,-0.5173,-1.8416,8.311,-0.5363,0.751,0.3959,-4.2392,-1.0428,-0.5518,-3.4647,-0.1352,5.9383,0.0704,21.4974,0.1564,1.7332,-0.6443,-0.7377,-0.8001,0.767,4.295,4.228,5.6338,1.419
2027,0.9669,-0.6054,0.559,-0.5026,10.0,1.036,-0.0001,-0.0001,-73.1808,5.6657,-46.9953,32.1794,-8.0799,0.6051,-0.6556,-2.06,8.4307,-0.5467,0.7036,-0.1201,-2.5706,-1.1293,-0.6794,-3.4344,0.0616,5.1952,-0.9279,20.2131,0.079,1.9759,-0.7615,-0.7605,-0.8557,1.5163,4.4084,4.3597,5.3734,1.8477
2028,0.9801,-0.5166,0.4705,-0.5897,10.6232,1.0082,-0.0001,-0.0001,-0.0001,4.7716,-97.5407,27.6996,-9.3219,0.7176,-0.7857,-2.2715,8.4023,-0.5629,0.669,-0.5852,-0.9451,-1.2222,-0.7969,-3.4002,0.3152,4.7279,-1.8447,18.4745,0.0171,2.1883,-0.8244,-0.7454,-0.8534,1.7869,4.4864,4.4505,5.1955,2.3713
2029,0.9874,-0.4229,0.3803,-0.6777,10.9754,0.9735,-0.0001,-0.0001,-0.0001,4.4289,-0.0001,24.4874,-10.9238,0.8189,-0.9091,-2.4851,8.2917,-0.5864,0.6464,-1.0017,0.5464,-1.3213,-0.9109,-3.3542,0.5852,4.4417,-2.7025,16.7481,-0.0297,2.371,-0.8526,-0.7037,-0.8168,1.8855,4.5333,4.5055,5.0802,2.9146
2030,0.9873,-0.3255,0.2889,-0.7671,11.1216,0.9346,-0.0001,-0.0001,-0.0001,4.4266,-0.0001,21.9984,-13.0346,0.9112,-1.0285,-2.7081,8.1401,-0.6193,0.6378,-1.3779,1.8291,-1.4285,-1.0259,-3.2933,0.8563,4.2748,-3.5303,15.2038,-0.064,2.5246,-0.8624,-0.6499,-0.7653,1.9314,4.5555,4.5327,5.002,3.4332
