year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,32.6657,-1.1637,5.4102,1.0589,-4.7698,7.0122,-8.0732,-12.9055,-11.5353,-14.7205,-23.7667,-0.0001,-0.0001,0.54,-1.5284,-1.1444,1.7565,inf,1.6049,-3.7744,-10.3204,7.6208,2.4056,-4.8602,-3.8995,2.5846,-7.1159,16.4411,-2.0553,-2.8224,-5.7916,-4.4571,-5.6683,32.4641,5.8266,6.2648,-7.6233,11.2157
2022,19.1514,-1.3874,6.2539,0.7755,-3.6644,6.4992,-8.1203,-16.6574,-13.9788,-15.0374,-23.3545,-0.0001,-0.0001,0.6029,-1.6682,-2.2918,3.7091,14.472,1.7176,-4.0526,-12.3682,4.8763,1.136,-5.1294,-3.4104,2.3461,-5.8554,24.996,-1.7258,-1.2679,-1.7766,-1.7262,-1.3251,-10.8658,4.3693,4.7219,-8.9603,3.4446
2023,19.7653,-1.5018,6.359,0.6087,-3.0062,6.0926,-8.8916,-19.6998,-17.113,-15.7743,-27.4638,-0.0001,-0.0001,0.6009,-1.7086,-2.6192,4.0004,13.7582,1.4182,-3.9885,-9.6377,4.7214,0.9624,-5.1927,-4.0972,2.0316,-5.7839,22.2393,-1.5723,-0.2575,-0.6594,-0.5026,-0.0123,-12.6735,4.2358,4.5491,-9.3828,3.2316
2024,16.0161,-1.5888,6.2442,0.5046,-2.5901,5.8741,-10.2744,-24.3576,-21.4542,-17.7524,-34.687,-0.0001,-0.0001,0.591,-1.7179,-2.9261,4.1817,16.5349,1.2649,-3.9991,-8.5959,4.9294,0.8277,-5.3882,-4.7684,1.7395,-6.0998,19.6364,-1.5541,0.5046,-0.5968,-0.2044,0.1256,-9.6208,4.2891,4.5629,-9.4149,3.9644
2025,11.4193,-1.6701,6.0859,0.4291,-2.2749,5.7611,-12.2404,-32.5865,-28.3109,-21.4063,-50.714,-0.0001,-0.0001,0.6123,-1.8215,-3.2704,4.3522,15.6841,1.2756,-4.2523,-9.6851,5.0844,0.7106,-5.7025,-5.3766,1.623,-6.7256,17.2458,-1.6225,0.997,-0.78,-0.2408,-0.0193,-7.3017,4.3382,4.5942,-10.4527,4.6752
2026,7.7824,-1.7548,5.9295,0.3748,-2.046,5.7208,-14.9973,-49.9367,-41.0605,-27.5807,-0.0001,-0.0001,-0.0001,0.6605,-2.0144,-3.654,4.5062,13.6841,1.3634,-4.6615,-12.3586,5.1934,0.613,-6.2234,-5.9965,1.6612,-7.6247,15.4027,-1.7404,1.3224,-0.9431,-0.3186,-0.1484,-6.2183,4.3759,4.6216,-12.2154,5.1959
2027,4.9895,-1.8472,5.7891,0.3326,-1.8666,5.7241,-18.9984,-0.0001,-72.7986,-39.0989,-0.0001,-0.0001,-0.0001,0.7276,-2.2808,-4.0904,4.6499,12.2188,1.481,-5.2227,-16.439,5.2874,0.542,-6.954,-6.6937,1.7719,-8.8184,13.9737,-1.8908,1.5605,-1.0653,-0.3734,-0.2289,-5.7449,4.4109,4.6484,-14.7062,5.5593
2028,2.768,-1.9492,5.6672,0.2967,-1.7101,5.7518,-25.2467,-0.0001,-0.0001,-66.5734,-0.0001,-0.0001,-0.0001,0.8073,-2.61,-4.5997,4.7917,11.2894,1.6097,-5.9535,-22.5023,5.3737,0.4989,-7.9096,-7.517,1.9109,-10.3898,12.8492,-2.0684,1.7515,-1.1633,-0.4023,-0.2752,-5.4401,4.4493,4.678,-18.1471,5.8161
2029,0.8849,-2.0623,5.5625,0.2634,-1.558,5.7926,-36.3229,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.8961,-3.0,-5.2047,4.9359,10.5856,1.7433,-6.8912,-32.4781,5.4512,0.4812,-9.1319,-8.5155,2.0598,-12.49,11.9418,-2.273,1.9158,-1.2516,-0.4132,-0.3011,-5.1388,4.4933,4.7124,-23.201,6.0038
2030,-0.8306,-2.1874,5.4723,0.2304,-1.3988,5.8396,-61.2952,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.992,-3.4558,-5.9328,5.0827,9.8965,1.8795,-8.0946,-52.7963,5.5191,0.4849,-10.7048,-9.7543,2.2117,-15.3939,11.194,-2.5067,2.0648,-1.3376,-0.4118,-0.3139,-4.7963,4.5426,4.7517,-31.4898,6.1467
2031,-2.5157,-2.3258,5.3942,0.1963,-1.225,5.8891,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,1.0941,-3.988,-6.8199,5.2302,9.1367,2.0179,-9.6567,-0.0001,5.5784,0.5064,-12.776,-11.3311,2.3635,-19.6323,10.567,-2.7726,2.2057,-1.4256,-0.4017,-0.3175,-4.4011,4.5965,4.7954,-47.8258,6.2604
