year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,2.0172,-0.0007,-0.0838,-0.3044,3.6716,0.9997,-6.5797,-13.0864,-17.2827,-10.4815,1.1969,inf,2.4077,0.461,-0.5677,-1.5787,4.3624,0.359,-0.9069,1.6984,7.6664,0.0119,-0.5703,-3.6763,-0.9764,-0.8248,-5.2864,20.2061,0.0132,2.8988,-5.5595,-4.295,-5.5812,42.5117,5.7691,5.3279,20.8733,9.9953
2022,2.0691,0.12,-0.2011,-0.3551,4.0154,1.1755,-7.3524,-20.5874,-15.7643,-2.9897,-9.9431,48.5948,2.2621,0.597,-0.7518,-1.7654,4.6666,-0.3674,0.9754,-2.0594,-4.859,-0.7025,-0.335,-3.3032,1.8672,5.5074,-3.606,10.4607,0.036,0.6984,-2.1223,-2.4215,-2.1632,-8.7306,4.7073,4.6033,7.7668,5.4306
2023,2.0626,0.1168,-0.1787,-0.4437,4.7517,1.1911,-8.7053,-24.7907,-19.9363,0.8631,-20.4843,37.4237,2.2311,0.6994,-0.8964,-2.0259,5.0252,-0.5327,1.1204,-2.5687,-4.5173,-0.917,-0.5723,-2.8537,1.3492,6.3725,-3.179,10.5653,0.1719,0.7203,-0.4849,-1.0108,-0.4388,-15.7761,4.2845,4.2825,4.3119,2.7298
2024,2.0456,0.1198,-0.1808,-0.5371,5.4605,1.1794,-10.2358,-29.5082,-25.0261,-0.0565,-28.514,33.9551,2.036,0.7634,-0.9921,-2.2842,5.2788,-0.5634,0.9785,-2.5855,-2.0659,-0.9738,-0.7433,-2.5413,0.7044,5.0111,-3.5121,11.8354,0.2339,1.1891,-0.2281,-0.5632,-0.1558,-12.9886,4.1898,4.2007,3.8628,2.1294
2025,2.0252,0.1457,-0.2183,-0.6321,6.0732,1.1561,-12.0971,-36.9763,-30.5714,-2.6541,-40.2093,28.6261,1.8711,0.8271,-1.0919,-2.5477,5.4617,-0.5938,0.906,-2.7387,-0.1263,-1.0431,-0.8886,-2.2438,0.4706,3.6949,-4.1005,12.3232,0.2249,1.5969,-0.406,-0.5683,-0.3328,-8.8263,4.1958,4.206,3.8975,2.3617
2026,2.0103,0.1848,-0.2762,-0.7241,6.5277,1.1322,-14.4443,-52.8077,-38.4059,-4.7336,-67.6312,23.9494,1.7428,0.8965,-1.2051,-2.8109,5.568,-0.6379,0.8916,-2.9847,1.2134,-1.1413,-1.0291,-2.022,0.4912,2.8744,-4.7596,12.2327,0.1866,1.8952,-0.5951,-0.6536,-0.5186,-5.8421,4.2216,4.2277,4.0454,2.7996
2027,2.0013,0.2297,-0.3437,-0.8145,6.8483,1.1077,-17.5245,-0.0001,-53.2949,-5.8959,-0.0001,20.6295,1.6391,0.9676,-1.3277,-3.0787,5.6153,-0.6885,0.8962,-3.2741,2.2953,-1.2574,-1.1642,-1.8636,0.6122,2.4259,-5.4396,11.8312,0.1441,2.1217,-0.7168,-0.7069,-0.6268,-3.9617,4.2454,4.2448,4.2651,3.2461
2028,1.9963,0.2768,-0.4158,-0.9056,7.0712,1.0808,-21.8391,-0.0001,-96.3432,-6.129,-0.0001,18.3403,1.5529,1.0369,-1.4555,-3.3616,5.6278,-0.7442,0.9032,-3.5814,3.2772,-1.387,-1.2924,-1.7421,0.7656,2.2097,-6.1464,11.3004,0.1065,2.3034,-0.7859,-0.7196,-0.674,-2.6382,4.2633,4.254,4.5375,3.6519
2029,1.9931,0.3253,-0.4914,-0.9995,7.2245,1.0504,-28.5001,-0.0001,-0.0001,-5.4577,-0.0001,16.6838,1.4816,1.1032,-1.5876,-3.6703,5.6227,-0.8076,0.9102,-3.8977,4.1734,-1.5312,-1.4151,-1.6367,0.9309,2.1403,-6.9,10.7377,0.0757,2.4532,-0.8255,-0.7069,-0.6867,-1.5653,4.2754,4.2566,4.8249,4.0067
2030,1.9906,0.3751,-0.5707,-1.0977,7.3263,1.0164,-40.439,-0.0001,-0.0001,-3.893,-0.0001,15.4025,1.4239,1.167,-1.7253,-4.0144,5.6095,-0.8821,0.9186,-4.2193,4.9558,-1.6928,-1.5358,-1.5363,1.1034,2.1685,-7.728,10.1939,0.0511,2.5782,-0.8506,-0.6822,-0.6829,-0.6381,4.2827,4.2548,5.0933,4.3086
2031,1.9881,0.4266,-0.6547,-1.2012,7.3884,0.9792,-68.6329,-0.0001,-0.0001,-1.4998,-0.0001,14.3565,1.3782,1.2292,-1.8707,-4.4031,5.5927,-0.9699,0.9296,-4.5446,5.6038,-1.8747,-1.6577,-1.4362,1.2818,2.2621,-8.6657,9.6928,0.0317,2.6838,-0.8696,-0.6541,-0.6727,0.1712,4.2863,4.2502,5.3223,4.5586
2032,1.9852,0.4799,-0.7441,-1.3109,7.4189,0.9392,-0.0001,-0.0001,-0.0001,1.5326,-0.0001,13.4727,1.3433,1.2908,-2.0265,-4.8466,5.5738,-1.0724,0.9439,-4.8731,6.114,-2.0794,-1.7837,-1.3345,1.4651,2.3979,-9.7601,9.2434,0.0163,2.7745,-0.8872,-0.6275,-0.6619,0.8731,4.2871,4.2442,5.5042,4.7601
