year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,2.5268,-0.0173,0.0952,-0.7,8.4884,-3.9893,3.2846,2.2148,3.1374,-6.42,1.1932,2.584,1.1168,-0.6636,0.1246,-0.2296,0.4176,-5.5605,2.0934,-10.4763,-4.0737,-14.7555,3.9512,1.5495,3.5083,-10.4172,4.0496,2.7433,0.8057,4.0,-7.645,-8.7138,-9.1635,3.2875,4.1978,4.2671,2.8625,-9.4161
2022,4.5216,-0.1957,0.2604,-0.5345,5.7331,-3.2664,1.579,2.2514,3.3924,-0.5607,0.9963,3.2165,1.5222,-0.1449,0.0279,-0.4708,1.2163,0.6682,0.5778,-4.2813,-0.0848,-13.7958,-1.8221,0.4687,2.0189,-3.2954,2.941,3.7496,0.7481,1.7452,-1.3773,-2.225,-1.7716,-14.4859,3.411,3.2146,7.8137,-17.7631
2023,4.8893,-0.1285,0.1663,-0.5425,5.4313,-3.9311,1.429,2.9917,3.9415,1.7226,1.8168,5.4156,1.5631,-0.5496,0.1259,-0.3842,1.0029,3.5489,-0.3439,-0.89,11.0618,-14.6153,-3.108,0.4747,1.6424,-1.6726,2.7139,3.6087,0.9124,2.2857,-0.3084,-0.4839,-0.4029,-2.8017,3.4989,3.1292,11.3394,-12.8857
2024,4.6929,-0.0143,0.0236,-0.5977,5.65,-4.9006,1.588,3.64,4.4973,2.9248,2.6826,6.2388,1.6377,-0.9804,0.2237,-0.3465,0.8925,3.4744,-0.7593,0.968,14.9265,-18.6174,-3.5504,0.7951,1.8372,-0.9737,2.7203,3.1803,1.0289,2.5139,-0.264,-0.2131,-0.333,3.7712,3.5478,3.1328,11.6759,-6.1204
2025,4.3942,0.1013,-0.1196,-0.6595,5.8652,-5.9823,1.7929,4.1151,4.939,3.7455,3.3288,6.3939,1.6946,-1.3112,0.2947,-0.3469,0.8786,2.2301,-0.9533,2.2715,14.5877,-26.4223,-3.8628,1.1149,2.1703,-0.3766,2.7981,2.8745,1.1195,2.4326,-0.2549,-0.22,-0.3657,4.3876,3.5082,3.098,10.9119,-1.4806
2026,4.1143,0.2131,-0.2595,-0.721,6.0137,-7.2046,1.9968,4.48,5.2589,4.3395,3.7913,6.4067,1.7254,-1.5596,0.344,-0.3596,0.8961,0.7252,-1.0712,3.3319,13.1871,-41.4268,-4.1799,1.3969,2.4743,0.1305,2.9022,2.7203,1.203,2.2652,-0.2054,-0.2545,-0.3761,3.4461,3.4286,3.0366,9.9988,0.5722
2027,3.8813,0.3243,-0.4012,-0.7822,6.105,-8.6546,2.1959,4.7807,5.4908,4.7693,4.1274,6.4187,1.744,-1.7537,0.3788,-0.373,0.9149,-0.7896,-1.1675,4.239,11.782,-80.448,-4.5269,1.6535,2.7203,0.5252,3.0086,2.6847,1.2826,2.0927,-0.155,-0.2949,-0.3952,2.6799,3.3432,2.9689,9.2168,0.8366
2028,3.6964,0.4388,-0.5505,-0.8445,6.1591,-10.4644,2.3934,5.0411,5.6708,5.0743,4.3787,6.4405,1.7656,-1.913,0.404,-0.3825,0.9236,-2.3008,-1.2621,5.0139,10.6254,-0.0001,-4.9117,1.8994,2.9249,0.8153,3.1103,2.723,1.3573,1.9335,-0.1249,-0.3491,-0.4405,2.2993,3.2676,2.9074,8.5955,0.0745
2029,3.5551,0.559,-0.7116,-0.9091,6.1906,-12.84,2.5939,5.2735,5.8229,5.289,4.572,6.4632,1.7982,-2.051,0.4228,-0.3851,0.9159,-3.8589,-1.3648,5.6688,9.746,-0.0001,-5.3423,2.1427,3.1073,1.022,3.2063,2.8005,1.4275,1.7886,-0.1143,-0.4162,-0.5074,2.1635,3.2058,2.8561,8.1087,-1.2805
2030,3.4514,0.6864,-0.8879,-0.9774,6.2088,-16.1377,2.8011,5.4854,5.9607,5.4415,4.7265,6.4822,1.8442,-2.1789,0.4378,-0.3786,0.8873,-5.5368,-1.4817,6.2174,9.114,-0.0001,-5.8289,2.3882,3.2809,1.1649,3.298,2.8935,1.4953,1.6564,-0.1153,-0.4904,-0.5859,2.1391,3.1569,2.8144,7.7259,-3.0412
2031,3.3785,0.8216,-1.0826,-1.0502,6.2193,-21.0487,3.0172,5.682,6.0909,5.553,4.856,6.4974,1.9028,-2.307,0.4512,-0.3612,0.8346,-7.433,-1.6179,6.6742,8.6842,-0.0001,-6.3859,2.6386,3.453,1.2595,3.3873,2.9865,1.5633,1.535,-0.1208,-0.566,-0.6674,2.1492,3.1177,2.7797,7.4224,-5.1801
2032,3.3302,0.965,-1.2986,-1.1285,6.225,-29.1419,3.243,5.8669,6.2165,5.6387,4.9708,6.5092,1.9722,-2.4449,0.4647,-0.3312,0.7551,-9.6914,-1.7771,7.0533,8.409,-0.0001,-7.0328,2.8954,3.6272,1.3168,3.4762,3.0701,1.6338,1.4218,-0.126,-0.6398,-0.7471,2.1562,3.0847,2.7488,7.179,-7.7971
2033,3.3008,1.1164,-1.5394,-1.2129,6.227,-44.9403,3.4782,6.0423,6.3384,5.7085,5.0779,6.5183,2.0501,-2.6013,0.4799,-0.2872,0.6466,-12.5422,-1.9627,7.3673,8.2451,-0.0001,-7.7968,3.1591,3.8047,1.3453,3.5662,3.1389,1.7089,1.314,-0.1277,-0.7103,-0.8227,2.143,3.0546,2.7186,6.9811,-11.1425
2034,3.2856,1.2757,-1.809,-1.3039,6.2254,-89.1697,3.7211,6.2091,6.4563,5.7692,5.1816,6.5246,2.1344,-2.7848,0.4978,-0.2278,0.5067,-16.3928,-2.1781,7.627,8.1554,-0.0001,-8.7164,3.4286,3.9853,1.3508,3.6585,3.1905,1.7899,1.2082,-0.1243,-0.7773,-0.8939,2.103,3.0246,2.6866,6.8176,-15.728
2035,3.2807,1.4425,-2.1121,-1.402,6.2199,-0.0001,3.9696,6.3678,6.5695,5.8248,5.2845,6.5282,2.2237,-3.004,0.5193,-0.1516,0.3328,-22.0566,-2.4272,7.8417,8.1112,-0.0001,-9.8474,3.7025,4.168,1.3375,3.754,3.2246,1.8779,1.1012,-0.1149,-0.8417,-0.9612,2.0348,2.9923,2.6506,6.6803,-22.6604
2036,3.2834,1.6163,-2.4547,-1.5079,6.2099,-0.0001,4.2214,6.5181,6.6773,5.8778,5.3876,6.529,2.3168,-3.2677,0.545,-0.0573,0.1216,-31.4562,-2.7146,8.0188,8.0909,-0.0001,-11.2737,3.9785,4.3513,1.3085,3.8534,3.242,1.9735,0.9898,-0.0992,-0.9047,-1.0257,1.9392,2.9562,2.6088,6.5632,-34.7907
2037,3.2917,1.7966,-2.8443,-1.622,6.195,-0.0001,4.4738,6.6598,6.7788,5.9294,5.4913,6.5272,2.4129,-3.5862,0.5754,0.0565,-0.1309,-50.5499,-3.0464,8.1644,8.0799,-0.0001,-13.128,4.254,4.5337,1.2654,3.9568,3.244,2.0767,0.8708,-0.077,-0.9676,-1.0888,1.8182,2.9148,2.5602,6.4621,-62.3608
2038,3.3043,1.9826,-3.2906,-1.7449,6.1749,-0.0001,4.7243,6.7923,6.8736,5.9802,5.5953,6.523,2.5115,-3.9718,0.6109,0.1909,-0.4297,-0.0001,-3.4306,8.2838,8.069,-0.0001,-15.6333,4.5265,4.7135,1.2093,4.0644,3.2323,2.1877,0.7414,-0.0482,-1.032,-1.152,1.6737,2.8675,2.5036,6.3737,-0.0001
2039,3.3205,2.1734,-3.8059,-1.8776,6.1495,-0.0001,4.9706,6.9155,6.9613,6.0304,5.6991,6.5169,2.6127,-4.44,0.6518,0.3471,-0.7816,-0.0001,-3.8777,8.3808,8.0529,-0.0001,-19.1962,4.7936,4.8895,1.1405,4.1759,3.2087,2.3061,0.5988,-0.013,-1.0991,-1.2168,1.5076,2.8135,2.4385,6.296,-0.0001
2040,3.3398,2.3683,-4.4067,-2.0208,6.1191,-0.0001,5.2105,7.0292,7.0419,6.08,5.8021,6.5092,2.7163,-5.0111,0.6985,0.5261,-1.1952,-0.0001,-4.4015,8.4589,8.0293,-0.0001,-24.6469,5.0529,5.0603,1.0589,4.2911,3.1747,2.4316,0.44,0.0286,-1.1705,-1.2845,1.3212,2.7526,2.3643,6.2274,-0.0001
