year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,4.3571,-1.1233,2.152,-0.0554,0.6776,0.8202,-4.1915,2.3625,-14.3982,-4.3237,-5.821,2.9354,4.5174,-0.3969,0.4821,-0.6953,0.8264,6.4932,-1.1456,-1.0479,8.392,5.5811,1.0021,2.4865,-9.672,-2.333,-1.6553,-0.2889,-0.3693,3.9546,-6.1123,-3.9115,-5.976,54.1473,7.0235,6.7933,11.9815,26.7054
2022,4.1707,-1.1582,2.0672,-0.0588,0.5377,1.0964,-3.1423,-8.1859,-13.4643,-0.6145,-4.6021,-1.7231,2.7873,-0.1044,0.1356,-1.2074,1.57,3.9779,-0.1927,-1.1752,-3.7265,3.0411,0.4477,-2.5289,-5.1962,1.1396,-1.9948,0.9585,-0.3734,2.7472,-2.9196,-2.5413,-2.9622,4.6332,5.7531,5.5914,8.7945,11.7625
2023,3.8924,-1.1556,1.9961,-0.1466,1.2619,1.0878,-3.74,-9.7541,-13.4774,1.2013,-5.0024,-1.5045,2.5762,0.0537,-0.0774,-1.4465,1.8418,3.2481,-0.0804,-1.2023,-4.6328,2.0835,-0.2557,-3.1277,-4.2428,2.726,-1.9065,0.9324,-0.2917,2.6204,-1.2088,-1.39,-1.2002,-4.4347,5.2543,5.2603,5.1153,8.8057
2024,3.7123,-1.1644,1.9478,-0.2024,1.6863,1.1089,-4.5407,-10.7725,-15.1485,2.9456,-4.8975,-0.3946,2.0817,0.1112,-0.1504,-1.6472,2.0275,2.9092,-0.1726,-0.5777,-4.2652,1.6875,-0.6936,-3.5828,-4.4437,3.2423,-1.9563,1.2864,-0.204,2.8177,-0.5191,-0.7566,-0.5043,-4.9131,5.0572,5.097,4.2936,7.902
2025,3.4996,-1.1713,1.8998,-0.2598,2.1277,1.1428,-5.4764,-11.678,-17.9297,3.3258,-4.6069,0.5251,1.6947,0.1582,-0.2115,-1.8898,2.2388,2.6409,-0.2081,-0.2581,-4.2237,1.3943,-0.9494,-3.734,-4.7841,3.2371,-2.0177,1.5564,-0.1816,2.9821,-0.468,-0.6326,-0.4523,-3.744,4.9689,5.0265,3.8734,7.6303
2026,3.3108,-1.1745,1.8482,-0.3117,2.5003,1.1988,-6.5922,-13.1792,-22.2958,3.2934,-4.4664,1.1254,1.3756,0.2182,-0.2913,-2.1593,2.4525,2.3627,-0.1886,-0.0844,-4.7008,1.1003,-1.1387,-3.9107,-5.1176,3.2395,-2.1068,1.8077,-0.2029,3.0418,-0.5609,-0.6644,-0.5456,-2.7902,4.917,4.9835,3.6427,7.3881
2027,3.1532,-1.1734,1.7916,-0.3607,2.8206,1.2699,-7.9421,-15.5574,-29.5695,3.1244,-4.5285,1.5509,1.1016,0.2938,-0.3937,-2.4498,2.6562,2.09,-0.1455,0.0,-5.3817,0.8073,-1.3001,-4.1623,-5.4634,3.295,-2.2109,2.0386,-0.2481,3.0471,-0.6614,-0.7191,-0.6385,-2.1995,4.8814,4.9526,3.502,7.1104
2028,3.024,-1.1675,1.7303,-0.4097,3.1089,1.3478,-9.5928,-19.1985,-43.5023,2.9362,-4.7692,1.9062,0.8555,0.3813,-0.5142,-2.7646,2.8481,1.8309,-0.0973,0.0348,-6.0598,0.5187,-1.4436,-4.4919,-5.8482,3.3794,-2.3316,2.2559,-0.305,3.0334,-0.7433,-0.7593,-0.7039,-1.7956,4.8561,4.9284,3.4365,6.8233
2029,2.9162,-1.1565,1.6645,-0.461,3.3832,1.426,-11.6639,-24.924,-79.863,2.7567,-5.1509,2.2359,0.6293,0.4768,-0.649,-3.1115,3.0305,1.5831,-0.0504,0.0348,-6.6372,0.2311,-1.5736,-4.8866,-6.2796,3.469,-2.4695,2.4598,-0.3675,3.0176,-0.8117,-0.7835,-0.7477,-1.4647,4.8382,4.9092,3.4261,6.5549
2030,2.8234,-1.14,1.5943,-0.5165,3.6528,1.5005,-14.3685,-34.8502,-0.0001,2.5953,-5.6511,2.5519,0.4175,0.5779,-0.7957,-3.4992,3.2051,1.341,-0.0058,0.0074,-7.0742,-0.0609,-1.694,-5.3384,-6.7585,3.5529,-2.6258,2.6496,-0.4325,3.0063,-0.8727,-0.7965,-0.7774,-1.1675,4.8253,4.8934,3.4511,6.3173
