year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,2.4301,2.5964,-1.8612,-0.0682,1.9619,-0.4969,1.8621,6.5333,22.8708,-64.7122,-0.0001,inf,-0.3339,1.6408,-1.0054,-0.0364,0.6682,1.2091,-3.6626,-2.419,267.5747,0.4099,-0.1834,-1.493,6.9151,-36.3581,0.0997,11.0179,1.5665,7.7312,-0.8845,0.5958,-0.9261,30.6801,5.3559,3.9924,26.884,-15.2135
2022,2.2955,2.5022,-1.8551,-0.2789,7.9982,-0.6845,1.6266,15.1321,35.4009,52.3552,-0.0001,24.9432,0.1496,1.5697,-1.0141,-0.3057,2.1641,0.7587,-1.7491,-2.7891,40.0879,-0.1947,-0.6867,1.9466,6.8217,-0.9399,-2.483,-20.7471,1.2091,2.3881,0.5951,0.6131,0.6055,0.6233,4.5846,4.2131,9.4804,-9.4715
2023,2.1722,2.4832,-1.9149,-0.4283,10.757,-1.0136,2.4845,18.7443,39.7598,64.8834,-0.0001,11.4381,-0.3295,1.4099,-0.9388,-0.4806,3.347,0.5835,-1.3631,-2.3063,24.4658,-0.5058,-0.8907,2.8909,9.3047,-3.5095,-4.0691,-11.503,1.2456,2.2828,0.2689,-0.0219,0.1132,-2.0587,4.5699,4.3753,6.9857,-8.7317
2024,2.0568,2.5004,-2.0148,-0.5607,12.6705,-1.3433,3.4138,19.9731,36.7657,41.493,-0.0001,13.0554,-0.6113,1.3268,-0.9067,-0.5666,3.8208,0.5144,-1.3196,-2.1578,18.9337,-0.7028,-1.0403,3.5644,10.9881,-12.1669,-1.4764,-12.8887,1.3221,2.8981,-0.0529,-0.4338,-0.2837,-2.7567,4.467,4.3781,5.5499,-6.7996
2025,1.9868,2.5282,-2.1305,-0.6522,13.0058,-1.6244,4.1112,19.3729,31.4414,36.1028,-0.0001,15.168,-0.8887,1.2691,-0.8869,-0.5835,3.7751,0.48,-1.3971,-1.8783,15.0838,-0.8527,-1.2328,3.8592,11.4299,-17.9592,0.3506,-11.9495,1.4154,3.2,-0.0814,-0.5171,-0.37,-2.8434,4.3017,4.2382,5.0685,-6.0402
2026,1.9357,2.5619,-2.2614,-0.7276,12.7571,-1.8929,4.6444,18.3552,26.8621,31.9913,-0.0001,16.4367,-1.1304,1.2207,-0.8716,-0.578,3.5848,0.455,-1.5239,-1.5789,12.4878,-0.9927,-1.436,4.0709,11.3541,-24.4327,2.613,-11.2987,1.4955,3.3166,-0.0697,-0.5305,-0.4069,-2.5227,4.1485,4.0814,4.9561,-5.6103
2027,1.8979,2.5985,-2.4066,-0.7965,12.2937,-2.1688,5.1033,17.2577,23.3048,28.5485,-0.0001,16.8339,-1.3248,1.1783,-0.8594,-0.5676,3.3789,0.4265,-1.6779,-1.2621,10.7185,-1.1456,-1.6362,4.2416,11.0819,-33.8241,5.0626,-10.1066,1.5625,3.3042,-0.0509,-0.5279,-0.4338,-2.059,4.0177,3.9333,5.0269,-5.7664
2028,1.8702,2.6378,-2.5681,-0.8643,11.7847,-2.4671,5.524,16.2341,20.6003,25.6567,-391.5659,16.6963,-1.4662,1.1407,-0.8494,-0.5587,3.1987,0.3898,-1.8609,-0.9272,9.5366,-1.3214,-1.8326,4.3962,10.7522,-51.7459,7.5358,-8.0352,1.6198,3.2152,-0.0311,-0.5235,-0.4577,-1.5892,3.909,3.8023,5.1708,-6.655
2029,1.8504,2.6801,-2.7484,-0.9342,11.2965,-2.8004,5.9226,15.3357,18.5337,23.275,159.8682,16.2919,-1.5536,1.1067,-0.8412,-0.5528,3.0486,0.3436,-2.0825,-0.5677,8.7761,-1.5252,-2.0283,4.5459,10.4176,-0.0001,9.8291,-4.7327,1.6716,3.0867,-0.0092,-0.5191,-0.4782,-1.1589,3.8191,3.6894,5.3353,-8.4201
2030,1.8369,2.7259,-2.9511,-1.0082,10.8524,-3.1811,6.3054,14.5689,16.9358,21.317,71.7461,15.774,-1.5879,1.0749,-0.8338,-0.5491,2.9216,0.2881,-2.3527,-0.1781,8.3157,-1.7601,-2.2272,4.6967,10.0994,-0.0001,11.7861,-0.1583,1.7212,2.9428,0.0138,-0.516,-0.4968,-0.7739,3.7447,3.5926,5.4945,-11.2762
