year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,3.0013,-0.1003,0.0767,0.0958,-1.8907,0.6111,-3.7023,-14.3815,-7.9199,27.7176,-0.5051,inf,-36.5333,0.3049,-0.3164,-0.2616,0.8682,0.8145,-2.6773,3.3517,4.2506,0.9182,-0.609,-8.8445,-5.6918,5.5304,-4.5283,17.8304,0.3939,1.8168,-2.2152,-0.1227,-2.5632,51.711,5.2584,4.3839,20.1103,21.8908
2022,0.5386,0.1295,-0.1759,-0.1789,4.6323,0.175,-0.5868,-5.5931,-3.0328,9.0212,-3.6785,90.7914,-36.7182,0.166,-0.1814,-0.9405,3.4788,-0.0753,1.0039,-1.758,-0.9683,-0.5475,0.8179,-2.1269,-0.2412,3.3545,-3.3248,6.2351,0.3606,0.9467,-2.4195,-2.2661,-2.7819,4.7248,4.2903,4.1573,6.2143,11.0693
2023,0.1798,0.0959,-0.1263,-0.2848,7.1581,0.0907,0.2167,-5.8354,-3.2646,8.3996,-5.4084,37.2804,-48.6883,0.2209,-0.2486,-1.2392,4.4107,-0.3035,1.7028,-2.7193,-1.8489,-0.9859,0.8147,-0.7639,0.6435,4.058,-2.7331,3.9417,0.4194,0.7947,-0.9289,-1.4136,-1.0931,-5.4743,3.7516,3.8388,2.5462,4.7528
2024,0.0544,0.0718,-0.0944,-0.3441,8.0494,0.0849,-0.2108,-4.9269,-3.6949,9.2714,-5.8989,29.1267,-94.4148,0.2703,-0.3045,-1.3761,4.6351,-0.2674,1.5267,-2.606,-1.6207,-0.9955,0.4272,-0.4232,0.2523,3.9694,-2.5826,4.209,0.499,1.1044,-0.2007,-0.6908,-0.2564,-6.4256,3.5551,3.6899,1.6652,2.4673
2025,-0.1632,0.0853,-0.1125,-0.3992,8.6351,0.0776,-0.8996,-2.8382,-2.5404,8.8351,-5.5653,25.3766,-0.0001,0.3179,-0.3583,-1.4761,4.6841,-0.1923,1.2929,-2.4025,-1.3484,-0.9456,0.0497,-0.2011,0.0109,3.4149,-2.5906,4.7076,0.5298,1.4816,-0.1404,-0.4969,-0.1702,-5.094,3.5337,3.6801,1.4441,2.1718
2026,-0.3986,0.1216,-0.1611,-0.4509,8.9643,0.0717,-1.6145,-0.8889,-0.4172,8.0885,-5.0956,21.9259,-0.0001,0.3735,-0.4224,-1.566,4.6754,-0.1367,1.1448,-2.2509,-1.2794,-0.9318,-0.2893,-0.0848,0.0454,2.9208,-2.6569,5.108,0.5239,1.7596,-0.2602,-0.5227,-0.2966,-3.8714,3.5668,3.715,1.4045,2.5047
2027,-0.6082,0.1677,-0.2235,-0.5,9.0946,0.0687,-2.2871,0.5502,1.8747,7.4339,-4.7412,19.3454,-0.0001,0.4357,-0.4959,-1.6535,4.6418,-0.1,1.0545,-2.1547,-1.3014,-0.9563,-0.5928,-0.0483,0.2305,2.5757,-2.7334,5.3712,0.5026,1.9424,-0.3704,-0.5827,-0.417,-3.1291,3.6089,3.7531,1.4567,2.9305
2028,-0.7829,0.2169,-0.2909,-0.5481,9.1004,0.0661,-2.8922,1.5822,3.8705,6.9474,-4.5084,17.6603,-0.0001,0.4999,-0.5738,-1.7445,4.6026,-0.0766,0.9882,-2.0946,-1.3033,-1.0098,-0.8626,-0.051,0.4697,2.346,-2.8052,5.5327,0.4786,2.0611,-0.4372,-0.6193,-0.489,-2.6759,3.6478,3.7824,1.5941,3.2922
2029,-0.9304,0.267,-0.3609,-0.5972,9.0423,0.0602,-3.4286,2.4162,5.4508,6.6031,-4.3293,16.5491,-0.0001,0.563,-0.653,-1.844,4.5702,-0.0652,0.9306,-2.0566,-1.2345,-1.088,-1.1032,-0.0569,0.7214,2.1921,-2.868,5.6241,0.4569,2.1388,-0.4716,-0.6293,-0.5234,-2.3343,3.6817,3.8023,1.8011,3.5678
2030,-1.0608,0.318,-0.4332,-0.6487,8.9568,0.0485,-3.9045,3.2096,6.673,6.3673,-4.1385,15.726,-0.0001,0.6241,-0.7327,-1.9556,4.5498,-0.0669,0.8769,-2.0303,-1.0833,-1.1907,-1.3214,-0.0447,0.9738,2.0893,-2.9212,5.6689,0.4389,2.1895,-0.4877,-0.6217,-0.536,-2.0235,3.7111,3.8153,2.0538,3.769
2031,-1.1829,0.3705,-0.5092,-0.7037,8.8627,0.029,-4.3287,4.0481,7.6392,6.2145,-3.8875,15.0293,-0.0001,0.6833,-0.8132,-2.0815,4.5416,-0.083,0.8259,-2.0073,-0.8542,-1.319,-1.5245,-0.0051,1.2258,2.0222,-2.9649,5.6848,0.4247,2.2226,-0.4948,-0.6052,-0.5378,-1.7192,3.7369,3.824,2.3285,3.9115
2032,-1.3029,0.4252,-0.5901,-0.7632,8.7684,0.0006,-4.7065,4.9619,8.4356,6.1259,-3.5405,14.3895,-0.0001,0.7412,-0.8955,-2.223,4.5433,-0.1137,0.7772,-1.9807,-0.5569,-1.474,-1.7195,0.065,1.4791,1.9805,-2.9991,5.6838,0.4145,2.2451,-0.4983,-0.5856,-0.5355,-1.4176,3.7597,3.83,2.6072,4.009
2033,-1.4259,0.4828,-0.6771,-0.8275,8.6768,-0.0376,-5.0378,5.9435,9.1172,6.0869,-3.0705,13.7851,-0.0001,0.7983,-0.9805,-2.3812,4.5516,-0.1589,0.7303,-1.9445,-0.2024,-1.6571,-1.9122,0.1651,1.7351,1.9567,-3.0238,5.674,0.4081,2.2621,-0.5012,-0.5664,-0.5328,-1.1207,3.7802,3.8346,2.8776,4.0726
2034,-1.5554,0.5436,-0.7716,-0.8974,8.5882,-0.0864,-5.3168,6.9618,9.7123,6.086,-2.4587,13.2129,-0.0001,0.855,-1.0692,-2.5569,4.5635,-0.2179,0.6847,-1.894,0.1979,-1.87,-2.1078,0.2937,1.9946,1.9452,-3.0385,5.6596,0.4056,2.2771,-0.5052,-0.5495,-0.5318,-0.8311,3.7986,3.8384,3.1326,4.1108
2035,-1.6944,0.6079,-0.8746,-0.9732,8.5016,-0.1463,-5.5317,7.9738,10.231,6.1138,-1.6944,12.6749,-0.0001,0.9116,-1.1624,-2.7514,4.5763,-0.2902,0.6396,-1.8251,0.6329,-2.1149,-2.3108,0.4491,2.2576,1.9419,-3.0426,5.643,0.4071,2.2926,-0.5112,-0.536,-0.5335,-0.5506,3.8152,3.8418,3.3685,4.13
2036,-1.8456,0.6759,-0.9872,-1.0554,8.4157,-0.2179,-5.6642,8.9352,10.6747,6.1627,-0.7776,12.1732,-0.0001,0.9681,-1.2605,-2.9664,4.5882,-0.3748,0.5946,-1.7343,1.0915,-2.395,-2.5252,0.6291,2.5231,1.9441,-3.0348,5.625,0.4126,2.3097,-0.5194,-0.5261,-0.5385,-0.2809,3.8301,3.8447,3.5838,4.1353
2037,-2.0115,0.7477,-1.1105,-1.1443,8.3291,-0.3018,-5.6893,9.8074,11.0413,6.2263,0.2794,11.7081,-0.0001,1.0245,-1.3643,-3.2039,4.5976,-0.4714,0.549,-1.6186,1.5631,-2.7143,-2.7549,0.8318,2.7898,1.9499,-3.0139,5.6054,0.4222,2.3291,-0.5299,-0.5198,-0.5467,-0.0229,3.8433,3.8472,3.7787,4.1301
2038,-2.1946,0.8233,-1.2458,-1.2405,8.2408,-0.3988,-5.5751,10.563,11.3296,6.3,1.4513,11.2787,-0.0001,1.0808,-1.4743,-3.4665,4.6034,-0.5796,0.502,-1.4749,2.0376,-3.0787,-3.004,1.0553,3.0559,1.9581,-2.978,5.5841,0.436,2.3508,-0.5425,-0.5171,-0.5581,0.2223,3.8547,3.8489,3.9538,4.117
2039,-2.3976,0.9025,-1.3944,-1.3445,8.1503,-0.5097,-5.2833,11.187,11.541,6.3796,2.7007,10.8829,-0.0001,1.1366,-1.591,-3.7576,4.6051,-0.6993,0.4533,-1.3008,2.5058,-3.4955,-3.2767,1.2978,3.3193,1.9681,-2.9249,5.5607,0.454,2.3747,-0.5569,-0.5174,-0.5722,0.4545,3.8642,3.8499,4.1104,4.0978
2040,-2.6234,0.9854,-1.5578,-1.4569,8.0571,-0.6354,-4.7714,11.6761,11.6796,6.462,3.9814,10.5185,-0.0001,1.192,-1.7149,-4.0816,4.6023,-0.8306,0.4022,-1.0938,2.9595,-3.975,-3.5781,1.5572,3.5779,1.9794,-2.8521,5.5349,0.4764,2.4002,-0.5729,-0.5207,-0.589,0.6731,3.8719,3.8498,4.2499,4.0734
