year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,1.4504,-0.0841,1.7053,-0.2859,8.3369,-0.4866,21.274,16.9259,2.2749,-7.0619,-32.7365,inf,0.4514,-0.079,0.4294,0.378,-0.8652,0.905,-0.0043,-15.0411,6.5266,0.506,12.4381,7.3035,3.0488,-8.654,-5.2972,1.3455,1.4374,3.7459,-1.3493,-1.8623,-2.1948,2.29,2.8753,3.5882,-3.9677,1.8024
2022,1.7978,-0.233,2.8019,-0.2235,6.5363,-0.0142,-2.2557,3.7455,10.8001,-8.7953,-22.1433,9.5682,-4.1584,-0.1547,0.9923,-0.2343,0.4911,0.7774,-0.1722,-9.1106,2.4265,0.612,2.6222,2.8213,2.9871,-3.966,-3.411,-0.223,0.6095,2.0782,-0.5814,-1.0325,-1.1316,-0.0067,3.7133,4.0606,0.325,2.505
2023,1.8351,-0.2694,3.1635,-0.2495,6.7657,-0.012,-4.9186,5.2248,8.6115,-2.9407,-21.5803,5.6292,-4.1823,-0.1588,0.9869,-0.3714,0.7781,0.8178,-0.2872,-6.5045,1.2417,0.5419,-0.0621,2.528,2.257,-2.3282,-3.2237,0.3193,0.5678,1.6909,-0.0815,-0.4747,-0.533,0.1999,3.701,3.8686,2.0098,1.8972
2024,1.8128,-0.2621,2.9769,-0.3028,7.6677,-0.0938,-4.6187,7.1576,8.7271,-0.2209,-20.6823,13.851,-4.4514,-0.1641,0.9982,-0.4704,0.9739,0.8011,-0.3521,-5.742,1.2725,0.3933,-0.8322,2.4567,2.2154,-1.8734,-3.041,0.4655,0.5708,1.651,-0.1844,-0.474,-0.6082,1.0736,3.7666,3.8474,2.9412,2.1166
2025,1.7786,-0.2407,2.6531,-0.3642,8.5446,-0.1906,-3.6324,8.6726,9.3914,2.4019,-19.9444,19.2171,-4.6905,-0.1548,0.925,-0.5789,1.1804,0.7406,-0.3582,-5.5054,1.3494,0.1779,-1.2478,2.465,2.383,-1.4969,-2.8989,0.52,0.5812,1.6112,-0.2522,-0.507,-0.656,1.1827,3.7958,3.838,3.3632,2.2521
2026,1.7428,-0.2124,2.2796,-0.4291,9.24,-0.2905,-2.5362,9.8037,10.1683,5.0796,-18.9482,21.5705,-4.9436,-0.1354,0.796,-0.6974,1.3968,0.6569,-0.3569,-5.1029,1.4617,-0.0677,-1.6285,2.4765,2.5944,-1.1073,-2.7753,0.6421,0.5951,1.5753,-0.2578,-0.5049,-0.6424,1.0291,3.8054,3.829,3.5636,2.2654
2027,1.7053,-0.1786,1.8737,-0.498,9.7719,-0.3953,-1.4011,10.7051,10.9071,7.4727,-16.9885,22.1891,-5.2213,-0.1092,0.6315,-0.8242,1.6167,0.561,-0.3641,-4.398,1.6322,-0.3303,-2.0284,2.4993,2.8052,-0.7419,-2.6595,0.8464,0.6109,1.5567,-0.2465,-0.4893,-0.6145,0.8888,3.8092,3.8233,3.6654,2.2261
2028,1.6668,-0.1393,1.4368,-0.5713,10.1581,-0.5073,-0.2064,11.4174,11.5443,9.3858,-13.302,21.8658,-5.5305,-0.0782,0.4432,-0.9583,1.8348,0.4569,-0.3804,-3.3758,1.8504,-0.609,-2.4595,2.5376,3.0101,-0.4152,-2.5469,1.1222,0.6274,1.5549,-0.2394,-0.4765,-0.5953,0.8151,3.8131,3.822,3.7236,2.1743
2029,1.6283,-0.0947,0.9674,-0.6492,10.4156,-0.6286,1.0775,11.9528,12.0459,10.7735,-7.3689,21.0717,-5.8769,-0.0437,0.2374,-1.0992,2.0469,0.3463,-0.4039,-2.0704,2.1045,-0.9061,-2.9284,2.5937,3.2104,-0.1265,-2.4331,1.4489,0.6442,1.566,-0.2409,-0.4712,-0.5889,0.7923,3.8183,3.8239,3.7625,2.1253
2030,1.5906,-0.0448,0.4626,-0.7318,10.5621,-0.7612,2.4684,12.3258,12.3978,11.6903,0.5188,20.082,-6.2683,-0.0064,0.0182,-1.2464,2.2496,0.2303,-0.4339,-0.536,2.3869,-1.2249,-3.4418,2.6682,3.4062,0.1291,-2.3145,1.8062,0.6617,1.5862,-0.2491,-0.4721,-0.5922,0.8006,3.8243,3.8274,3.7943,2.0824
