year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,-19.6849,-0.9393,3.8845,-0.0865,0.3698,4.3027,-7.6553,-6.2893,-5.8644,-2.8115,-4.058,-0.336,37.2011,0.3677,-1.9273,-2.9345,2.5793,-3.2197,-1.056,15.505,78.9541,2.1224,-0.8178,-3.1865,-3.4356,-1.3469,-2.1939,9.9355,-0.3717,3.63,-3.7204,-2.2538,-3.477,15.24,4.7313,5.1459,0.1262,1.3536
2022,-14.9447,-0.843,3.3156,-0.1084,0.4335,4.4454,-8.9743,-8.2668,-4.7303,-3.4836,-3.9477,-1.5652,7.1708,0.3894,-1.9578,-3.5289,3.0042,-8.278,-0.1259,7.4914,3.8672,-0.7881,-0.6225,-4.559,-1.5748,-0.2092,-2.1713,7.5909,-0.8514,2.0951,-3.3175,-2.6328,-3.1882,3.8463,4.8772,5.2415,0.6786,3.0812
2023,-18.6599,-0.8549,3.2356,-0.1856,0.7582,4.3765,-10.1201,-9.7163,-4.9605,-3.3869,-4.7806,-0.9945,4.0285,0.4693,-2.4103,-4.0319,3.2268,-10.8552,0.162,4.1075,-7.0046,-2.3005,-0.9153,-4.7445,-1.2874,0.6792,-2.2811,6.5368,-0.8963,1.7631,-1.8988,-1.6395,-1.6292,-1.7961,4.58,4.9522,0.0991,2.8057
2024,-23.5782,-0.8897,3.2353,-0.2551,1.0236,4.3128,-11.3453,-11.3526,-5.5956,-3.2812,-5.4999,-0.1333,-0.4246,0.5162,-2.7267,-4.5127,3.3595,-12.62,0.2385,2.6854,-6.1366,-2.7087,-0.7227,-5.1164,-1.4501,1.0295,-2.5784,6.3179,-0.8791,1.7439,-1.2488,-0.9633,-0.8816,-1.8832,4.4284,4.751,0.3534,2.7961
2025,-34.3524,-0.9204,3.2123,-0.3375,1.3403,4.2447,-12.9455,-13.2519,-6.3127,-3.3384,-6.0613,0.543,-4.3604,0.5569,-3.039,-5.1149,3.5183,-15.0649,0.3146,1.24,-3.4871,-3.0226,-0.4048,-5.4044,-1.628,1.1655,-2.8864,6.1117,-0.8972,1.7949,-1.119,-0.7012,-0.6804,-0.951,4.3532,4.6345,0.6449,3.0189
2026,-58.7911,-0.9455,3.1669,-0.4227,1.6551,4.194,-15.1899,-15.7831,-7.1166,-3.4219,-6.6391,0.9587,-8.0157,0.6045,-3.4214,-5.8456,3.686,-19.0167,0.4162,-0.1407,-2.3112,-3.4567,-0.133,-5.7411,-1.7894,1.3019,-3.219,5.9467,-0.9435,1.8376,-1.1188,-0.5931,-0.6236,-0.2727,4.3039,4.5551,0.8618,3.2755
2027,-0.0001,-0.9664,3.1075,-0.5093,1.9567,4.1641,-18.4757,-19.4014,-8.0534,-3.5098,-7.3037,1.2224,-11.9222,0.6619,-3.9032,-6.7207,3.8486,-25.4935,0.5314,-1.4734,-2.4256,-3.97,0.0613,-6.178,-1.9536,1.4572,-3.5744,5.8168,-1.0086,1.8786,-1.1422,-0.5348,-0.594,0.1028,4.2685,4.4987,0.9986,3.5114
2028,-0.0001,-0.9851,3.0417,-0.5977,2.243,4.1527,-23.5637,-24.9876,-9.1848,-3.6037,-8.0996,1.4151,-16.764,0.7283,-4.5003,-7.778,4.0011,-37.1966,0.6508,-2.8006,-3.3553,-4.5196,0.188,-6.7503,-2.1352,1.6182,-3.9635,5.7226,-1.087,1.9271,-1.1713,-0.4946,-0.57,0.3165,4.2441,4.4593,1.0814,3.7189
2029,-0.0001,-1.0027,2.9741,-0.6888,2.5145,4.1568,-32.2476,-34.6735,-10.592,-3.7137,-9.0742,1.5747,-23.6941,0.8026,-5.2323,-9.0815,4.1428,-64.1695,0.771,-4.1955,-4.8647,-5.0892,0.2628,-7.4903,-2.3388,1.7732,-4.3995,5.6573,-1.1775,1.986,-1.2091,-0.4662,-0.5528,0.4574,4.2297,4.4339,1.1284,3.9028
2030,-0.0001,-1.0201,2.9078,-0.7833,2.7715,4.1738,-50.015,-55.4012,-12.3994,-3.8499,-10.2964,1.7154,-35.4462,0.8836,-6.1289,-10.7313,4.2739,-0.0001,0.8911,-5.7488,-6.9227,-5.6773,0.2997,-8.4429,-2.5659,1.9173,-4.8974,5.6127,-1.2804,2.0549,-1.2583,-0.4478,-0.5434,0.5625,4.2241,4.42,1.1513,4.0683
