year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,-1.6863,-1.006,4.3412,-0.4671,2.5006,1.6241,-1.8312,-5.1045,-9.6823,-13.3414,-4.3361,0.4336,-5.4672,-0.0229,0.0479,-2.894,2.5682,2.7004,0.1379,-7.3765,13.8649,0.1198,1.8447,-0.6041,-0.5102,-8.2892,-2.8731,2.9676,0.4633,3.306,-7.4023,-5.5789,-7.6627,67.0615,4.047,3.9092,7.2158,4.0053
2022,1.6653,-0.9386,3.8898,-0.3586,1.9974,2.023,-3.0186,-7.9815,-8.4745,-6.6425,-4.6346,0.426,-4.5997,0.0993,-0.1867,-3.156,2.6945,-1.4296,0.8045,-6.8851,-20.1788,-2.2291,0.7745,-2.6025,0.6075,0.0845,-2.5344,2.5574,0.1232,0.9267,-2.9283,-2.8569,-3.249,4.5861,3.9218,3.8123,6.4242,4.2238
2023,2.4093,-0.9309,3.7093,-0.3892,2.1094,2.2042,-4.3258,-8.4398,-9.9023,-3.2178,-5.2851,1.7698,-2.8967,0.2353,-0.4632,-3.5425,2.8597,-2.1643,0.7298,-6.0364,-23.5813,-2.565,-0.4629,-2.5032,-0.5969,3.0517,-1.9732,2.5286,0.0866,0.8975,-0.7883,-1.021,-0.9116,-2.9973,3.7972,3.7362,5.167,3.1927
2024,2.6314,-0.9282,3.5417,-0.4565,2.4033,2.2786,-5.2503,-8.8909,-11.4465,-1.5607,-5.3555,2.7663,-2.201,0.3428,-0.6798,-4.0021,3.0268,-2.4169,0.5639,-4.68,-18.0501,-2.6276,-1.0251,-2.6524,-1.6076,3.5741,-1.8677,2.9408,0.0525,1.316,-0.3976,-0.4371,-0.4152,-0.8324,3.8692,3.8058,5.2675,2.9123
2025,2.5828,-0.912,3.331,-0.5484,2.8105,2.3028,-6.1265,-9.446,-12.6264,-0.9647,-5.2423,3.2551,-1.8379,0.4537,-0.9082,-4.5702,3.2188,-2.8268,0.4835,-3.936,-11.4611,-2.9128,-1.3783,-2.8191,-2.0865,3.5222,-1.9151,3.2798,-0.036,1.7076,-0.5953,-0.4561,-0.5529,1.3137,3.9919,3.9369,5.1877,3.0172
2026,2.4698,-0.8877,3.1091,-0.6477,3.2146,2.3117,-7.0497,-10.3075,-13.7304,-0.617,-5.2674,3.5022,-1.6832,0.5712,-1.1584,-5.2195,3.3986,-3.3863,0.4602,-3.5457,-6.2129,-3.4002,-1.6663,-3.0598,-2.2653,3.4827,-2.049,3.551,-0.1399,2.0082,-0.8207,-0.5822,-0.7315,2.0949,4.103,4.0623,4.9782,3.1969
2027,2.3471,-0.8602,2.8949,-0.7508,3.589,2.3144,-8.0653,-11.5328,-15.0382,-0.3234,-5.4558,3.7059,-1.7096,0.6895,-1.4222,-5.9563,3.5556,-4.018,0.4597,-3.3925,-1.144,-4.0092,-1.9164,-3.3537,-2.3116,3.4911,-2.2271,3.7588,-0.239,2.251,-0.9819,-0.6789,-0.8433,2.1877,4.1919,4.1653,4.7596,3.377
2028,2.2252,-0.8316,2.6948,-0.8576,3.9283,2.3133,-9.2231,-13.1977,-16.8055,-0.0347,-5.7749,3.9203,-1.8907,0.8043,-1.6937,-6.8098,3.6926,-4.7078,0.4684,-3.4151,4.2788,-4.7138,-2.1357,-3.6781,-2.3054,3.5264,-2.4359,3.9155,-0.3277,2.4551,-1.0921,-0.7313,-0.8989,2.1054,4.2599,4.2444,4.5906,3.5458
2029,2.1022,-0.8022,2.5085,-0.9686,4.2325,2.3099,-10.5974,-15.4587,-19.3422,0.2552,-6.1985,4.1382,-2.1984,0.914,-1.9731,-7.8252,3.8143,-5.4842,0.4831,-3.5883,9.4832,-5.5272,-2.3314,-4.0192,-2.2779,3.5774,-2.67,4.0309,-0.407,2.6284,-1.1736,-0.7523,-0.9214,2.0288,4.3106,4.303,4.4749,3.7032
2030,1.9755,-0.7717,2.3333,-1.0845,4.5028,2.3056,-12.3007,-18.6298,-23.1724,0.5467,-6.7209,4.342,-2.611,1.019,-2.264,-9.0657,3.9243,-6.395,0.5037,-3.8967,13.6086,-6.4836,-2.5116,-4.3745,-2.2413,3.6403,-2.9284,4.1145,-0.4793,2.7748,-1.2399,-0.7543,-0.926,1.9909,4.3473,4.3451,4.3989,3.8487
