year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,2.3859,-0.4888,0.7269,-0.674,9.2986,-0.7252,5.5366,8.4844,-11.6166,-0.7778,-2.896,8.6351,2.9606,-0.8971,1.0369,-1.9303,3.7826,-0.9265,0.0019,-3.4903,16.9678,-1.3159,4.7122,6.9922,-3.5039,-1.5712,0.4016,-3.294,0.1565,1.2094,-5.4377,-4.5377,-4.7309,-0.9014,5.2169,5.8623,-4.8973,4.2088
2022,2.4093,-0.3118,0.469,-0.5097,6.334,-0.12,2.6158,-1.5644,-5.3352,0.5329,2.17,0.794,2.6066,-0.4199,0.5128,-1.889,3.627,-1.2201,0.2724,-0.3496,3.4085,-1.5433,1.8565,0.6292,-0.8142,0.1602,-0.0508,1.6183,0.1884,0.4256,-2.0032,-2.1161,-1.6997,-9.6439,4.4069,4.6655,-0.1579,1.5689
2023,2.3966,-0.1363,0.2083,-0.5243,6.0841,-0.0145,0.7826,-1.3572,-2.0952,1.4606,1.3262,4.0034,2.5091,-0.1804,0.2147,-1.7967,3.2618,-1.2396,0.2078,0.6189,0.6957,-1.6797,0.5,-0.288,-0.5059,0.4533,-0.2296,3.0982,0.3001,0.6822,-0.7414,-1.1721,-0.5793,-12.7421,4.0856,4.3712,-1.1327,2.0368
2024,2.3881,-0.0339,0.0517,-0.5512,5.9492,0.0511,-0.1699,-0.7559,-1.1115,1.5146,0.7877,7.3079,2.4238,-0.076,0.0872,-1.8215,3.1341,-1.1928,0.1627,1.1292,-0.447,-1.7639,-0.1335,-0.5889,-0.6045,0.0761,-0.4641,4.3995,0.3505,0.949,-0.5467,-0.9886,-0.5036,-11.7568,4.0027,4.2602,-0.9575,2.555
2025,2.3808,0.0299,-0.0475,-0.5933,5.9988,0.0942,-0.7233,-0.1878,-0.9285,0.6761,0.5489,9.197,2.3654,-0.0069,0.0021,-1.9469,3.1833,-1.1596,0.1841,1.1086,-1.0847,-1.9156,-0.4891,-0.5617,-0.6606,-0.3963,-0.5691,5.0703,0.3329,1.1063,-0.6823,-1.0892,-0.7033,-10.7613,3.9814,4.2078,-0.6025,2.8676
2026,2.3769,0.076,-0.1197,-0.6374,6.0418,0.1268,-1.0743,0.1759,-1.1067,-0.0018,0.2302,10.0034,2.3247,0.052,-0.0712,-2.1126,3.2808,-1.1527,0.2127,0.9916,-1.3752,-2.129,-0.735,-0.4736,-0.7047,-0.6936,-0.6307,5.4624,0.2935,1.1675,-0.7825,-1.1624,-0.8314,-10.3963,3.9732,4.1648,-0.0913,2.9727
2027,2.3753,0.1171,-0.1846,-0.6849,6.0838,0.1429,-1.3011,0.4973,-1.3357,-0.4158,-0.0778,10.2826,2.2961,0.1064,-0.1398,-2.2985,3.3829,-1.1679,0.2223,0.8885,-1.2689,-2.39,-0.9263,-0.3608,-0.7429,-0.8652,-0.6603,5.6793,0.2514,1.1927,-0.8332,-1.1828,-0.8861,-10.3392,3.973,4.1307,0.4879,3.0046
2028,2.375,0.1594,-0.252,-0.7377,6.1363,0.1379,-1.4322,0.8788,-1.4353,-0.5705,-0.2845,10.3144,2.2761,0.1578,-0.2051,-2.5008,3.4788,-1.2094,0.2113,0.8368,-0.8287,-2.7032,-1.0876,-0.2308,-0.7637,-0.9587,-0.6689,5.793,0.2145,1.2088,-0.8574,-1.1721,-0.9016,-10.3927,3.9792,4.1057,1.0851,3.028
2029,2.3754,0.2061,-0.327,-0.7973,6.2044,0.1097,-1.4818,1.3665,-1.3017,-0.5009,-0.3397,10.2246,2.2625,0.207,-0.2686,-2.7212,3.5672,-1.2822,0.1853,0.842,-0.1505,-3.0789,-1.2343,-0.0837,-0.7538,-1.0031,-0.6595,5.843,0.1852,1.226,-0.8721,-1.1508,-0.9016,-10.5341,3.9897,4.0887,1.6591,3.062
2030,2.3759,0.2584,-0.4119,-0.8644,6.2849,0.0585,-1.4568,1.9684,-0.8857,-0.237,-0.2287,10.0746,2.2537,0.255,-0.3316,-2.962,3.6475,-1.3893,0.1494,0.9024,0.6733,-3.5287,-1.3766,0.0797,-0.7063,-1.0149,-0.6329,5.8535,0.1644,1.2478,-0.8846,-1.1298,-0.8976,-10.8037,4.0022,4.0776,2.1867,3.1053
2031,2.3765,0.317,-0.5082,-0.9394,6.372,-0.0151,-1.3597,2.6713,-0.174,0.1941,0.0452,9.8972,2.2486,0.3026,-0.395,-3.2258,3.7195,-1.5312,0.107,1.0139,1.5657,-4.0655,-1.5213,0.2579,-0.619,-1.0051,-0.5892,5.84,0.1521,1.2751,-0.8979,-1.1139,-0.8947,-11.2482,4.0151,4.0705,2.6586,3.1512
2032,2.377,0.3819,-0.6168,-1.0224,6.4593,-0.1101,-1.1907,3.4513,0.8191,0.7658,0.4696,9.7104,2.2461,0.3502,-0.4598,-3.5156,3.7827,-1.7076,0.06,1.1717,2.4665,-4.7061,-1.6731,0.4497,-0.492,-0.9815,-0.5284,5.8116,0.1483,1.3079,-0.9134,-1.1053,-0.8956,-11.9137,4.0271,4.0656,3.0747,3.1938
2033,2.3774,0.453,-0.7386,-1.1135,6.5417,-0.2263,-0.9488,4.2784,2.0538,1.4506,1.0266,9.5234,2.2456,0.398,-0.5265,-3.8352,3.8367,-1.9186,0.009,1.3708,3.3312,-5.4737,-1.8356,0.6539,-0.3267,-0.9496,-0.4504,5.7739,0.1528,1.3456,-0.9317,-1.1046,-0.9016,-12.8572,4.0377,4.0617,3.4393,3.2292
2034,2.3776,0.5304,-0.8746,-1.213,6.6151,-0.3634,-0.6325,5.1211,3.467,2.2196,1.6941,9.3406,2.2465,0.4462,-0.5954,-4.1892,3.8815,-2.1646,-0.0456,1.6063,4.1299,-6.4018,-2.0115,0.8698,-0.1246,-0.9133,-0.3551,5.7302,0.1652,1.3869,-0.9531,-1.1117,-0.913,-14.1651,4.0463,4.058,3.7585,3.255
2035,2.3777,0.6139,-1.0261,-1.3212,6.6772,-0.5221,-0.2413,5.9492,4.977,3.0428,2.4463,9.1639,2.2484,0.4948,-0.6668,-4.5836,3.9172,-2.4476,-0.1043,1.8735,4.845,-7.5403,-2.2036,1.0967,0.1124,-0.875,-0.2423,5.6824,0.1854,1.4309,-0.9774,-1.1262,-0.93,-15.9799,4.0529,4.0537,4.0387,3.2702
2036,2.3778,0.7034,-1.1945,-1.4387,6.7264,-0.7037,0.2242,6.7364,6.4945,3.8902,3.2555,8.9939,2.2511,0.5436,-0.7408,-5.026,3.944,-2.7706,-0.1675,2.1677,5.469,-8.9646,-2.4147,1.3339,0.3823,-0.8365,-0.1117,5.6318,0.213,1.4765,-1.0045,-1.1477,-0.9524,-18.5529,4.0573,4.0486,4.2855,3.2745
2037,2.3778,0.7987,-1.382,-1.5661,6.7623,-0.9098,0.7611,7.4624,7.9344,4.7332,4.0927,8.8309,2.2543,0.5924,-0.8175,-5.5261,3.9624,-3.1384,-0.236,2.4843,6.0019,-10.7944,-2.6479,1.581,0.6827,-0.7988,0.0371,5.5792,0.2481,1.5225,-1.0338,-1.1757,-0.9798,-22.3627,4.0596,4.0423,4.5038,3.2681
2038,2.3777,0.8998,-1.5908,-1.7042,6.7852,-1.1432,1.3637,8.113,9.2284,5.5463,4.9301,8.6748,2.258,0.6411,-0.897,-6.0968,3.9728,-3.5579,-0.3108,2.8189,6.4483,-13.229,-2.9071,1.8373,1.0106,-0.763,0.2043,5.525,0.2907,1.5682,-1.0652,-1.2098,-1.0121,-28.4351,4.0596,4.0346,4.6978,3.2514
2039,2.3776,1.0064,-1.8238,-1.854,6.7957,-1.4074,2.0236,8.6802,10.3318,6.3083,5.7422,8.5253,2.262,0.6893,-0.9793,-6.7551,3.9756,-4.0384,-0.3927,3.1671,6.8158,-16.6266,-3.1968,2.1019,1.3627,-0.7296,0.3904,5.4697,0.3407,1.6126,-1.0982,-1.2498,-1.049,-39.4171,4.0576,4.0254,4.8708,3.2247
2040,2.3776,1.1185,-2.0848,-2.017,6.7947,-1.7069,2.7292,9.1616,11.2248,7.0035,6.5078,8.3825,2.2663,0.7369,-1.0645,-7.5239,3.9712,-4.5926,-0.4831,3.5246,7.113,-21.6989,-3.5226,2.3739,1.7353,-0.6992,0.5956,5.4138,0.3982,1.6552,-1.1325,-1.2955,-1.0904,-64.8289,4.0536,4.0148,5.0254,3.1884
