year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,-7.4322,-0.5384,2.0921,-0.4561,3.702,0.4852,-1.1202,-0.7944,-1.1107,-3.2449,-2.8885,7.3162,1.5398,-0.4161,0.9128,-2.8825,3.9615,4.6662,-2.0598,14.2239,72.2329,-3.391,0.0759,-1.7815,1.0626,-4.9963,-2.8303,6.1277,0.0825,6.0213,-10.2723,-8.1773,-10.1434,52.6774,5.9828,5.7367,12.535,15.904
2022,-3.629,-0.5618,2.2252,-0.3498,2.4896,1.4529,-2.179,-4.3135,-1.1882,-1.3043,-2.8665,0.9776,-4.1285,-0.2911,0.624,-2.7801,3.6974,-6.6672,-0.1282,1.5676,8.9428,-6.6684,-1.2603,-2.7778,2.7587,1.0542,-1.5049,2.9343,-0.0229,1.2551,-3.547,-3.7612,-3.4064,-10.277,4.2871,4.2153,6.0922,7.0113
2023,-3.3666,-0.6437,2.5406,-0.4235,2.8557,1.3963,-2.432,-4.2084,-1.8036,0.0914,-3.1238,1.091,-3.2807,-0.2476,0.5145,-2.9697,3.7078,-10.8397,0.0427,2.2519,4.8391,-8.5923,-2.2301,-2.3364,1.6477,2.8541,-1.0197,2.8371,0.3513,0.9637,-0.2321,-0.8515,0.004,-17.4872,3.5968,3.5614,4.4591,3.1146
2024,-3.8852,-0.6929,2.6584,-0.5229,3.4055,1.2484,-2.5331,-3.4632,-2.0511,0.6186,-2.8456,1.7845,-3.7917,-0.2497,0.516,-3.2129,3.7429,-14.0112,-0.0349,3.9128,5.2139,-9.8219,-2.5148,-1.9092,0.6949,2.7351,-0.9091,3.2783,0.5704,1.4037,0.2844,-0.0239,0.4972,-12.2849,3.4268,3.3754,4.6827,2.3046
2025,-4.8207,-0.7084,2.6323,-0.63,3.9598,1.1065,-2.6445,-2.6734,-1.9431,0.706,-2.4869,2.1684,-4.2655,-0.2303,0.4731,-3.5226,3.8222,-18.5521,-0.0267,4.5132,4.8697,-11.6718,-2.6299,-1.4573,0.2633,2.3465,-0.9204,3.6063,0.6249,1.7622,-0.0692,-0.1308,0.0861,-5.9821,3.419,3.3645,4.7402,2.4601
2026,-5.6825,-0.7058,2.5389,-0.7296,4.3938,1.0026,-2.7897,-2.108,-1.7083,0.7528,-2.217,2.3518,-4.6428,-0.1827,0.3721,-3.8624,3.8921,-25.6829,0.0339,4.6179,4.0443,-14.4184,-2.7541,-1.1724,0.1091,2.1338,-0.964,3.8327,0.6008,1.9833,-0.436,-0.3901,-0.3264,-2.2229,3.4533,3.4036,4.644,2.77
2027,-6.38,-0.6947,2.4202,-0.8222,4.714,0.931,-2.9544,-1.7418,-1.4777,0.8504,-2.037,2.5037,-5.0114,-0.1166,0.2339,-4.2256,3.94,-38.0662,0.0989,4.5502,3.3174,-18.3245,-2.9071,-1.0375,0.0501,2.0718,-1.0113,3.9871,0.5496,2.1317,-0.675,-0.5828,-0.5873,-0.4527,3.4978,3.4539,4.538,3.048
2028,-6.9587,-0.6791,2.2933,-0.9114,4.9517,0.8797,-3.1273,-1.5012,-1.2867,0.9977,-1.9102,2.6817,-5.4284,-0.0408,0.0775,-4.6251,3.9742,-66.2984,0.1508,4.4394,2.86,-24.1948,-3.0807,-0.9975,0.0153,2.093,-1.0573,4.0944,0.4919,2.246,-0.8203,-0.6958,-0.7344,0.4375,3.545,3.505,4.4849,3.2801
2029,-7.4954,-0.66,2.1631,-1.0007,5.1339,0.8399,-3.3066,-1.3284,-1.1288,1.1758,-1.8083,2.8827,-5.9156,0.0398,-0.088,-5.079,4.0038,-0.0001,0.1889,4.324,2.6447,-34.1846,-3.2724,-1.0072,-0.0118,2.1572,-1.1016,4.1687,0.4339,2.3406,-0.9158,-0.7573,-0.8173,0.9878,3.5926,3.5546,4.4773,3.4793
2030,-8.0589,-0.6374,2.0302,-1.0922,5.2772,0.8061,-3.4955,-1.1891,-0.9896,1.3704,-1.7163,3.0903,-6.4899,0.1233,-0.2599,-5.6055,4.0337,-0.0001,0.2169,4.2174,2.6011,-55.392,-3.4857,-1.0409,-0.0322,2.2446,-1.1449,4.22,0.3773,2.4208,-0.986,-0.7902,-0.8658,1.3732,3.6388,3.6018,4.492,3.6533
2031,-8.7093,-0.611,1.8943,-1.1877,5.3915,0.7754,-3.6988,-1.0635,-0.8566,1.5719,-1.6273,3.2915,-7.1759,0.2092,-0.4384,-6.2249,4.065,-0.0001,0.2381,4.1255,2.6684,-0.0001,-3.7264,-1.0856,-0.0443,2.344,-1.188,4.2554,0.3227,2.4897,-1.0437,-0.808,-0.8957,1.6476,3.6826,3.6464,4.5107,3.8051
2032,-9.5055,-0.5805,1.7545,-1.2882,5.483,0.7463,-3.9212,-0.9398,-0.7215,1.7739,-1.5386,3.4796,-8.0103,0.2975,-0.6248,-6.9619,4.0973,-0.0001,0.2551,4.0506,2.8033,-0.0001,-4.0015,-1.1344,-0.0473,2.4478,-1.2316,4.2805,0.2705,2.5501,-1.0951,-0.8185,-0.9158,1.8383,3.7233,3.688,4.524,3.9364
2033,-10.5158,-0.5457,1.6104,-1.3948,5.5557,0.7176,-4.1673,-0.8109,-0.5794,1.9716,-1.449,3.6519,-9.0458,0.3882,-0.8209,-7.8501,4.1297,-0.0001,0.2694,3.9925,2.9769,-0.0001,-4.3184,-1.1837,-0.0409,2.5506,-1.2765,4.2989,0.2206,2.6043,-1.1442,-0.8261,-0.9311,1.9669,3.7608,3.7267,4.5283,4.0486
2034,-11.832,-0.5062,1.4615,-1.5083,5.6126,0.6889,-4.4415,-0.6724,-0.427,2.1617,-1.3582,3.8076,-10.3599,0.4812,-1.0286,-8.9374,4.1613,-0.0001,0.282,3.95,3.17,-0.0001,-4.6851,-1.2312,-0.0254,2.6487,-1.323,4.3128,0.1731,2.6539,-1.1934,-0.8334,-0.945,2.0518,3.795,3.7624,4.524,4.1432
2035,-13.592,-0.4621,1.3074,-1.6298,5.6558,0.6595,-4.7483,-0.5215,-0.2628,2.3418,-1.2661,3.9472,-12.0723,0.5765,-1.2499,-10.2954,4.1912,-0.0001,0.2935,3.9209,3.3704,-0.0001,-5.1113,-1.2751,-0.001,2.7397,-1.3716,4.3238,0.128,2.7003,-1.2444,-0.8419,-0.9593,2.1072,3.8261,3.7951,4.5127,4.2218
2036,-16.0237,-0.4132,1.1477,-1.7601,5.6872,0.6291,-5.0927,-0.3563,-0.086,2.5104,-1.1729,4.0716,-14.3799,0.6739,-1.4872,-12.0357,4.2187,-0.0001,0.3044,3.9033,3.5706,-0.0001,-5.6093,-1.3141,0.0322,2.8221,-1.4228,4.3324,0.085,2.7442,-1.2982,-0.8524,-0.9753,2.1436,3.8542,3.825,4.4966,4.2862
2037,-19.5411,-0.3595,0.9819,-1.9006,5.7083,0.5971,-5.4806,-0.1756,0.1035,2.667,-1.0785,4.1818,-17.6328,0.7732,-1.7429,-14.3427,4.2436,-0.0001,0.3148,3.895,3.7661,-0.0001,-6.195,-1.3469,0.0742,2.8955,-1.4767,4.3391,0.0442,2.7862,-1.3554,-0.8653,-0.9935,2.1684,3.8796,3.8522,4.4777,4.3382
2038,-24.9922,-0.3008,0.8094,-2.0523,5.7206,0.5633,-5.919,0.0214,0.3057,2.8114,-0.9829,4.2791,-22.5228,0.8741,-2.0201,-17.544,4.2655,-0.0001,0.3248,3.8947,3.9544,-0.0001,-6.8899,-1.372,0.1248,2.9599,-1.5336,4.344,0.0056,2.8265,-1.4166,-0.8806,-1.0142,2.1866,3.9024,3.8768,4.4579,4.3794
2039,-34.4325,-0.2372,0.6297,-2.2169,5.7252,0.527,-6.4169,0.2352,0.5201,2.9439,-0.886,4.3645,-30.639,0.9763,-2.3223,-22.2813,4.2844,-0.0001,0.3345,3.9012,4.1342,-0.0001,-7.7238,-1.3881,0.1842,3.0156,-1.5938,4.3472,-0.0309,2.8653,-1.482,-0.8984,-1.0377,2.2015,3.9228,3.8989,4.4384,4.4111
2040,-54.4701,-0.1686,0.4417,-2.3961,5.7232,0.488,-6.9862,0.4661,0.746,3.0652,-0.7874,4.4392,-46.6234,1.0794,-2.6538,-30.0066,4.3002,-0.0001,0.3439,3.9134,4.3048,-0.0001,-8.7397,-1.3938,0.2524,3.063,-1.6573,4.3488,-0.0653,2.9028,-1.5519,-0.9186,-1.0639,2.2151,3.9409,3.9186,4.4201,4.4347
