year,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2021,1.4246,-0.7126,2.4092,-0.0401,0.5654,1.6446,-3.1308,-7.6791,0.6456,3.1237,1.1596,-9.5434,-1.0262,0.0899,-0.2263,-0.3439,0.5161,3.5656,-1.3227,17.2298,-47.5311,5.1176,-2.3882,-6.3529,0.018,2.5886,-2.833,2.139,0.8935,2.4026,-1.3606,0.5095,-1.4735,20.9604,3.4825,3.078,6.9789,5.8406
2022,1.3907,-0.5264,1.7925,-0.2645,3.4687,1.0917,-2.3509,-5.7534,1.3972,0.6123,-1.9883,-4.0244,-0.4816,0.0757,-0.2365,-1.0175,1.5043,0.0677,0.0167,4.3447,-89.5842,0.2742,-0.2989,-3.6564,2.1787,1.947,-2.5329,0.5818,0.6876,1.6233,-1.9796,-1.5708,-2.2897,4.4477,3.6861,3.8068,2.6565,6.7417
2023,1.5232,-0.5542,1.8306,-0.3177,4.0198,1.2555,-2.6131,-6.3946,-0.1105,0.5296,-3.0849,-1.0876,-0.3892,0.1335,-0.4015,-1.5001,2.177,-1.0903,0.4303,0.5956,-0.0001,-1.0865,-0.1554,-3.0239,2.0118,2.5791,-2.0553,0.5889,0.6172,1.3916,-0.8143,-1.0151,-1.0312,-0.9,3.415,3.6491,1.4325,4.5418
2024,1.6399,-0.603,1.9449,-0.3454,4.1719,1.4711,-3.1379,-6.9605,-1.6717,0.596,-3.8801,0.781,-0.3478,0.1937,-0.5747,-1.8585,2.6021,-1.4274,0.5253,-0.7727,-0.0001,-1.3787,-0.2631,-2.7025,1.2533,2.7662,-1.9297,1.1278,0.5691,1.3934,-0.2417,-0.4981,-0.3772,-1.4482,3.2872,3.5173,1.3,3.2096
2025,1.7096,-0.633,1.9907,-0.3777,4.37,1.6548,-3.7975,-7.4944,-2.7633,0.3988,-4.3545,1.6803,-0.3102,0.2568,-0.7601,-2.1912,2.9345,-1.6423,0.5535,-1.5217,-0.0001,-1.4712,-0.3986,-2.5243,0.6327,2.6999,-1.9412,1.7112,0.478,1.4927,-0.1931,-0.3407,-0.2817,-0.8135,3.3029,3.519,1.3994,2.6763
2026,1.7522,-0.6453,1.9772,-0.4178,4.624,1.8051,-4.537,-8.1581,-3.5025,0.1375,-4.7757,1.9577,-0.2611,0.33,-0.9825,-2.5188,3.2051,-1.8789,0.5814,-2.1057,-0.0001,-1.5937,-0.5394,-2.4642,0.2138,2.6176,-2.0414,2.2355,0.3603,1.6028,-0.3141,-0.3539,-0.37,-0.2344,3.3813,3.5932,1.478,2.534
2027,1.7824,-0.6465,1.9294,-0.4646,4.903,1.929,-5.34,-9.0505,-4.0374,-0.0972,-5.2412,2.0275,-0.2139,0.4108,-1.2367,-2.8507,3.4266,-2.1381,0.611,-2.6371,-0.0001,-1.7659,-0.6766,-2.5113,-0.06,2.5676,-2.1962,2.6864,0.2365,1.715,-0.451,-0.4077,-0.4735,0.105,3.4821,3.6965,1.517,2.5727
2028,1.8056,-0.6417,1.8658,-0.5175,5.1868,2.0316,-6.2124,-10.2368,-4.4748,-0.2854,-5.7762,2.1128,-0.1776,0.4947,-1.5126,-3.1973,3.6107,-2.4061,0.6383,-3.1679,-0.0001,-1.972,-0.8025,-2.6388,-0.2438,2.5438,-2.3883,3.0643,0.1175,1.8307,-0.5641,-0.4531,-0.5475,0.2822,3.5862,3.8051,1.5367,2.6993
2029,1.823,-0.6339,1.7967,-0.5757,5.4607,2.1177,-7.1807,-11.805,-4.8832,-0.4309,-6.3907,2.2782,-0.1556,0.5786,-1.8037,-3.5699,3.7675,-2.6819,0.6634,-3.7345,-0.0001,-2.2021,-0.9132,-2.8226,-0.3729,2.5377,-2.6104,3.3747,0.0071,1.9474,-0.652,-0.4796,-0.5903,0.3782,3.6846,3.9074,1.5529,2.8705
2030,1.8347,-0.6247,1.7269,-0.6387,5.7132,2.1917,-8.2903,-13.9096,-5.3083,-0.5432,-7.1008,2.5144,-0.1482,0.6607,-2.1087,-3.9804,3.9046,-2.9735,0.6886,-4.3682,-0.0001,-2.4543,-1.009,-3.0474,-0.4683,2.5458,-2.8599,3.6255,-0.0945,2.061,-0.7211,-0.4891,-0.6097,0.4375,3.7732,3.9981,1.5715,3.0627
