Industrial,company,workers
전체 산업,3226565,15435729
"농업, 임업 및 어업(01~03)",2141,30305
광업(05~08),1734,16774
제조업(10~34),335288,3231791
"전기, 가스, 증기 및 공기조절 공급업(35)",894,50402
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5216,75749
건설업(41~42),94297,837870
도매 및 소매업(45~47),860547,2500253
운수 및 창고업(49~52),340013,869653
숙박 및 음식점업(55~56),624450,1671710
정보통신업(58~63),23826,401805
금융 및 보험업(64~66),35572,621959
부동산업(68),106075,388832
"전문, 과학 및 기술 서비스업(70~73)",62506,569071
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",45740,609741
"공공행정, 국방 및 사회보장 행정(84)",12266,543025
교육 서비스업(85),150024,1249856
보건업 및 사회복지 서비스업(86~87),83323,734896
"예술, 스포츠 및 여가관련 서비스업(90~91)",97527,289452
"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",345126,742585
