industry,사업체수,남대표,여대표,단독사업체사업체,다사업사업체,1명이상5명미만사업체,5명이상10명미만사업체,10명이상20명미만사업체,20명이상50명미만사업체,50명이상100명미만사업체,100명이상300명미만사업체,300명이상사업체,종사자합,종사자남,종사자여,단독사업체종사자,다사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만종사자,5명이상10명미만종사자,10명이상20명미만종사자,20명이상50명미만종사자,50명이상100명미만종사자,100명이상300명미만종사자,300명이상종사자,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,train_score,test_score
건설업,17682.19664,-9.839575,137.032784,-232.878966,25.588889,-379.664995,987.616453,-661.938668,-616.551105,323.282801,71.260268,-64.768319,-1083.384882,-656.497941,-1229.203917,-447.433502,-97.318399,-255.76298,-666.978903,461.736961,-1249.944221,1319.251933,2797.910093,1173.979768,-1817.678657,245.462705,1822.697525,1266.58733,-435.143727,4470.690901,2652.533718,378.223298,164.575397,-2447.428984,-1074.879024,-211.416587,1597.959146,4450.010009,0.9819789735,0.8598260994
광업,45.257537,-8.443035,3.036137,28.848423,-10.083389,-19.625837,-16.73725,11.370094,-4.681539,-1.062664,-0.120197,-0.290784,10.017478,5.757959,-0.228616,22.251894,-2.394344,15.7178,17.519336,10.306953,0.266273,1.222095,-18.2022,-2.921064,0.086202,16.048636,-15.431574,-3.640162,-5.76044,-7.079696,-34.407457,8.618824,-2.361115,2.661678,-5.428629,-0.026129,-0.624235,32.3149,0.9603264732,0.8536481831
교육서비스,8101.598,343.9563,0,360.5838,0,-2059.829,-410.2479,499.1076,-27.8599,-205.4356,-106.6012,263.1901,-622.9216,719.6,262.3099,-2005.032,8.73E-11,-219.1793,-429.3506,-236.2866,735.7214,-862.0502,452.9461,342.2003,-193.1393,573.7951,-20.06496,105.5663,-1068.798,659.0573,1034.842,365.3405,-13.61375,316.4173,-133.4608,6.637784,333.4568,48.63804,0.9555330506,0.76046163
금융및보험업,1016.120403,7.843387,-66.743123,-174.673987,0,229.146016,230.227394,73.602781,74.915182,-41.143275,-1.921033,0.280875,90.617717,-90.57074,58.853682,-106.915093,-24.864291,-14.126594,347.176358,-32.494776,17.559419,-25.364281,-53.819747,15.47233,86.474457,-67.180926,172.322882,66.144789,-282.164922,28.229533,301.810161,-29.418103,-14.455388,175.186636,16.208922,-3.134285,92.004249,-33.136655,0.9475934717,0.9205666023
농업임업어업,926.073186,-1.242703,-3.582652,-95.580311,-4.350299,56.854772,21.035597,14.343762,-0.650605,-1.006941,-8.63519,-4.14716,51.659394,35.719893,0,-149.022025,24.57859,-1.249744,223.472978,-17.630492,11.635933,-107.734579,41.709509,11.953348,-7.952417,131.106167,-134.367189,52.644666,69.581753,87.827484,-116.357356,-1.502706,3.041964,-41.688873,-31.241671,4.700656,-49.941351,-34.242056,0.9761807552,0.9482947522
도매및소매업,35282.26,-7789.697,4039.768,3821.917,-2768.21,-900.8833,3784.173,1286.979,-226.853,0,0,0,-4415.549,223.8682,-2.45E-11,-952.0455,4336.888,7490.314,4509.533,-1787.988,-13215.37,15781.96,-3186.244,242.1516,1604.202,1337.491,3633.098,-4459.603,8006.075,3714.017,6077.801,-3681.741,61.74249,55.46505,11005.67,-59.10407,-518.4531,6197.782,0.951920008,0.7813755489
부동산업시설관리지원임대,26376.22164,-175.049772,35.366575,-569.347468,215.262058,-375.103159,86.739886,129.223212,358.099262,-340.315158,216.563439,-43.929138,280.8639,266.798958,-219.709104,-480.052684,-9.699244,-608.461034,170.637995,208.422507,-602.124812,-527.73641,-1048.772888,747.450294,330.231591,-1257.039252,1118.039224,332.214863,-829.889568,915.908998,142.135338,-481.607188,148.343857,-949.817857,-969.636861,-60.539308,1302.417645,519.868264,0.9719238929,0.8885261052
숙박및음식점업,52512.13,3620.334,1219.874,1617.212,-1.10E-13,6939.194,155.8977,-420.759,2429.543,0,0,0,3486.161,-1051.255,-1632.869,2783.307,1173.767,2118.19,-292.0152,-4103.485,6878.624,4795.254,994.9372,1651.976,-1189.047,2649.539,-678.0714,-1769.668,5329.535,-919.6176,-2587.884,-1080.896,-4.751273,46.02516,4685.244,1185.885,-7749.55,2876.239,0.9691066394,0.8214475888
운수및창고업,12227.54,1792.871,723.1118,522.2839,-1.94E-11,494.7099,-253.6962,316.1081,-760.4945,-334.8982,-31.51996,0,3733.909,1761.889,-1915.204,-1173.273,1349.003,-1705.575,-3355.945,283.529,276.1045,-3545.418,-495.2517,-2227.448,-395.4074,-1103.191,6245.351,-4790.569,5474.561,-1905.907,-3273.326,-5410.388,1297.07,-3555.995,-1086.987,210.4515,-3031.324,-1459.235,0.9550759755,0.7939816745
전기가스수도하수,1690.474,-31.64151,9.618388,20.6596,0,-19.62071,-164.5689,209.1132,-13.0566,14.42443,-8.816551,5.006176,56.65592,59.83221,-37.94579,69.94206,-1.34E-15,40.68215,39.80434,37.65936,8.020118,25.42291,-106.4013,-57.60355,-5.284942,-65.59956,80.56745,75.26909,112.2891,7.735325,-279.1528,19.69099,3.102606,-4.146901,-68.71185,7.888192,-77.66454,55.57981,0.9727545623,0.8862393808
전문과학및기술서비스업,15232.33771,57.255671,678.302201,-553.166811,673.956138,1090.482197,-1342.306562,-73.480614,154.691371,-226.675144,-413.444597,362.321754,-2823.524688,-288.100463,-182.442732,645.270351,0,-240.52652,1834.469085,215.854143,-295.954445,-345.526597,-859.941321,296.969759,-159.134911,930.929249,-0.427536,-602.445031,1008.23544,-1799.491151,1030.423861,-162.144288,-5.732947,-6.821661,2832.495566,76.94909,-1369.928641,14.818735,0.9675608401,0.89920809
정보통신업,7019.289118,-209.358174,-152.945018,483.577409,-204.315223,-285.183421,-376.223008,484.827439,82.94229,273.185551,-137.97757,-142.925682,-375.494217,46.814307,0,-275.435539,-37.731979,54.218915,501.551185,-154.429231,52.195413,51.38131,-232.8384,-68.126949,248.558237,595.144758,-661.986251,-345.366868,756.234079,-142.602708,-910.678935,57.738825,-31.232854,116.729008,-500.148168,122.423593,-1022.179251,1445.978089,0.9779182316,0.9429255239
제조업,29359.17831,-4340.387025,125.350234,-960.276762,1681.692855,-2042.679867,-7800.670402,3257.033648,-1352.641626,-55.957502,258.418394,0,2903.575027,1260.833176,0,4106.627187,2469.833582,578.693425,413.86031,1560.653644,-380.571894,-465.71646,-3961.981494,-1569.616916,-516.257223,427.482279,2676.94685,-1866.632266,38.586295,5384.389277,953.910845,1649.748903,-1920.876724,3965.670344,170.978225,277.078713,-2333.386804,8809.022423,0.958179464,0.7866731019
기타공공수리및개인서비스업,18176.66,-2375.886,-205.154,282.7556,-7.73E-11,-920.1715,559.2071,-35.3737,-18.44691,-71.56849,0,0,-907.1845,174.361,-6.48E-12,-152.1878,249.9994,-527.7521,1003.416,-50.78831,-1655.433,1041.054,-2464.655,430.7327,-879.7484,-34.26971,375.6501,123.7641,2216.655,-269.4372,4670.375,-1640.881,40.4753,-344.6306,-1950.361,278.3372,-2493.056,525.9727,0.9533435781,0.8021861561
산업전체,928428.0504,-109.447978,-5.447031,-233.549407,-6.943595,-302.811531,310.051638,-972.886531,1024.397065,-811.844046,-1172.082548,1411.130592,-860.523252,-294.215258,-36.142142,-2428.58467,-5.418213,852.117854,277.300522,1995.23217,-2524.321179,-2053.208908,-1037.251312,-553.682779,646.162825,-699.470773,-132.038374,25.680406,-683.771161,303.510138,536.469284,-535.613686,-1730.605241,2666.077344,-2942.320293,412.302337,-2536.755137,723.52611,0.9343241785,0.9263053538
보건업및사회복지서비스업,15887.69,1278.118,113.2815,2076.382,-257.0353,-3168.188,-509.5618,1759.597,49.16271,-526.2463,-333.3709,0,-571.4952,1268.843,0,-3502.124,1.83E-10,759.9654,1504.995,-316.1451,310.2405,-2265.748,314.6221,-554.5419,-2375.569,1430.773,2683.843,-1992.982,-1006.292,1346.132,-71.72084,-935.3859,147.1176,-778.3382,2751.228,815.1485,-11474.68,-919.6207,,
오락문화및운동관련서비스업,6624.482,5.838464,-18.16058,-1234.937,2.90E-11,315.4122,449.8597,-418.6898,-212.3897,-33.20466,0,0,171.1218,-292.2466,2.72E-11,-244.5418,345.2511,3476.459,286.3455,-1218.499,-1624.632,-2724.694,825.7031,-1963.009,-482.519,712.2553,676.2209,-10.04756,1806.946,-1149.925,2564.918,-2853.015,59.51692,-109.8705,-3326.935,-89.85527,1017.996,-3643.894,,
